"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/01/2019" 129.460877509658 125.488355623017 116.969409179651 124.72825350974 129.620901017875 134.749287583046 128.166946212789 128.147007219818 129.253821641234 132.847194066513 130.428322427132 132.290668269811 128.062091977712 127.593957013753 130.827925054617 122.032707060876 121.382126009533 83.1164698617609 123.957909145934 121.978717546722 111.68129490961 123.847107744444 125.973657887725 83.1927551304341 91.8441973534928 92.1647998378603
"02/01/2019" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"03/01/2019" 129.437106334282 128.938648673748 117.187839053175 122.802308615339 134.323597382313 139.001658436315 131.179620661033 125.012773381795 133.926824106042 137.416240185394 134.090522819287 135.406051725232 130.4566535748 126.030037141838 135.460145357937 123.748335924988 121.847191039101 87.1911821205736 125.388967030791 122.840770692689 110.717889743508 122.474237125991 130.639252131587 86.7416744930227 95.8678111484661 95.7527037259523
"04/01/2019" 133.137604657949 128.537499019215 113.991539410385 122.731049730227 130.423089175209 134.946653838601 127.124673518549 129.378390009937 130.731682595522 133.709787390839 129.919093132775 131.209231716405 126.505662987895 130.765640788563 132.224091563669 119.890698444631 118.647278056725 83.5697225849406 121.733371479052 119.402152295095 110.909105995315 121.357940998569 127.684601943082 82.8815444919038 92.2202861707349 91.8984729756953
"07/01/2019" 133.111273180478 129.954155607475 120.411946525445 122.724576758906 134.145570714576 139.315844262553 132.340123020634 129.019005368365 133.841702902126 137.45378827292 134.77281105303 136.588936926192 132.138526107612 130.42962630338 135.438748158172 125.829136754121 124.992681008878 86.4929395952585 127.780130037538 125.66314230067 110.929075327482 121.397059375257 130.497536746976 86.3731135784219 95.3951428255896 95.5711323713556
"08/01/2019" 128.649852652727 123.755287852984 110.451096710559 122.954000887035 125.810652821799 130.365514237554 122.961434188803 127.031539238493 126.060159192694 129.06976751966 125.570764095155 126.890089467247 122.421435569045 126.849915945177 127.557291526685 116.030064308585 114.989757692905 80.297010907562 117.874065218112 115.661447614451 111.905292300722 122.057045753467 123.03345751792 79.8113164043 88.7699428187494 88.5887543101204
"09/01/2019" 128.346557544648 124.749032412824 114.379635256858 120.650538923547 128.20589543207 133.167267608752 126.251500182906 125.357463008321 128.119638186432 131.509180884444 128.649664174939 130.263986881849 125.944414686859 126.009878501493 129.68988254984 119.694984034715 118.90472587182 82.3378779791353 121.619520125522 119.521556160677 111.103844660881 119.733589692427 124.904280778282 82.1465541371476 90.9455516847361 91.023610648677
"10/01/2019" 134.542293009076 129.647235918106 115.870975678339 125.270225452103 131.881715590819 136.536562167765 128.822586749257 131.694418713355 132.063716780927 135.170702033939 131.570103288032 132.980032342169 128.288579922226 132.457403118779 133.573934155886 121.711677975573 120.523170902891 84.4380422442278 123.574920169859 121.274196589278 111.685669018588 123.793990429949 128.953056960023 83.8834018401907 93.2104232304592 93.006993767262
"11/01/2019" 133.589645075674 128.892432993029 116.12555252762 124.936128726596 131.510908142753 136.276603208725 128.777500545995 130.974795370398 131.592664501061 134.804007631815 131.431174416574 132.924874169792 128.321371075439 131.536848332634 133.122065612457 121.830099117857 120.748304262154 84.2418520940701 123.713661904509 121.467997071526 111.685415022817 123.534761983657 128.438458979458 83.8105928874395 93.0145348987807 92.9114610590982
"14/01/2019" 130.389727634483 127.319215153204 120.685384097776 125.562905420094 132.520135264086 137.924017919595 131.57069978781 128.808416350152 131.901976599526 135.773536221169 133.732450644173 135.799040320266 131.609630490223 128.26249323967 133.531055479089 125.634264837118 125.106549779934 85.3000652460986 127.607133452113 125.683481733675 111.47496276841 124.628635696549 128.476229703172 85.5635323704688 94.1904422345683 94.6807134970672
"15/01/2019" 135.858976675516 131.128222095596 116.632235911407 124.351400842062 133.178842820476 137.769920765141 129.8650617282 131.886584767942 133.416178362619 136.466371237887 132.698773326552 134.063006659003 129.276631680089 133.47533820616 134.914436320477 122.613165371009 121.321077693164 85.4075490205905 124.462888812751 122.108920817568 110.906862323509 122.717046388501 130.323884239544 84.7341341893334 94.2045695256854 93.912445001875
"16/01/2019" 132.476581354927 129.044463126514 120.683206563575 124.183813720069 133.537718206733 138.838592951087 132.138582813938 129.527800466743 133.120638441899 136.847060734509 134.445043941365 136.38169413254 132.052360070733 130.128376250238 134.737020447296 125.8750120669 125.210611681757 85.9644650111932 127.855973812794 125.828910517577 111.772669355811 122.970519556083 129.734111807267 86.0236374618181 94.891926444014 95.2133910043611
"17/01/2019" 130.209827304361 126.568925491355 118.648040298535 126.346517960883 131.177171262531 136.403134416635 129.846145114964 129.3932060266 130.705305034756 134.413142346478 132.09616331698 134.021951662909 129.77317695877 128.368232289334 132.30598376563 123.731071102566 123.08071889699 84.223908883534 125.664447066877 123.682957832017 111.063658203948 125.346130450003 127.362241918249 84.3622467379324 93.0396380921591 93.4165733392929
"18/01/2019" 130.721698959863 125.816672624467 120.845291266622 127.37022484978 130.862708867786 136.51360115569 130.682145148439 131.478781889083 130.154584905118 134.164766287383 132.586251497317 134.885019167844 130.962645679343 129.668687459185 131.813884841687 125.240006579027 125.170230881317 83.7418326059934 127.316708368127 125.6030716806 111.759783510183 126.007180605786 126.681700275143 84.3220641977879 92.7014488461886 93.4470324036151
"21/01/2019" 131.404066567175 126.928169496679 120.252751015486 126.272281338622 131.621502902369 137.100342677231 130.863820598405 130.870053646705 131.068020488001 134.93182088033 132.954397615916 135.068287718409 130.96302873313 129.915209470322 132.706616223367 125.023714211857 124.675415612742 84.3738037231012 127.055804627158 125.192336389048 111.981224436397 124.960169704658 127.642047716193 84.7199231338737 93.310044977045 93.8602721780715
"22/01/2019" 134.68385900892 129.956681197187 116.535701398549 125.473139980591 132.400228064966 137.103686095247 129.43360195845 131.798657392623 132.531064626623 135.690190725186 132.163427501076 133.611595794361 128.926064038983 132.553327158984 134.049905610302 122.361176452591 121.187670237299 84.8265770407816 124.230284615169 121.938191225891 111.786889726344 124.011577724363 129.394141823899 84.3097578359601 93.6277035091832 93.4585273964368
"23/01/2019" 132.411755024816 128.184336172302 118.59097604605 124.826976773325 131.999300614134 137.146619069503 130.279732112593 130.265577746574 131.741059781591 135.306658766762 132.654461228488 134.465086023761 130.099998563834 130.426589609093 133.331486814977 123.866596088288 123.129556060838 84.7081557683725 125.825307521312 123.757593357083 111.763358782306 123.514074801435 128.433359183438 84.6625585988927 93.5695879647614 93.7928249472616
"24/01/2019" 132.557916715434 128.883039358424 119.17010803642 125.000936231493 132.877343157917 137.982154712886 131.022155862919 129.854136297271 132.591516667451 136.155098902935 133.445713077779 135.237730733046 130.811374615949 130.272085449777 134.175834775573 124.549117108678 123.712507322665 85.4140245058407 126.477436763894 124.375085933838 111.936173008158 123.882079882551 129.286851132943 85.3182541610314 94.2785910036202 94.4676151828099
"25/01/2019" 133.602744843803 129.246804078053 116.705667349443 125.069227309809 132.090988946358 136.784390790025 129.291321244657 130.585249119857 132.073282350646 135.289222287501 131.954895395167 133.478526390295 128.848214536984 131.367343778417 133.581835105889 122.435414778657 121.261155553255 84.7100001167526 124.255937953287 122.015133839179 111.711963243835 123.899361123103 128.950676791764 84.2744387089707 93.4540718831377 93.3637185630148
"28/01/2019" 131.063300469882 125.767021892062 120.998280515136 126.789707833636 130.511806523476 136.1951836543 130.478703839084 131.492991484514 129.841276684861 133.832300168635 132.316739067931 134.675797771706 130.832252840542 130.024079527093 131.499318414511 125.188330106179 125.288686429175 83.4271420054234 127.304974361651 125.667434938457 111.981070489716 125.385374486025 126.383967479192 84.0282532088843 92.3897947518216 93.1566947788614
"29/01/2019" 133.394566558357 129.485596068778 118.190314988894 124.511908415136 132.870766461915 137.823907281385 130.547868706936 130.223107100588 132.771239724377 136.172350687163 133.10772651383 134.746206204768 130.202512171359 131.037418022872 134.333994722159 123.78303433342 122.800524800751 85.3674436553797 125.695936754728 123.501795852204 111.737486609622 123.228403734754 129.524648600372 85.0791858936598 94.2098337345264 94.2343568725157
"30/01/2019" 134.242219466076 130.065041241117 117.956695553937 124.671702380509 133.121795507771 137.988899146085 130.547559634632 130.946680445728 133.10160928786 136.420136494375 133.179602820496 134.753423138324 130.14201810012 131.917487378155 134.648841473563 123.656258529565 122.590026631859 85.4794898956819 125.553305475538 123.316015815682 111.601124715207 123.265993472872 129.89029056883 85.0985252850362 94.3227723784882 94.271806002363
"31/01/2019" 131.095934558339 127.167365540508 119.382718794561 126.118258121284 131.743079977317 137.068221444584 130.544824935885 130.131275749177 131.28153780035 135.0381467588 132.770140327679 134.733522433032 130.50083817481 129.326059441738 132.904068760069 124.425177302549 123.856211983006 84.5614984275645 126.406112604511 124.435478823698 111.868089871165 124.954109892244 127.896648610041 84.7397170835032 93.4476692318349 93.8549608774373
"01/02/2019" 129.562990921473 125.445236499317 116.838714319589 124.340243755472 129.532637399454 134.738905362683 128.144297199821 128.438441280798 129.218776056053 132.839440182578 130.397890079463 132.238356267092 128.020120670254 127.805616718957 130.82378495369 121.912278488467 121.318145214937 83.0406149340874 123.88370796408 121.890017686709 111.901942457034 123.262122690529 125.89911240736 83.1250703406227 91.8053577366406 92.1196692484069
"04/02/2019" 134.98138430203 130.347203708683 116.396606144666 123.980098893382 132.585128761048 137.230603125316 129.456444489471 131.23018097537 132.776464141437 135.876940706564 132.231218742468 133.630271070518 128.90499897121 132.642135127929 134.287374491302 122.293470234522 121.067239397709 85.0373544901571 124.153113409083 121.831620055352 110.659034482698 122.394940132662 129.665789473503 84.4310361315127 93.8151818895843 93.574623530738
"05/02/2019" 132.414899179662 128.739871009778 118.309871516436 124.632882099165 132.468204821435 137.477691609285 130.383436852258 129.465253302028 132.263887612438 135.742071468783 132.864162560825 134.572622600744 130.101482780949 130.05279675825 133.83780720714 123.784855725847 122.869510275852 85.1353288600897 125.691619274455 123.548779355506 111.92234609986 123.576793163424 129.000080619676 84.9452006961473 93.9576857267951 94.0650753337233
"06/02/2019" 131.958592363248 128.521770587041 118.662988526062 124.328694852158 132.496497161769 137.56171382869 130.576602396058 128.906294979465 132.228449646641 135.766035887228 133.009783893142 134.767372271992 130.337251163307 129.522524047544 133.81296468449 124.069539881477 123.203650790353 85.2180898846264 125.982480831488 123.868842375128 111.86333469674 123.356216757944 128.942033301143 85.0856995576729 94.0413409367287 94.1982182463768
"07/02/2019" 134.194479161925 129.618015013484 117.221642492629 125.245817110397 132.461815998843 137.291442639188 129.827885855379 131.463738189062 132.482606340958 135.759056684388 132.467169644842 134.012619605632 129.405005576471 132.096967354749 134.02282986109 122.918258111678 121.850539817677 84.9210650277493 124.811319462703 122.572521782749 111.691024252189 123.794457681887 129.29395749031 84.5311432045666 93.7465584573423 93.6832840129392
