"Titulos/Precios" "01/10/2018" "02/10/2018" "03/10/2018" "04/10/2018" "05/10/2018" "08/10/2018" "09/10/2018" "10/10/2018" "11/10/2018" "15/10/2018" "16/10/2018" "17/10/2018" "18/10/2018" "19/10/2018" "22/10/2018" "23/10/2018" "24/10/2018" "25/10/2018"
"1" "TIF042019" 109.470296808904 109.69629708762 107.020816461664 107.047436771543 107.073670391021 111.525075317379 109.457944420199 109.407280847737 109.422647015762 109.709555638322 109.697124570499 108.865026326485 104.86260228797 104.873667413065 106.032463354511 107.160486740627 107.163419389647 107.166395468156
"2" "TIF112019" 113.917005822142 114.31202112333 109.159465382824 109.18724228604 109.215115936861 117.927193626763 113.779328504077 113.672338134068 113.691533884598 114.218934559394 114.026131226861 115.304601230546 115.807442154491 115.804416944741 117.32017643558 118.850968129273 118.8524135188 118.851585248646
"3" "TIF112020" 124.081419372006 124.630197555843 116.32807222549 116.361620525243 116.398264467529 130.683096459301 123.749322312939 123.563552313953 123.592835444848 124.446735284245 123.605429446982 133.187351760934 134.857706860133 134.857972224882 135.43306577385 136.004407906588 136.013819412972 136.023480134929
"4" "TIF022021" 125.385438444837 125.945459811596 117.269557578166 117.301170092884 117.332463321691 132.302847931173 125.017444637866 124.821455167941 124.8570859405 125.744227466426 124.74422092025 135.779439979487 137.438590607704 137.449541947287 137.826647585301 138.178321791703 138.192695316683 138.214539489556
"5" "TIF032022" 129.072363581459 129.57270293985 119.491661732374 119.525209557374 119.555671081027 137.18687932933 128.550243868214 128.326424997677 128.357691004024 129.39783086855 127.405961410408 141.337578777166 140.689661547835 140.73404439004 141.130349946459 141.437679281676 141.479288188338 141.521394007057
"6" "TIF042023" 135.775061224219 136.097988952721 125.77177633221 125.808267095611 125.844928256257 144.05508143431 135.11259744935 134.887938267337 130.923883401362 132.01760255889 128.981539004284 139.739817343102 137.635013830606 137.680371260436 138.198759621529 138.624858369408 138.672919609729 138.721189167997
"7" "TIF012024" 138.955858463259 139.12581803252 129.071624273015 129.121233428151 129.142205228416 146.954748765893 138.229689989385 138.014532898269 133.990541920078 135.069889542205 131.445259194045 139.131557678981 139.012109426455 139.043885903399 139.46576756562 139.814329570504 139.848707897861 139.885561931085
"8" "TIF012026" 135.13905699687 134.918069860726 127.214388161287 127.250950604783 127.287431663389 141.096812939163 134.410704450368 134.253509433971 134.293554120024 135.166843216126 131.255031936666 134.406526608311 142.560345248424 142.597219843054 142.987039875297 143.304908332644 143.34295590218 143.400713767749
"9" "TIF112027" 135.322043572891 135.006643338094 128.973881749141 128.993176503893 129.030144729132 139.995874275616 134.72956493957 134.612399604565 134.650426716868 135.376526771473 133.103274692525 136.828991247886 142.057138633836 142.098526308154 142.504195539688 142.831667156418 142.874305966015 142.914945310797
"10" "TIF032028" 138.807361174824 138.506625322639 132.604329893472 132.642113303652 132.679152441656 143.395621746983 138.253017687117 138.157816478671 134.36742368978 135.074051414267 133.455148787431 137.526732560716 142.291910855992 142.322181194015 142.703176141809 143.02128708921 143.073211587002 143.089972580475
"11" "TIF052028" 136.621942264468 136.336642941826 130.508749369524 130.547080720633 130.581713771013 141.168209307524 136.08899265285 135.98054304506 136.01606170643 136.718319407804 135.39397372638 139.562995825797 144.234082035972 144.27402881052 144.661101605973 144.983934918322 145.018196756388 145.05418682753
"12" "TIF022029" 139.505500074195 139.299756646488 133.616183987431 133.655069926765 133.693354465387 144.009529763366 139.060513899458 138.951484907936 138.992371091656 139.678391485713 139.77606807533 144.418238194596 148.084083408943 148.117739031107 148.511222220642 148.859503989598 148.892233730932 148.907419078024
"13" "TIF032029" 138.944630542294 138.762644619344 133.089926035209 133.12783802668 133.165410069459 143.463021894397 138.522859315926 138.414942909149 138.45276152027 139.138743717781 139.311427838332 143.983987743886 147.632249015795 147.647776076844 148.041974366049 148.369190424335 148.400041813652 148.454654324892
"14" "TIF022030" 141.449954698878 141.447966559608 135.804371952733 135.842067333124 135.86282330169 146.062351389427 141.18182472917 141.075672228166 141.114197472325 141.794251246132 143.007687312729 147.886385090861 149.436624284202 149.478942812288 149.912028501465 150.255263365519 150.297461254733 150.346977966641
"15" "TIF032031" 137.66719668687 137.786462448194 132.301651272676 132.340086192082 132.377070200221 142.218774534273 137.479329115176 137.394888701755 137.414331661403 138.07467662936 138.681881029524 143.171326627245 144.726563514513 144.760123156564 145.159178058321 145.47705502594 145.515492907426 145.55063151072
"16" "TIF022032" 135.939933420733 136.084550977532 130.674467943198 130.710941829098 130.746060493809 140.398883057592 135.730469370102 135.646816526563 135.665511060691 136.316865141165 135.87923815943 140.029256144919 142.46619470932 142.488447814195 142.879136774305 143.191884867621 143.229325752354 143.270621950136
"17" "TIF032032" 144.171380101391 144.312707280381 138.611514262754 138.650571168228 138.689094874332 148.851495093328 143.933497426563 143.828935177964 140.054508784247 140.735095545373 140.163421133516 144.551504457993 147.155553892604 147.192199947981 147.594921113163 147.922837915703 147.963034399232 148.000914859729
"18" "TIF032033" 136.512854662892 136.636972086326 131.160056101886 131.196200517595 131.235424084575 140.860571854802 136.127844050825 136.024414155932 136.061056274736 136.718985569404 135.591547726413 139.78589328852 142.781941640872 142.820366620613 143.206313151649 143.518177783534 143.553948905622 143.593664816885
"19" "TIF052034" 134.35452389631 134.645803534699 129.327663461368 129.365117104626 129.402129102661 138.325269586475 133.7182299806 133.618825383907 133.658090487989 134.299551848803 132.901786347408 137.002564308082 140.217842805761 140.254992745995 140.628865162315 140.933206015912 140.969622895596 141.005727687104
"20" "SRC" 2.20999228899802 2.10499225667644 5.12820738792294 5.08195590139619 5.02322374704763 3.51756778999124 2.14014589557825 2.15623063219048 1.82405652770249 1.77924135256755 1.86307021091679 2.20462250673904 3.45112636825098 3.42483486628008 3.02816830133724 3.00889144266829 3.01244859723368 3.01497519464864
