"Titulos/Precios" "01/10/2018" "02/10/2018" "03/10/2018" "04/10/2018" "05/10/2018" "08/10/2018" "09/10/2018" "10/10/2018" "11/10/2018" "15/10/2018" "16/10/2018" "17/10/2018" "18/10/2018" "19/10/2018" "22/10/2018" "23/10/2018" "24/10/2018" "25/10/2018"
"1" "VEBONO022019" 104.645060628869 104.161582971284 102.496733525378 102.521224736002 102.54624912071 105.293263609983 104.040529538565 104.012387723127 104.027494815876 104.216681377761 104.228912908847 103.446633025654 103.400703058715 103.416002763886 104.197261503124 104.928060416899 104.933022322058 104.937136175634
"2" "VEBONO032019" 105.883809948031 105.087159087175 102.694217259427 102.718634731897 102.744057036046 106.717957045425 104.875243383012 104.833012562252 104.845592712925 105.105804024034 105.101226021683 104.241328903063 104.217995128086 104.231129603797 105.296783224824 106.326592981184 106.330418457691 106.333286497937
"3" "VEBONO042019" 109.29327153492 108.361705168182 105.704833666646 105.731131904984 105.757044661366 110.177734966864 108.12458040876 108.074191462422 108.089383821493 108.374113465015 108.361633440839 107.536177197745 103.983866624053 103.994813839823 105.145683724357 106.266134223394 106.269034647359 106.271978350149
"4" "VEBONO012020" 118.242445554261 115.281930695368 109.777091523674 106.19535180482 106.224061042389 115.55274109158 111.095853534754 110.976895642828 110.996999363516 111.56339895954 111.318527604317 113.339086485794 113.977432166325 113.976473573017 115.433459911816 116.905888935481 116.907652760027 116.907984450324
"5" "VEBONO062020" 119.688603973306 115.575044829861 108.622111257385 108.648361234841 108.676785618909 120.57444009681 114.836359829054 114.681291489769 114.703077697015 115.41627365559 114.908035549727 120.556548678909 121.814644497817 121.810553720384 122.865309715427 123.948103448591 123.950678568588 123.953032817952
"6" "VEBONO112020" 118.144439557745 113.880040279286 106.063771878901 106.094742934292 106.128601913781 119.586977309693 113.048977978923 112.873525922736 112.901032077184 113.704410934215 112.892891978035 122.183320409395 123.785654981106 123.785612787994 124.260777884868 124.732325182705 124.741510247313 124.750830797435
"7" "VEBONO012021" 126.063736428105 121.857178852898 113.419815898747 113.45069159624 113.480786547531 128.054237534496 120.961801373969 120.779852008087 120.805881101331 121.674977460083 120.705413610021 131.480984035497 133.116760666753 133.125799701763 133.475494979348 133.809808680812 133.826824208108 133.837921053943
"8" "VEBONO052021" 126.125199366922 122.698121371961 113.714736497169 113.742822838219 113.775913213485 129.351046292757 121.748341443166 121.547737208232 121.574940910751 122.503632176806 121.267974269358 133.80647350031 135.12982566756 135.152110180111 135.336848046151 135.47981116319 135.505039897684 135.525985702568
"9" "VEBONO022022" 124.771629324321 125.40841898911 115.647285483059 115.678380877342 115.711275756421 132.777518775279 124.405799811616 124.189298045143 124.219606988546 125.236787257061 123.321413475015 137.02225375268 136.50760023947 136.55147972874 136.89421802777 137.151133475375 137.191715881903 137.232443885984
"10" "VEBONO012023" 121.044686171469 129.603988904957 119.570334175757 119.604442312691 119.636209495595 137.317296652598 128.632517752555 128.412537514959 128.447333969518 129.508167536891 126.711129730348 137.971182191252 135.819267799167 135.867652227896 136.374495634624 136.784009619771 136.832179240637 133.213403599175
"11" "VEBONO022024" 114.418350175341 131.250927829538 121.685869897357 121.721007183783 121.757155298806 138.72508914901 130.41474383471 130.210587275577 130.247344588207 131.279010625089 127.660599821306 134.430349395573 135.023565569778 135.055731416613 135.431982007999 135.743511095614 135.777136098051 135.810786950979
"12" "VEBONO042024" 115.161181526356 132.790603972448 123.35706162607 123.392465768899 123.428195201076 140.176251365696 131.982206606273 131.779416470434 131.817175430186 132.839903583067 129.137373268096 135.388595823479 136.88688212515 136.917537631099 137.278372432264 137.57085267485 137.60126540321 133.903286690959
"13" "VEBONO012025" 115.238632860569 135.258218303368 126.432832850298 126.456394803473 126.509308897081 142.242188900396 134.568673274598 134.382906649372 134.422573924621 135.399699854916 131.408421777208 135.807447030285 138.836145099961 138.859987213487 139.186953626285 139.467996702841 139.492134413829 139.516339396197
"14" "VEBONO022025" 113.012145955169 133.180605574022 124.490443168752 124.544109711223 124.56358053122 140.062126376715 132.518940276168 132.333087016975 132.375335750732 133.334388116776 129.325714745376 133.460159633444 141.281364452244 141.30561609575 141.638865386151 141.924991162891 141.949230364827 141.973549272587
"15" "VEBONO032027" 119.292642646221 133.84068682655 127.241751468034 127.279174625784 127.317094377344 139.249225728928 133.515810434413 133.385724978691 133.423230610439 134.182150971221 131.048109412609 134.358374772672 142.452655639788 142.50296368659 142.942536264975 143.286679327024 143.335425359761 143.384329180906
"16" "VEBONO042028" 128.821871524497 137.028886007939 131.189835113527 131.227376550724 131.263435916011 141.865770642486 136.778261269684 136.666355752646 136.704346533872 137.408339676739 135.911256185295 139.993246359994 144.71497744875 144.751460169762 145.131902382147 145.451220234322 145.501357600803 145.515046348675
"17" "VEBONO102028" 131.821807989854 137.502257537313 131.88203858309 131.919614288301 131.956589406769 142.183392413139 137.28682023792 137.180446851571 137.218006443506 137.899828184431 137.419713533056 141.819945150342 145.77076811084 145.802660365003 146.198154944714 146.51977952817 146.556331111554 146.593388239267
"18" "VEBONO052029" 133.958003281713 137.592573736686 132.08746375916 132.120636976829 132.158016067157 142.156801033747 137.363219936559 137.266097338497 137.296266185667 137.964667533891 138.507638622809 143.137884771876 146.62767708584 146.682684678507 147.048335184227 147.389076241837 147.424998842661 147.436971538042
