"Titulos/Precios" "01/10/2018" "02/10/2018" "03/10/2018" "04/10/2018" "05/10/2018" "08/10/2018" "09/10/2018" "10/10/2018" "11/10/2018" "15/10/2018" "16/10/2018" "17/10/2018" "18/10/2018" "19/10/2018" "22/10/2018" "23/10/2018" "24/10/2018" "25/10/2018"
"1" "TIF042019" 108.647573845032 108.601474154015 108.522482832117 108.484938349445 108.46016278722 108.306457502487 108.280390225174 108.229468190149 108.19116794251 107.996845198544 107.044866823699 107.907392469737 107.815564980539 107.772027559694 107.632837814207 107.591060854445 107.5399902431 107.507673406259
"2" "TIF112019" 118.496387339884 118.470066236181 118.522659474392 118.476014868971 118.448015412245 118.299668708365 118.194862349827 118.205121017104 118.058699685462 117.897219605437 118.368428019042 117.812815430594 118.62964508299 118.55420070607 118.484496628676 118.420616685849 118.392776824716 118.33675556453
"3" "TIF112020" 129.381852212941 129.368267150817 129.334026241963 129.344239672561 129.333267408998 129.405222981525 129.421970151787 129.41665800356 129.84441475889 129.819935350822 124.427457973382 129.80786134993 129.043061345441 129.0142230839 129.016350324889 128.988006442071 128.996420550085 128.977102578936
"4" "TIF022021" 130.071334665355 130.058711039596 130.008082331695 130.02602041518 130.017575533357 130.116551350131 130.15180941919 130.141490471209 130.663325493518 130.655491770959 124.880216653564 130.652941065118 129.951672533471 129.935908578736 129.939649868232 129.92083529027 129.932229028387 129.922795113884
"5" "TIF032022" 129.957578997839 129.945207159436 129.861248058116 129.893007223372 129.886770726622 130.02990987482 130.09457327444 130.069453695873 130.899620067807 130.913358391008 124.845858324689 130.923901201435 130.891863892428 130.926455957459 130.911297436114 130.928863057423 130.943307054171 130.970089997964
"6" "TIF042023" 133.683795614211 133.677293810097 133.614740536239 133.648387535702 133.644916650154 133.785782120233 133.832262384182 133.815964691458 130.774273056275 130.787073461623 125.541388366379 130.795908482647 131.079463254719 131.127637340754 131.098363516378 131.127781154766 131.141331759491 131.17537274387
"7" "TIF012024" 135.527799637048 135.523840291057 135.479130347717 135.510781876264 135.507072824564 135.635801522716 135.663451761476 135.653274782363 132.609199267282 132.620648659358 127.862454134888 132.62765987452 132.99176873839 133.037391453272 133.005585341654 133.035351641522 133.049088614761 133.079169921715
"8" "TIF012026" 129.900762892632 129.902991120314 129.90430377088 129.928713651382 129.924272663965 130.014554888217 129.994553455365 129.999733573693 131.088901116058 131.109496149319 127.829536584153 131.118524244477 127.732242831614 127.756865973174 127.733600719247 127.755074601878 127.771018129304 127.780660465067
"9" "TIF112027" 129.047841306617 129.053083135486 129.084069274714 129.102899511554 129.096720458999 129.159342695736 129.105931761862 129.120230823647 130.275527626112 130.287090162907 127.78358441806 130.289379168542 130.661821425308 130.668295522118 130.653372430942 130.666836347723 130.685134412796 130.678029082932
"10" "TIF032028" 132.197004908892 132.204866703516 132.244471346161 132.264459501324 132.259970349298 132.324679101824 132.266018757556 132.285066822206 129.651083019125 129.65678578267 127.420165758781 129.65538032835 130.001347739845 130.004374968383 129.990977963766 130.00286654295 130.021733596851 130.011254288115
"11" "TIF052028" 129.875746549636 129.881531430709 129.920410142388 129.937635694128 129.930576851555 129.985857815895 129.922973383502 129.939491429439 131.122251234311 131.130164938159 128.839828625924 131.129955090136 131.501410264265 131.503181684674 131.490013836035 131.501363668431 131.520310775246 131.508720917448
"12" "TIF022029" 131.976363239597 131.983614622992 132.032209059943 132.048579970034 132.041513718193 132.091123302943 132.018173540302 132.038277935052 133.255226578547 133.263158306997 131.204260604206 133.262331889868 133.632363187999 133.628486416133 133.617926520865 133.626840387769 133.646768696163 133.629851428843
"13" "TIF032029" 131.401861546278 131.408930704179 131.458240247092 131.47410726463 131.466644388696 131.514602591868 131.440457119337 131.460508210343 132.67750668549 132.68382581844 130.67247641289 132.682067517608 133.047129003164 133.042922372158 133.032462711181 133.041198750479 133.061129381219 133.043884933252
"14" "TIF022030" 132.681228659783 132.68996182445 132.751396305212 132.765804004902 132.758135128537 132.797769759328 132.710936757275 132.735236257584 133.987076644535 133.992411852991 132.313996195161 133.989339608806 134.347918470094 134.336663149783 134.329545282903 134.335192180806 134.356218512254 134.332374157183
"15" "TIF032031" 127.747650237064 127.757762191458 127.830142658329 127.84215238735 127.834348112769 127.862788129572 127.765393338033 127.793220243988 129.03083650503 129.034247047912 127.836476233003 129.029473303841 129.356399613553 129.338451978139 129.335311355153 129.337708609398 129.359116206094 129.329441844318
"16" "TIF022032" 125.010044538745 125.021478633151 125.100961579022 125.111910766528 125.104687118397 125.12680636564 125.023177237255 125.053730912401 126.27989417404 126.284266825998 125.356361996711 126.279640708908 126.601911168127 126.57895188816 126.578595802443 126.578545533627 126.600143542507 126.566200007711
"17" "TIF032032" 132.871595631789 132.885625234772 132.969913775145 132.983911860264 132.978899252533 133.010601706555 132.905966230387 132.940585529263 130.402588662669 130.404567889652 129.507825742215 130.398319195024 130.708336731308 130.684892567451 130.684521228212 130.68456031564 130.707012911544 130.672104540942
"18" "TIF032033" 124.453916021578 124.466238822837 124.55385055937 124.563345168066 124.555712770015 124.570876775735 124.458616905341 124.491754757948 125.7320693543 125.734507740737 125.090649301609 125.728307318648 126.03676531135 126.009080146278 126.011078938551 126.008864783486 126.031059531208 125.992767604184
"19" "TIF052034" 121.413202774237 121.426702501035 121.520190623177 121.528774242083 121.521787551814 121.531559081581 121.414532565747 121.450006155961 122.672709974143 122.676386516986 122.285429327351 122.670561936625 122.9702260952 122.938237831409 122.942792203899 122.938405766822 122.960672090534 122.918819140783
"20" "SRC" 0.80750755360199 0.805401793725987 0.80324732399425 0.802574215121164 0.80053376770491 0.760333663450035 0.758304596838795 0.756251924479706 0.520631183230287 0.514072089121618 1.19639363719591 0.510711612548771 0.646726859840098 0.645492243332372 0.641442583374411 0.639630760689356 0.638651399642772 0.636799970626704
