"Titulos/Precios" "01/10/2018" "02/10/2018" "03/10/2018" "04/10/2018" "05/10/2018" "08/10/2018" "09/10/2018" "10/10/2018" "11/10/2018" "15/10/2018" "16/10/2018" "17/10/2018" "18/10/2018" "19/10/2018" "22/10/2018" "23/10/2018" "24/10/2018" "25/10/2018"
"1" "VEBONO022019" 103.672141065363 102.87843286391 102.722052506572 102.14938057082 101.947436605412 102.391311257677 103.266530463202 103.239181251328 102.044116503827 103.105672506228 103.080438065666 103.05379913371 103.781566712033 103.560337893898 103.574396836632 103.512990428385 103.559117010453 62.0725536141338
"2" "VEBONO032019" 105.526472727363 106.043867193883 105.903921995416 105.045659396119 105.143834534448 105.233056474438 105.416439082347 105.373268912187 104.746767932102 105.157021891606 105.116385933125 105.074798662264 105.876506936448 105.711873901029 105.739439017215 105.668245720788 105.712698704187 46.9827289749781
"3" "VEBONO042019" 109.190899857006 109.970597570131 109.864121210886 109.061643468483 109.20964305584 109.240398683686 109.226202787807 109.18179528336 108.769029584062 108.959288632304 108.918345202511 108.876315205845 106.128212072592 105.99341676206 106.026972119904 105.959003573617 106.00120326545 41.9933091272535
"4" "VEBONO012020" 119.331932543425 117.990783123145 118.293393084831 116.181664837856 115.668469934261 116.117388150137 116.76515959428 116.730268145601 116.678950818817 116.552460651283 116.533495074781 116.495498682831 116.998918303539 116.972493008031 116.890685762538 116.940355659448 116.907472646588 16.4296650109698
"5" "VEBONO062020" 119.333968590855 116.255367406907 116.628455568448 118.550861904761 117.904647482248 118.497866665248 120.302088689528 120.281538759714 119.535572901408 120.174783567332 120.173744721023 120.142955913305 120.493191939041 120.385735564392 120.174361017716 120.26446384888 120.189058147644 11.8060990111767
"6" "VEBONO112020" 116.226353842423 112.614128931306 112.993446291607 114.60740368498 114.219659473285 114.644907645186 116.962474830866 116.95203835397 115.81534022596 116.894858491891 116.902097981732 116.877687131633 117.131375596717 116.979366459246 116.703593296267 116.79173972939 116.701891773979 9.08719102175723
"7" "VEBONO012021" 123.691784028183 119.95247943173 120.345384924557 121.82829731549 121.566690688241 121.919571724335 124.386281740004 124.377459532752 123.131697808792 124.327985060519 124.336247082981 124.312657193932 124.57524593628 124.413730029134 124.1225496302 124.20616696469 124.114773494907 11.2871698914962
"8" "VEBONO052021" 123.373952060882 119.772404110262 120.162887882456 121.273159027528 121.295522932687 121.445413393141 123.951500568548 123.944832997178 122.641280728766 123.904863129305 123.912039959552 123.89017975998 124.136640890699 123.979232046845 123.677957684294 123.742445363552 123.653413356315 9.73532554141876
"9" "VEBONO022022" 123.464056647498 120.661138201114 121.045159203034 121.218159775938 121.953383130471 121.598354126902 123.868280222778 123.865277665273 122.68553609776 123.841197191484 123.842645160742 123.826784822473 124.057231823584 123.966017662733 123.691779579677 123.699826817149 123.631395115612 9.17019234938314
"10" "VEBONO012023" 125.173741163539 123.633670616082 124.013652222297 123.058572159069 124.659375125753 123.692124322761 125.488300890358 125.487790227365 124.625461252959 125.473395782162 125.465082349319 125.456846517901 125.687928661157 125.718027748384 125.507632988819 125.441613137931 125.406394893893 6.29971678861066
