"Titulos/Precios" "01/10/2018" "02/10/2018" "03/10/2018" "04/10/2018" "05/10/2018" "08/10/2018" "09/10/2018" "10/10/2018" "11/10/2018" "15/10/2018" "16/10/2018" "17/10/2018" "18/10/2018" "19/10/2018" "22/10/2018" "23/10/2018" "24/10/2018" "25/10/2018"
"1" "TIF042019" 108.666110181568 108.594564077579 108.515238124011 108.504412107259 108.427825228509 108.293995189963 108.272865668147 108.216453976179 108.186783727968 108.013801315058 107.960790952702 107.924739587799 107.934666503046 105.915897125547 107.695851683289 105.306210415933 107.601227839053 106.602339513666
"2" "TIF112019" 118.134083871396 118.287301416996 118.531435528403 118.225104963301 118.226127209943 118.301624829939 117.980282825771 117.92835234178 118.087646199875 117.549298863449 117.876372426121 117.577231541984 113.662302495533 116.549908732682 118.195005059055 115.859785535414 118.068281438911 117.99774382784
"3" "TIF112020" 128.021202936696 130.741265892223 129.343340592653 130.793920738834 130.782434551226 129.403872589916 130.907433495954 131.012189216398 129.77516835341 130.994655742341 129.721029852371 130.678035756076 111.821495979922 128.045198300699 129.16022273075 128.920164292544 129.073599079809 129.262197621137
"4" "TIF022021" 128.965334335536 131.415521693662 130.016695574479 131.444787567426 131.41473387696 130.117538329786 131.599665104576 131.681473025611 130.58737542656 131.864687400592 130.575977298128 131.58478995927 110.653651911135 129.160635804855 130.114747552822 130.337825362764 130.038024108495 130.245763935924
"5" "TIF032022" 131.009226442888 129.552821561484 129.867648029081 129.340425281447 129.230322991958 130.044036968679 129.486732671997 129.263368325431 130.941044148322 130.748818409398 130.951157205443 131.062452441823 100.967620656447 130.866022596013 131.158970787429 133.007634230529 131.118900408473 131.33525635367
"6" "TIF042023" 135.618248536496 130.899402918949 133.6201788352 130.612480888929 130.525226052386 133.80283901197 130.647871275171 130.265035190826 130.868024197479 128.618213104853 130.872733918485 129.317400533031 92.471495904331 131.551294795873 131.259350891874 133.576838671203 131.292352311667 131.733209171597
"7" "TIF012024" 137.490682203456 131.628960366043 135.484079579942 131.430667213042 131.393485105689 135.651025578073 131.418990336451 131.09499491792 132.689404391332 129.576342004762 132.698134781969 130.193790615595 89.4227179656583 133.739996242173 133.122537867212 135.376213604449 133.166852653108 133.839790782256
"8" "TIF012026" 130.783278282294 125.628870489183 129.907729991799 125.860954667725 125.96083071352 130.021468763401 125.860004454509 125.954557070165 131.076111332583 127.982176514419 131.151037897803 127.729303881935 76.9640536631918 129.093384775525 127.746576893792 129.319947543898 127.824404612906 129.071940798644
"9" "TIF112027" 128.930465006606 126.46242044869 129.086574428473 126.890967080533 127.031134932588 129.160011425024 126.937547087741 127.237159200654 130.203187055288 128.566372376737 130.264528156655 127.775068290374 75.5843109426885 132.455107348462 130.632831491676 131.619155889839 130.652480680685 132.397573959418
"10" "TIF032028" 132.002188064152 130.092585073642 132.246974269408 130.526175053596 130.666401367309 132.324651811167 130.586428328586 130.893763876682 129.645422592002 128.288868680935 129.668804583232 127.46578223483 73.7456732861881 131.866953934848 129.938959586657 130.827735557525 130.03134674241 131.799123167851
"11" "TIF052028" 129.658021732968 127.977466204804 129.922795652569 128.404486123642 128.541007892185 129.98513345944 128.458154802334 128.763501646284 131.0697371275 129.920057741329 131.112324628268 129.092480623975 74.9839517458003 133.40380324186 131.458170268654 132.292260845575 131.500103780411 133.334726790417
"12" "TIF022029" 131.503817927189 131.083921147504 132.034349739215 131.467622181367 131.590274743599 132.088525334985 131.528142539266 131.80743424723 133.181157771904 132.758828194199 133.231647056614 131.980893198612 75.5048774747059 135.682615180949 133.570626050487 134.236706029997 133.607378745905 135.603652749367
"13" "TIF032029" 131.008907696086 130.562504388211 131.460423041228 130.941866757908 131.063385492702 131.512024086912 131.001078957863 131.277494032945 132.624106086485 132.216361578966 132.663108547851 131.444048978431 74.8731387845867 135.098470421634 132.978491331717 133.633809765498 133.037791836894 135.017751265958
"14" "TIF022030" 132.12765571951 133.353281432368 132.753279665901 133.595352065387 133.682015966804 132.792916962348 133.65065602376 133.835456464651 133.920738378387 134.519718968314 133.961695489876 133.99370833537 74.6411120621006 136.572701928579 134.253518964961 134.694331601574 134.319782314347 136.476939663249
