"Titulos/Precios" "01/10/2018" "02/10/2018" "03/10/2018" "04/10/2018" "05/10/2018" "08/10/2018" "09/10/2018" "10/10/2018" "11/10/2018" "15/10/2018" "16/10/2018" "17/10/2018" "18/10/2018" "19/10/2018" "22/10/2018" "23/10/2018" "24/10/2018" "25/10/2018"
"1" "VEBONO022019" 103.91566930831 103.899813814763 103.886619559351 103.531356945732 103.507623317766 103.430444669217 103.426189225169 103.409256999333 103.210804863496 103.261702976259 103.252460043205 103.216951059859 103.806922021335 103.777665987578 103.738868654508 103.726043680459 103.694747191528 103.548352012622
"2" "VEBONO032019" 105.3549766298 105.316711501611 105.273013149877 105.490626998403 105.4457010744 105.320281856384 105.257909137033 105.237340043482 105.326592228571 105.0281758716 104.983615386417 104.910496364666 105.683221996449 105.599200051901 105.590851852426 105.622581250023 105.572787328123 105.41351824838
"3" "VEBONO042019" 108.875930972856 108.830833700567 108.776418850595 109.236274989265 109.185262893935 109.052798560756 108.974947555102 108.95230355707 109.133063015095 108.741204529293 108.686074871111 108.607677339406 105.877708108614 105.779265660286 105.786404592213 105.833786358009 105.781959463768 105.628387364046
"4" "VEBONO012020" 118.9782718498 118.916911913094 118.794249239998 117.355178329758 117.237682481588 117.143398831582 117.12858876919 116.973590781097 116.685994485978 116.857995177197 116.756942957319 116.835805134786 117.512502849905 117.648049811503 117.550422897586 117.459021129992 117.484198991763 117.54431459163
"5" "VEBONO062020" 119.995151328073 119.984478323933 119.900488092847 121.460798178438 121.345243506677 121.32277475303 121.403279977646 121.230150491332 120.25125972044 121.174813597419 121.127703912133 121.272790713987 121.492662897944 121.977787454886 121.606047360535 121.302712100296 121.353956469217 121.547663281143
"6" "VEBONO112020" 117.545863098665 117.595162278693 117.583902722744 118.018676028104 117.946331818777 117.968063231518 118.028915197811 117.964562508185 116.931754161397 117.919387792082 117.941671110583 117.988590297015 117.760242168016 118.490782585308 117.950158386883 117.578253763275 117.613457903594 117.845425584756
"7" "VEBONO012021" 125.112809653063 125.181201229796 125.195684206336 125.273748348733 125.220540115817 125.247601724074 125.272384662705 125.268867237218 124.35808798379 125.213027423371 125.257665393704 125.235015250284 124.883731426123 125.690569531649 125.117473249857 124.75374382576 124.780774719315 125.002132256407
"8" "VEBONO052021" 124.698504850273 124.792854876587 124.85305535653 124.328686023925 124.320534618766 124.347622861746 124.284064327882 124.407214725693 123.926839516476 124.327993696277 124.406915996698 124.236594299668 123.67385954561 124.538053606756 123.986101629614 123.697137253779 123.712149487387 123.864396869895
"9" "VEBONO022022" 123.574928185474 123.68237744238 123.810091347731 122.597832387189 122.703347867565 122.699829717716 122.419956871438 122.806512223904 123.848641702248 122.67958715621 122.797197844384 122.314345582741 121.418729960114 122.216859774165 121.979810120005 122.024023706277 122.071199456075 121.885844957191
"10" "VEBONO012023" 123.005031589548 123.057382995707 123.182013061074 122.269951319783 122.481725555619 122.422005283048 122.080653082923 122.534486826877 125.470304431939 122.399321299936 122.490196695095 121.94468865077 120.844153120715 121.39223723753 121.754749821456 122.246840174756 122.455925408518 118.027615095929
"11" "VEBONO022024" 121.001124189944 120.96838244689 121.027758522094 120.93038839315 121.185869402286 121.078505907267 121.010265935112 121.180288126071 125.371587122575 121.09854390559 121.103662376522 120.938365211847 119.769186643501 120.046344734187 120.954878255902 121.764931895973 122.195639472306 120.931626030877
"12" "VEBONO042024" 122.216389080179 122.173880115621 122.22333749814 122.230528180314 122.486889633687 122.378092221219 122.368323170589 122.480530546404 126.757554345081 122.415300505663 122.407675592294 122.31964607388 121.152732840153 121.398031461458 122.362674968952 123.200539452051 123.657434547633 118.625934722642
"13" "VEBONO012025" 123.647430404356 123.567251904992 123.571976501867 123.981476142404 124.225078870337 124.106352230032 124.395292712892 124.209246553704 128.63128634307 124.206226154286 124.13615010471 124.431892107883 119.514678874606 119.631568631852 120.759395376611 121.673457145487 122.21593696854 120.835377617526
"14" "VEBONO022025" 121.480731417601 121.394915597525 121.391671806968 121.856242765197 122.093748876327 121.97126882241 122.316291153171 122.072550236169 126.464615614872 122.074960582838 121.992789036928 122.359026108288 121.262722530311 121.358668442438 122.50163867608 123.42095744896 123.972309089598 122.600445853723
"15" "VEBONO032027" 122.814838024035 122.712076364382 122.640840697427 123.405952364658 123.515314958803 123.419218851939 124.446616061751 123.542933448765 126.203373313977 123.695647949592 123.499038466172 124.663913587432 124.159840282412 123.986671097806 124.858504947678 125.679271776262 126.086294635455 125.601942725241
"16" "VEBONO042028" 127.049292418126 126.969386312631 126.890610068088 127.555380732196 127.57581315783 127.515665344276 128.662112951956 127.659451403256 128.586472352834 127.856874188781 127.653298082536 128.906560711274 128.95718523233 128.642759377596 129.060320423778 129.747781058682 129.898144757929 130.381225032243
"17" "VEBONO102028" 127.980899366845 127.915082386805 127.837011456525 128.437099402651 128.414747428862 128.37259169905 129.498165132351 128.524464950045 128.518479951919 128.726271940452 128.533772819902 129.731022944857 130.087622199987 129.702087450585 129.852529174957 130.468964344531 130.469924797537 131.483313398678
"18" "VEBONO052029" 128.528759848935 128.479028496383 128.403823482192 128.935579757279 128.868871356823 128.846788983936 129.897730274283 129.006149022106 127.96242545332 129.202391565898 129.031791360646 130.105698866468 130.808396481925 130.344633241989 130.187640257342 130.726256140403 130.557340765684 132.163511353114
"19" "VEBONO032031" 130.585523046564 130.595661195762 130.54114843943 130.905459383041 130.695417627159 130.754180603297 131.154211230397 130.932724967367 125.955083805061 131.036856785233 131.024548168993 131.206051686447 133.265887919771 132.500969176944 131.124913911668 131.386249821065 130.569702904577 134.428136715457
"20" "VEBONO062032" 129.589798529503 129.642418790533 129.609700815054 126.43453771745 126.140312628125 126.26349670675 125.86542903603 126.44047002772 118.594677056712 126.409253445825 126.583561002294 125.759535575827 128.827730809385 127.845421738531 125.553365280961 125.601926750105 124.331128929301 129.75953639841
"21" "VEBONO072033" 130.782730567004 130.866689084772 130.850870627465 131.257240425015 130.90197915558 131.084460941255 129.843841414418 131.261571591587 120.876055268686 131.076674809865 131.455711763781 129.593166278294 133.583485043849 132.39236199061 129.285612417613 129.182373394113 127.526878755211 134.36069622327
"22" "VEBONO022034" 127.305359234231 127.405140031683 127.399186751649 127.878029990748 127.495930765382 127.708506218365 125.941295978042 127.876742675104 116.182797728648 127.585960386064 128.092026773814 125.599041838139 130.061329023857 128.765016720231 125.232549432924 125.039350688525 123.193427817404 130.711633355383
"23" "SRC" 0.491393569574461 0.490321975048283 0.487996149551439 0.469734517910588 0.466458740497147 0.458874680811959 0.450245816399417 0.441470316689675 0.50859162285991 0.428601975756255 0.42478674148595 0.42975294330229 0.351155314098496 0.352030520599668 0.332178820524583 0.322666772703508 0.32494300020322 0.37114758084841
