"Tipo Instrumento" "Nombre" "Sicet" "F.Emision" "F.Vencimiento" "Tipo tasa" "Inicio" "Pago cupon 1" "Pago cupon 2" "Cupon"
"1" "TIF" "TIF082019" "DPBS04686-0040" "17/07/2006" "02/08/2019" "Tasa Fija" "Cada 91 días" "04/05/2018" "03/08/2018" 9.875
"2" "TIF" "TIF102020" "DPBS04686-0059" "17/07/2006" "15/10/2020" "Tasa Fija" "Cada 91 días" "19/04/2018" "19/07/2018" 9.875
"3" "VEBONO" "VEBONO022019" "DPBS07219-0052" "05/02/2010" "01/02/2019" "L. T. + 5,5" "Cada 91 días" "04/05/2018" "03/08/2018" 10.87
"4" "VEBONO" "VEBONO112020" "DPBS07328-0013" "23/03/2010" "26/11/2020" "L. T. + 6,5" "Cada 91 días" "31/05/2018" "30/08/2018" 11.87
"5" "VEBONO" "VEBONO102019" "DPBS07990-0023" "11/01/2011" "25/10/2019" "L. T. + 8,75" "Cada 91 días" "27/04/2018" "27/07/2018" 14.12
"6" "VEBONO" "VEBONO072018" "DPBS07993-0048" "11/01/2011" "19/07/2018" "L. T. + 8,5" "Cada 91 días" "19/04/2018" "19/07/2018" 13.87
"7" "VEBONO" "VEBONO042019" "DPBS08773-0025" "11/01/2012" "18/04/2019" "L. T. + 8,75" "Cada 91 días" "19/04/2018" "19/07/2018" 14.12
"8" "TIF" "TIF082018" "DPBS08773-0034" "11/01/2012" "23/08/2018" "Tasa Fija" "Cada 91 días" "24/05/2018" "23/08/2018" 16
"9" "VEBONO" "VEBONO032019" "DPBS08773-0043" "11/01/2012" "28/03/2019" "L. T. + 8,75" "Cada 91 días" "28/06/2018" "27/09/2018" 14.13
"10" "VEBONO" "VEBONO012021" "DPBS08772-0017" "11/01/2012" "29/01/2021" "L. T. + 9,25" "Cada 91 días" "04/05/2018" "03/08/2018" 14.62
"11" "TIF" "TIF042019" "DPBS08772-0026" "11/01/2012" "18/04/2019" "Tasa Fija" "Cada 91 días" "19/04/2018" "19/07/2018" 16
"12" "VEBONO" "VEBONO012020" "DPBS08771-0018" "11/01/2012" "02/01/2020" "L. T. + 9,0" "Cada 91 días" "05/04/2018" "05/07/2018" 14.37
"13" "VEBONO" "VEBONO062020" "DPBS08771-0027" "11/01/2012" "18/06/2020" "L. T. + 9,0" "Cada 91 días" "21/06/2018" "20/09/2018" 14.37
"14" "VEBONO" "VEBONO052021" "DPBS09115-0015" "26/07/2012" "20/05/2021" "L. T. + 9,25" "Cada 91 días" "24/05/2018" "23/08/2018" 14.62
"15" "TIF" "TIF112019" "DPBS09115-0024" "26/07/2012" "21/11/2019" "Tasa Fija" "Cada 91 días" "24/05/2018" "23/08/2018" 16
"16" "TIF" "TIF112020" "DPBS09115-0033" "26/07/2012" "26/11/2020" "Tasa Fija" "Cada 91 días" "31/05/2018" "30/08/2018" 17
"17" "VEBONO" "VEBONO092020" "DPBS09115-0042" "26/07/2012" "11/09/2020" "L. T. + 9,0" "Cada 91 días" "15/06/2018" "14/09/2018" 14.37
"18" "VEBONO" "VEBONO122021" "DPBS09115-0051" "26/07/2012" "10/12/2021" "L. T. + 9,25" "Cada 91 días" "15/06/2018" "14/09/2018" 14.62
"19" "TIF" "TIF022021" "DPBS09345-0014" "08/01/2013" "04/02/2021" "Tasa Fija" "Cada 91 días" "10/05/2018" "09/08/2018" 16.5
"20" "VEBONO" "VEBONO022022" "DPBS09345-0023" "08/01/2013" "10/02/2022" "L. T.  + 9,0" "Cada 91 días" "17/05/2018" "16/08/2018" 14.37
"21" "VEBONO" "VEBONO012023" "DPBS09345-0032" "08/01/2013" "19/01/2023" "L. T. + 9,25" "Cada 91 días" "26/04/2018" "26/07/2018" 14.62
"22" "TIF" "TIF032022" "DPBS09345-0041" "08/01/2013" "03/03/2022" "Tasa Fija" "Cada 91 días" "07/06/2018" "06/09/2018" 16
"23" "TIF" "TIF042023" "DPBS09345-0050" "08/01/2013" "06/04/2023" "Tasa Fija" "Cada 91 días" "12/04/2018" "12/07/2018" 16
"24" "VEBONO" "VEBONO042024" "DPBS09347-0012" "08/01/2013" "18/04/2024" "L. T.  + 9,5" "Cada 91 días" "26/04/2018" "26/07/2018" 14.87
"25" "VEBONO" "VEBONO012025" "DPBS00324-0018" "15/08/2013" "09/01/2025" "L. T. + 9,75" "Cada 91 días" "19/04/2018" "19/07/2018" 15.12
"26" "TIF" "TIF012024" "DPBS00324-0027" "15/08/2013" "04/01/2024" "Tasa Fija" "Cada 91 días" "12/04/2018" "12/07/2018" 16.25
"27" "TIF" "TIF062025" "DPBS00324-0036" "15/08/2013" "19/06/2025" "Tasa Fija" "Cada 91 días" "28/06/2018" "27/09/2018" 15
"28" "VEBONO" "VEBONO062026" "DPBS00324-0045" "15/08/2013" "04/06/2026" "L. T. + 9,75" "Cada 91 días" "14/06/2018" "13/09/2018" 15.12
"29" "VEBONO" "VEBONO022025" "DPBS00760-0016" "29/01/2014" "27/02/2025" "L. T. + 9,75" "Cada 91 días" "07/06/2018" "06/09/2018" 15.12
"30" "VEBONO" "VEBONO022024" "DPBS00760-0025" "29/01/2014" "22/02/2024" "L. T. + 9,50" "Cada 91 días" "31/05/2018" "30/08/2018" 14.87
"31" "TIF" "TIF012026" "DPBS00760-0034" "29/01/2014" "08/01/2026" "Tasa Fija" "Cada 91 días" "19/04/2018" "19/07/2018" 15
"32" "TIF" "TIF052028" "DPBS00760-0043" "29/01/2014" "25/05/2028" "Tasa Fija" "Cada 91 días" "07/06/2018" "06/09/2018" 15.25
"33" "TIF" "TIF032029" "DPBS00760-0052" "29/01/2014" "01/03/2029" "Tasa Fija" "Cada 91 días" "14/06/2018" "13/09/2018" 15.5
"34" "VEBONO" "VEBONO032027" "DPBS00760-0061" "29/01/2014" "11/03/2027" "L. T. + 9,70" "Cada 91 días" "21/06/2018" "20/09/2018" 15.07
"35" "TIF" "TIF112027" "DPBS00760-0070" "29/01/2014" "04/11/2027" "Tasa Fija" "Cada 91 días" "17/05/2018" "16/08/2018" 15
"36" "VEBONO" "VEBONO102028" "DPBS00762-0014" "29/01/2014" "26/10/2028" "L. T. + 9,70" "Cada 91 días" "10/05/2018" "09/08/2018" 15.07
"37" "TIF" "TIF032028" "DPBS01632-0011" "24/02/2015" "30/03/2028" "Tasa Fija" "Cada 91 días" "12/04/2018" "12/07/2018" 15.25
"38" "TIF" "TIF022029" "DPBS01632-0020" "24/02/2015" "15/02/2029" "Tasa Fija" "Cada 91 días" "31/05/2018" "30/08/2018" 15.5
"39" "VEBONO" "VEBONO042028" "DPBS01632-0039" "24/02/2015" "20/04/2028" "L. T. + 9,70" "Cada 91 días" "03/05/2018" "02/08/2018" 15.07
"40" "TIF" "TIF022030" "DPBS01632-0048" "24/02/2015" "28/02/2030" "Tasa Fija" "Cada 91 días" "14/06/2018" "13/09/2018" 15.65
"41" "VEBONO" "VEBONO052029" "DPBS01632-0057" "24/02/2015" "10/05/2029" "L. T. + 9,70" "Cada 91 días" "24/05/2018" "23/08/2018" 15.07
"42" "VEBONO" "VEBONO102029" "DPBS01632-0066" "24/02/2015" "18/10/2029" "L. T. + 9,70" "Cada 91 días" "03/05/2018" "02/08/2018" 15.07
"43" "TIF" "TIF102030" "DPBS01632-0075" "24/02/2015" "10/10/2030" "Tasa Fija" "Cada 91 días" "26/04/2018" "26/07/2018" 15.5
"44" "VEBONO" "VEBONO072030" "DPBS01631-0012" "24/02/2015" "18/07/2030" "L. T. + 9,60" "Cada 91 días" "03/05/2018" "02/08/2018" 14.97
"45" "TIF" "TIF022031" "DPBS01631-0021" "24/02/2015" "06/02/2031" "Tasa Fija" "Cada 91 días" "24/05/2018" "23/08/2018" 15
"46" "VEBONO" "VEBONO032031" "DPBS02207-0016" "28/01/2016" "13/03/2031" "L. T. + 9,60" "Cada 91 días" "28/06/2018" "27/09/2018" 14.98
"47" "TIF" "TIF032031" "DPBS02207-0025" "28/01/2016" "13/03/2031" "Tasa Fija" "Cada 91 días" "28/06/2018" "27/09/2018" 15
"48" "TIF" "TIF032032" "DPBS02207-0034" "28/01/2016" "25/03/2032" "Tasa Fija" "Cada 91 días" "12/04/2018" "12/07/2018" 15.25
"49" "TIF" "TIF022032" "DPBS02207-0043" "28/01/2016" "19/02/2032" "Tasa Fija" "Cada 91 días" "07/06/2018" "06/09/2018" 14.5
"50" "VEBONO" "VEBONO062032" "DPBS02207-0052" "28/01/2016" "17/06/2032" "L. T. + 8,60" "Cada 91 días" "05/04/2018" "05/07/2018" 13.97
"51" "TIF" "TIF052034" "DPBS02207-0061" "28/01/2016" "11/05/2034" "Tasa Fija" "Cada 91 días" "31/05/2018" "30/08/2018" 14
"52" "VEBONO" "VEBONO022034" "DPBS02207-0070" "28/01/2016" "23/02/2034" "L. T. + 8,20" "Cada 91 días" "14/06/2018" "13/09/2018" 13.57
"53" "VEBONO" "VEBONO072033" "DPBS02209-0014" "28/01/2016" "21/07/2033" "L. T. + 8,60" "Cada 91 días" "10/05/2018" "09/08/2018" 13.97
