"Tipo Instrumento" "Nombre" "Sicet" "F.Emision" "F.Vencimiento" "Tipo tasa" "Inicio" "Pago cupon 1" "Pago cupon 2" "Cupon"
"1" "TIF" "TIF052018" "DPBS04686-0031" "17/07/2006" "11/05/2018" "Tasa Fija" "Cada 91 días" "09/02/2018" "11/05/2018" 9.875
"2" "TIF" "TIF082019" "DPBS04686-0040" "17/07/2006" "02/08/2019" "Tasa Fija" "Cada 91 días" "02/02/2018" "04/05/2018" 9.875
"3" "TIF" "TIF102020" "DPBS04686-0059" "17/07/2006" "15/10/2020" "Tasa Fija" "Cada 91 días" "18/01/2018" "19/04/2018" 9.875
"4" "VEBONO" "VEBONO042018" "DPBS07219-0043" "05/02/2010" "12/04/2018" "L. T. + 4,5" "Cada 91 días" "11/01/2018" "12/04/2018" 9.87
"5" "VEBONO" "VEBONO022019" "DPBS07219-0052" "05/02/2010" "01/02/2019" "L. T. + 5,5" "Cada 91 días" "02/02/2018" "04/05/2018" 10.87
"6" "VEBONO" "VEBONO112020" "DPBS07328-0013" "23/03/2010" "26/11/2020" "L. T. + 6,5" "Cada 91 días" "01/03/2018" "31/05/2018" 11.87
"7" "VEBONO" "VEBONO102019" "DPBS07990-0023" "11/01/2011" "25/10/2019" "L. T. + 8,75" "Cada 91 días" "26/01/2018" "27/04/2018" 14.12
"8" "VEBONO" "VEBONO062018" "DPBS07989-0072" "11/01/2011" "08/06/2018" "L. T. + 8,5" "Cada 91 días" "09/03/2018" "08/06/2018" 13.87
"9" "VEBONO" "VEBONO072018" "DPBS07993-0048" "11/01/2011" "19/07/2018" "L. T. + 8,5" "Cada 91 días" "18/01/2018" "19/04/2018" 13.87
"10" "TIF" "TIF042018" "DPBS08773-0016" "11/01/2012" "12/04/2018" "Tasa Fija" "Cada 91 días" "11/01/2018" "12/04/2018" 18
"11" "VEBONO" "VEBONO042019" "DPBS08773-0025" "11/01/2012" "18/04/2019" "L. T. + 8,75" "Cada 91 días" "18/01/2018" "19/04/2018" 14.12
"12" "TIF" "TIF082018" "DPBS08773-0034" "11/01/2012" "23/08/2018" "Tasa Fija" "Cada 91 días" "22/02/2018" "24/05/2018" 16
"13" "VEBONO" "VEBONO032019" "DPBS08773-0043" "11/01/2012" "28/03/2019" "L. T. + 8,75" "Cada 91 días" "28/12/2017" "29/03/2018" 14.12
"14" "VEBONO" "VEBONO012021" "DPBS08772-0017" "11/01/2012" "29/01/2021" "L. T. + 9,25" "Cada 91 días" "02/02/2018" "04/05/2018" 14.62
"15" "TIF" "TIF042019" "DPBS08772-0026" "11/01/2012" "18/04/2019" "Tasa Fija" "Cada 91 días" "18/01/2018" "19/04/2018" 16
"16" "VEBONO" "VEBONO012020" "DPBS08771-0018" "11/01/2012" "02/01/2020" "L. T. + 9,0" "Cada 91 días" "04/01/2018" "05/04/2018" 14.37
"17" "VEBONO" "VEBONO062020" "DPBS08771-0027" "11/01/2012" "18/06/2020" "L. T. + 9,0" "Cada 91 días" "21/12/2017" "22/03/2018" 14.37
"18" "VEBONO" "VEBONO052021" "DPBS09115-0015" "26/07/2012" "20/05/2021" "L. T. + 9,25" "Cada 91 días" "22/02/2018" "24/05/2018" 14.62
"19" "TIF" "TIF112019" "DPBS09115-0024" "26/07/2012" "21/11/2019" "Tasa Fija" "Cada 91 días" "22/02/2018" "24/05/2018" 16
"20" "TIF" "TIF112020" "DPBS09115-0033" "26/07/2012" "26/11/2020" "Tasa Fija" "Cada 91 días" "01/03/2018" "31/05/2018" 17
"21" "VEBONO" "VEBONO092020" "DPBS09115-0042" "26/07/2012" "11/09/2020" "L. T. + 9,0" "Cada 91 días" "15/12/2017" "16/03/2018" 14.38
"22" "VEBONO" "VEBONO122021" "DPBS09115-0051" "26/07/2012" "10/12/2021" "L. T. + 9,25" "Cada 91 días" "15/12/2017" "16/03/2018" 14.63
"23" "TIF" "TIF022021" "DPBS09345-0014" "08/01/2013" "04/02/2021" "Tasa Fija" "Cada 91 días" "08/02/2018" "10/05/2018" 16.5
"24" "VEBONO" "VEBONO022022" "DPBS09345-0023" "08/01/2013" "10/02/2022" "L. T.  + 9,0" "Cada 91 días" "15/02/2018" "17/05/2018" 14.37
"25" "VEBONO" "VEBONO012023" "DPBS09345-0032" "08/01/2013" "19/01/2023" "L. T. + 9,25" "Cada 91 días" "25/01/2018" "26/04/2018" 14.62
"26" "TIF" "TIF032022" "DPBS09345-0041" "08/01/2013" "03/03/2022" "Tasa Fija" "Cada 91 días" "08/03/2018" "07/06/2018" 16
"27" "TIF" "TIF042023" "DPBS09345-0050" "08/01/2013" "06/04/2023" "Tasa Fija" "Cada 91 días" "11/01/2018" "12/04/2018" 16
