"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"2019-01-01" "1" "1" "2" "1" "1" "2" "1" "1" "2" "2" "1" "1" "1" "2" "1" "1" "2" "3" "2" "2" "4" "3" "2" "3" "2" "1"
"2019-01-02" "1" "1" "1" "4" "1" "1" "1" "3" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "4" "1" "1" "3" "1" "1"
"2019-01-03" "1" "1" "2" "1" "1" "1" "1" "1" "1" "1" "1" "1" "2" "2" "2" "1" "2" "2" "1" "2" "4" "2" "1" "3" "1" "2"
"2019-01-04" "2" "2" "1" "4" "2" "2" "1" "3" "1" "1" "2" "1" "1" "1" "2" "2" "1" "3" "1" "1" "4" "2" "1" "3" "1" "2"
"2019-01-07" "2" "2" "2" "4" "2" "2" "2" "3" "2" "2" "2" "2" "2" "1" "2" "2" "2" "1" "2" "2" "1" "1" "2" "1" "2" "1"
"2019-01-08" "1" "1" "1" "4" "1" "1" "1" "3" "2" "2" "1" "1" "1" "2" "1" "2" "1" "1" "1" "1" "4" "1" "2" "3" "2" "1"
"2019-01-09" "1" "1" "1" "4" "1" "2" "1" "1" "2" "2" "1" "1" "1" "2" "1" "2" "1" "3" "1" "1" "4" "2" "2" "3" "2" "1"
"2019-01-10" "2" "1" "1" "1" "2" "2" "1" "1" "2" "2" "2" "2" "1" "2" "1" "2" "1" "3" "1" "1" "4" "3" "2" "3" "2" "1"
"2019-01-11" "2" "1" "2" "4" "2" "1" "2" "1" "1" "1" "2" "2" "2" "2" "2" "1" "2" "3" "2" "2" "4" "3" "2" "3" "1" "2"
"2019-01-14" "2" "2" "2" "4" "2" "2" "2" "2" "2" "2" "2" "2" "2" "2" "2" "2" "2" "2" "2" "2" "4" "3" "2" "3" "2" "2"
"2019-01-15" "1" "2" "2" "4" "1" "1" "1" "1" "1" "1" "1" "1" "2" "1" "2" "1" "2" "2" "2" "2" "4" "2" "1" "3" "1" "2"
"2019-01-16" "2" "1" "2" "4" "1" "1" "1" "1" "1" "1" "1" "1" "1" "2" "2" "1" "1" "2" "1" "1" "4" "2" "1" "3" "1" "2"
"2019-01-17" "1" "1" "2" "2" "1" "2" "1" "1" "2" "2" "1" "1" "2" "2" "1" "1" "2" "1" "1" "1" "4" "3" "2" "3" "2" "2"
