"Tipo Instrumento" "Nombre" "Fecha op" "Fuente" "Sicet" "F.Vencimiento" "Plazo" "Op" "Monto" "Pre min" "Pre max" "Pre prom" "Cupon" "Frecuencia" "Rendimiento"
"1" "VEBONO" "VEBONO032034" 2018-01-02 "022 BCV" "DPBS02911-0012" 2034-03-30 5931 2 690698000 118.0156 118.0469 118.03125 13.77 4 11.3293516832274
"2" "VEBONO" "VEBONO012023" 2018-01-12 "022 BCV" "DPBS09345-0032" 2023-01-19 1833 2 9600000 125.9937 126.025 126.00935 14.8 4 8.37834723911248
"3" "LETRA" "LTB072018" 2018-01-16 "022 BCV" "LTBS00718-0013" 2018-07-18 183 1 1.05e+08 98.4 98.4 98.4 0 0 3.19872051179526
"4" "LETRA" "LTB072018" 2018-01-17 "022 BCV" "LTBS00718-0013" 2018-07-18 182 1 1.05e+08 98.4312999999999 98.4313 98.4312999999999 0 0 3.15237437372391
"5" "VEBONO" "VEBONO022022" 2018-01-18 "022 BCV" "DPBS09345-0023" 2022-02-10 1484 1 2.39e+09 124.5988 124.5988 124.5988 14.46 4 7.37462586122888
"6" "VEBONO" "VEBONO012023" 2018-01-18 "022 BCV" "DPBS09345-0032" 2023-01-19 1827 1 2e+09 129.6188 129.6188 129.6188 14.8 4 7.60634907510847
"7" "VEBONO" "VEBONO062032" 2018-01-18 "022 BCV" "DPBS02207-0052" 2032-06-17 5264 1 1146049153 120.8488 120.8488 120.8488 13.97 4 11.0587512965183
"8" "VEBONO" "VEBONO022022" 2018-01-19 "022 BCV" "DPBS09345-0023" 2022-02-10 1483 1 2.39e+09 124.63 124.63 124.63 14.46 4 7.36319592452146
"9" "VEBONO" "VEBONO012023" 2018-01-19 "022 BCV" "DPBS09345-0032" 2023-01-19 1826 1 2e+09 129.65 129.65 129.65 14.8 4 7.61415593573602
"10" "VEBONO" "VEBONO062032" 2018-01-19 "022 BCV" "DPBS02207-0052" 2032-06-17 5263 1 1146049153 120.88 120.88 120.88 13.97 4 11.0547685978681
"11" "VEBONO" "VEBONO042019" 2018-01-22 "022 BCV" "DPBS08773-0025" 2019-04-18 451 1 350674199 117.2 117.2 117.2 14.12 4 0.214371011680736
