"Tipo.Instrumento" "Nombre" "Fecha.op" "Fuente" "Sicet" "F.Vencimiento" "Plazo" "Op" "Monto" "Pre.min" "Pre.max" "Pre.prom" "Cupon" "Frecuencia" "Rendimiento"
"VEBONO" "VEBONO012021" 2016-01-05 "022 BCV" "DPBS08772-0017" 2021-01-29 1851 1 42373000 123.7313 123.7313 123.7313 16.12 4 10.05899484
"VEBONO" "VEBONO052021" 2016-01-05 "022 BCV" "DPBS09115-0015" 2021-05-20 1962 1 2.8e+07 123.7325 123.7325 123.7325 16.05 4 10.23226622
"VEBONO" "VEBONO042024" 2016-01-05 "022 BCV" "DPBS09347-0012" 2024-04-18 3026 1 23071057 126.727 126.727 126.727 16.38 4 11.34373
"TIF" "TIF032028" 2016-01-05 "022 BCV" "DPBS01632-0011" 2028-03-30 4468 1 3e+07 129.4099 129.4099 129.4099 15.25 4 10.86906027
"TIF" "TIF022029" 2016-01-05 "022 BCV" "DPBS01632-0020" 2029-02-15 4790 1 25500000 128.901 128.901 128.901 15.5 4 11.24510291
"TIF" "TIF022021" 2016-01-06 "022 BCV" "DPBS09345-0014" 2021-02-04 1856 1 50010500 128.3867 128.3867 128.3867 16.5 4 9.385501656
"VEBONO" "VEBONO012023" 2016-01-06 "022 BCV" "DPBS09345-0032" 2023-01-19 2570 1 7.6e+07 127.0938 127.0938 127.0938 16.13 4 10.59862588
"VEBONO" "VEBONO042028" 2016-01-06 "022 BCV" "DPBS01632-0039" 2028-04-20 4488 1 1.3e+08 127.8348 127.8348 127.8348 16.57 4 12.16131347
"TIF" "TIF082018" 2016-01-07 "022 BCV" "DPBS08773-0034" 2018-08-23 959 1 96500000 122.4 122.4 122.4 16 4 6.612150694
"VEBONO" "VEBONO052029" 2016-01-07 "022 BCV" "DPBS01632-0057" 2029-05-10 4872 1 15132000 130.25 130.25 130.25 16.5 4 11.92644697
"TIF" "TIF022021" 2016-01-08 "022 BCV" "DPBS09345-0014" 2021-02-04 1854 1 8.3e+07 128.9 128.9 128.9 16.5 4 9.271180094
"VEBONO" "VEBONO022024" 2016-01-08 "022 BCV" "DPBS00760-0025" 2024-02-22 2967 1 1.8e+07 130.25 130.25 130.25 16.28 4 10.65081864
"VEBONO" "VEBONO042028" 2016-01-08 "022 BCV" "DPBS01632-0039" 2028-04-20 4486 1 3.7e+07 130.85 130.85 130.85 16.57 4 11.77292903
"VEBONO" "VEBONO012020" 2016-01-12 "022 BCV" "DPBS08771-0018" 2020-01-02 1451 1 78430900 126.4 126.4 126.4 15.67 4 7.858826245
"TIF" "TIF012026" 2016-01-12 "022 BCV" "DPBS00760-0034" 2026-01-08 3649 1 78431200 124.4145 124.4145 124.4145 15 4 10.94436495
"VEBONO" "VEBONO062020" 2016-01-13 "022 BCV" "DPBS08771-0027" 2020-06-18 1618 1 32155000 126.95 126.95 126.95 15.7 4 8.346731024
"VEBONO" "VEBONO022025" 2016-01-13 "022 BCV" "DPBS00760-0016" 2025-02-27 3333 1 32152200 127.2587 127.2587 127.2587 16.51 4 11.60799114
"TIF" "TIF032028" 2016-01-13 "022 BCV" "DPBS01632-0011" 2028-03-30 4460 1 2.5e+07 130.25 130.25 130.25 15.25 4 10.76264958
"TIF" "TIF022030" 2016-01-19 "022 BCV" "DPBS01632-0048" 2030-02-28 5154 1 42045000 129.6225 129.6225 129.6225 15.65 4 11.39669601
"TIF" "TIF022030" 2016-01-20 "022 BCV" "DPBS01632-0048" 2030-02-28 5153 1 42045000 129.6538 129.6538 129.6538 15.65 4 11.39275657
"TIF" "TIF022029" 2016-01-21 "022 BCV" "DPBS01632-0020" 2029-02-15 4774 1 43069000 130.4 130.4 130.4 15.5 4 11.06012823
"TIF" "TIF022030" 2016-01-21 "022 BCV" "DPBS01632-0048" 2030-02-28 5152 1 109774000 129.63 129.63 129.63 15.65 4 11.39527356
"TIF" "TIF022029" 2016-01-22 "022 BCV" "DPBS01632-0020" 2029-02-15 4773 1 43069000 130.41 130.41 130.41 15.5 4 11.05862145
"TIF" "TIF022030" 2016-01-22 "022 BCV" "DPBS01632-0048" 2030-02-28 5151 1 109774000 129.6613 129.6613 129.6613 15.65 4 11.39133671
"VEBONO" "VEBONO022022" 2016-01-25 "022 BCV" "DPBS09345-0023" 2022-02-10 2208 1 89406000 130.0106 130.0106 130.0106 15.83 4 9.268586207
"VEBONO" "VEBONO022024" 2016-01-25 "022 BCV" "DPBS00760-0025" 2024-02-22 2950 1 57362800 128.35 128.35 128.35 16.28 4 10.93165489
"VEBONO" "VEBONO012025" 2016-01-25 "022 BCV" "DPBS00324-0018" 2025-01-09 3272 1 77953000 128.1 128.1 128.1 16.42 4 11.36896562
"TIF" "TIF032022" 2016-01-26 "022 BCV" "DPBS09345-0041" 2022-03-03 2228 1 2e+08 129.5 129.5 129.5 16 4 9.552848896
"VEBONO" "VEBONO052029" 2016-01-26 "022 BCV" "DPBS01632-0057" 2029-05-10 4853 1 111993000 130.756 130.756 130.756 16.5 4 11.85902637
"TIF" "TIF062016" 2016-01-27 "022 BCV" "DPBS07328-0031" 2016-06-17 142 1 6.5e+07 100.5 100.5 100.5 18 4 16.45055009
"VEBONO" "VEBONO062016" 2016-01-27 "022 BCV" "DPBS07990-0014" 2016-06-17 142 1 7.7e+07 102 102 102 13.73 4 8.32636752
"TIF" "TIF112016" 2016-01-27 "022 BCV" "DPBS07989-0054" 2016-11-18 296 1 7e+07 103.5 103.5 103.5 18 4 13.22844809
"VEBONO" "VEBONO112017" 2016-01-27 "022 BCV" "DPBS07989-0045" 2017-11-23 666 1 1.2e+08 105 105 105 14.8 4 11.66125178
"VEBONO" "VEBONO022025" 2016-01-27 "022 BCV" "DPBS00760-0016" 2025-02-27 3319 1 4e+07 126.6615 126.6615 126.6615 16.51 4 11.68884022
"TIF" "TIF032028" 2016-01-27 "022 BCV" "DPBS01632-0011" 2028-03-30 4446 1 8.8e+07 111 111 111 15.25 4 13.39631539
"TIF" "TIF022029" 2016-01-27 "022 BCV" "DPBS01632-0020" 2029-02-15 4768 1 5e+07 129.75 129.75 129.75 15.5 4 11.13596282
"VEBONO" "VEBONO052029" 2016-01-27 "022 BCV" "DPBS01632-0057" 2029-05-10 4852 2 126720000 128 130.7873 130.4633688 16.5 4 11.89458047
"TIF" "TIF022030" 2016-01-27 "022 BCV" "DPBS01632-0048" 2030-02-28 5146 1 19537745 130.1 130.1 130.1 15.65 4 11.3387312
"TIF" "TIF032028" 2016-01-28 "022 BCV" "DPBS01632-0011" 2028-03-30 4445 2 39685583 129.5 130.25 129.6641449 15.25 4 10.82760109
"TIF" "TIF042018" 2016-01-29 "022 BCV" "DPBS08773-0016" 2018-04-12 804 1 1e+07 124.5 124.5 124.5 18 4 6.02690934
"TIF" "TIF082018" 2016-01-29 "022 BCV" "DPBS08773-0034" 2018-08-23 937 1 96500000 122.2576 122.2576 122.2576 16 4 6.485345222
"VEBONO" "VEBONO032019" 2016-01-29 "022 BCV" "DPBS08773-0043" 2019-03-28 1154 3 52661000 118.25 129 125.223695 15.42 4 6.515585107
"TIF" "TIF042019" 2016-01-29 "022 BCV" "DPBS08772-0026" 2019-04-18 1175 1 1e+07 121.5 121.5 121.5 16 4 8.308637763
"TIF" "TIF022021" 2016-01-29 "022 BCV" "DPBS09345-0014" 2021-02-04 1833 1 5e+07 132 132 132 16.5 4 8.563031278
"TIF" "TIF032022" 2016-01-29 "022 BCV" "DPBS09345-0041" 2022-03-03 2225 2 14100000 125.25 125.25 125.25 16 4 10.34953204
"VEBONO" "VEBONO012023" 2016-01-29 "022 BCV" "DPBS09345-0032" 2023-01-19 2547 1 7.6e+07 127.4 127.4 127.4 15.92 4 10.3467596
"VEBONO" "VEBONO022024" 2016-01-29 "022 BCV" "DPBS00760-0025" 2024-02-22 2946 1 5e+07 126.75 126.75 126.75 16.28 4 11.18371391
"VEBONO" "VEBONO022025" 2016-01-29 "022 BCV" "DPBS00760-0016" 2025-02-27 3317 1 1e+07 131 131 131 16.51 4 11.0418071
"VEBONO" "VEBONO042028" 2016-01-29 "022 BCV" "DPBS01632-0039" 2028-04-20 4465 1 7e+07 128 128 128 16.57 4 12.13809698
"VEBONO" "VEBONO052029" 2016-01-29 "022 BCV" "DPBS01632-0057" 2029-05-10 4850 1 15132000 130.1302 130.1302 130.1302 16.5 4 11.93499304
"VEBONO" "VEBONO032019" 2016-02-01 "022 BCV" "DPBS08773-0043" 2019-03-28 1151 1 32069000 128.8715 128.8715 128.8715 15.42 4 5.391833078
"TIF" "TIF022021" 2016-02-01 "022 BCV" "DPBS09345-0014" 2021-02-04 1830 1 5e+07 131.8625 131.8625 131.8625 16.5 4 8.583009745
"TIF" "TIF032028" 2016-02-01 "022 BCV" "DPBS01632-0011" 2028-03-30 4441 1 3.1e+07 129.3306 129.3306 129.3306 15.25 4 10.8669208
"VEBONO" "VEBONO012023" 2016-02-02 "022 BCV" "DPBS09345-0032" 2023-01-19 2543 1 7.6e+07 127.4 127.4 127.4 15.92 4 10.34127094
"VEBONO" "VEBONO022024" 2016-02-02 "022 BCV" "DPBS00760-0025" 2024-02-22 2942 1 5e+07 126.75 126.75 126.75 16.28 4 11.18021497
"LETRA" "LTB032016" 2016-02-02 "022 BCV" "LTBS00316-0055" 2016-03-30 57 1 3.15e+08 99.9876 99.9876 99.9876 0 0 0.078325502
"LETRA" "LTB042016" 2016-02-02 "022 BCV" "LTBS00416-0036" 2016-04-06 64 1 1.35e+08 99.972 99.972 99.972 0 0 0.157544112
"VEBONO" "VEBONO012023" 2016-02-03 "022 BCV" "DPBS09345-0032" 2023-01-19 2542 1 39165000 127.4 127.4 127.4 15.92 4 10.33990134
"VEBONO" "VEBONO022024" 2016-02-03 "022 BCV" "DPBS00760-0025" 2024-02-22 2941 1 5e+07 126.75 126.75 126.75 16.28 4 11.17934414
"VEBONO" "VEBONO042028" 2016-02-03 "022 BCV" "DPBS01632-0039" 2028-04-20 4460 1 7e+07 127.753 127.753 127.753 16.57 4 12.16831433
"LETRA" "LTB042016" 2016-02-03 "022 BCV" "LTBS00416-0036" 2016-04-06 63 1 1.35e+08 99.982 99.982 99.982 0 0 0.10287566
"LETRA" "LTB052016" 2016-02-03 "022 BCV" "LTBS00516-0035" 2016-05-04 91 1 87500000 99.3187 99.3187 99.3187 0 0 2.713741468
"LETRA" "LTB052016" 2016-02-03 "022 BCV" "LTBS00516-0017" 2016-05-18 105 1 3e+07 99.6275 99.6275 99.6275 0 0 1.281918002
"VEBONO" "VEBONO012023" 2016-02-04 "022 BCV" "DPBS09345-0032" 2023-01-19 2541 1 7.6e+07 127.4 127.4 127.4 15.92 4 10.33853277
"TIF" "TIF022029" 2016-02-04 "022 BCV" "DPBS01632-0020" 2029-02-15 4760 1 8e+07 132.0313 132.0313 132.0313 15.5 4 10.86315923
"VEBONO" "VEBONO032031" 2016-02-04 "022 BCV" "DPBS02207-0016" 2031-03-13 5516 6 119128000 106.8325 106.8951 106.8759444 16.27 4 15.09729138
"TIF" "TIF032031" 2016-02-04 "022 BCV" "DPBS02207-0025" 2031-03-13 5516 6 91612000 103.9842 104.0468 104.0238837 15 4 14.33573234
"TIF" "TIF032032" 2016-02-04 "022 BCV" "DPBS02207-0034" 2032-03-25 5894 7 111220000 103.7134 103.776 103.7513065 15.25 4 14.63163564
"VEBONO" "VEBONO032019" 2016-02-05 "022 BCV" "DPBS08773-0043" 2019-03-28 1147 1 10592000 117.9 117.9 117.9 15.42 4 8.819942586
"TIF" "TIF032022" 2016-02-05 "022 BCV" "DPBS09345-0041" 2022-03-03 2218 1 14100000 124.95 124.95 124.95 16 4 10.39658869
"VEBONO" "VEBONO012023" 2016-02-05 "022 BCV" "DPBS09345-0032" 2023-01-19 2540 1 7.6e+07 127.1 127.1 127.1 15.92 4 10.38921304
"VEBONO" "VEBONO022024" 2016-02-05 "022 BCV" "DPBS00760-0025" 2024-02-22 2939 1 5e+07 126.45 126.45 126.45 16.28 4 11.22612599
"VEBONO" "VEBONO032031" 2016-02-05 "022 BCV" "DPBS02207-0016" 2031-03-13 5515 2 33274000 105.7001 110 107.85005 16.27 4 14.94275065
"LETRA" "LTB052016" 2016-02-05 "022 BCV" "LTBS00516-0017" 2016-05-18 103 1 7.5e+07 99.5443 99.5443 99.5443 0 0 1.600029197
"VEBONO" "VEBONO062016" 2016-02-10 "022 BCV" "DPBS07990-0014" 2016-06-17 128 1 7.7e+07 101.7881 101.7881 101.7881 13.73 4 8.356230524
"VEBONO" "VEBONO112017" 2016-02-10 "022 BCV" "DPBS07989-0045" 2017-11-23 652 1 1.2e+08 104.759 104.759 104.759 14.8 4 11.75146
"VEBONO" "VEBONO012020" 2016-02-10 "022 BCV" "DPBS08771-0018" 2020-01-02 1422 1 78430900 126.2597 126.2597 126.2597 15.67 4 7.774308941
"TIF" "TIF042023" 2016-02-10 "022 BCV" "DPBS09345-0050" 2023-04-06 2612 1 77394400 128.25 128.25 128.25 16 4 10.35116009
"TIF" "TIF032028" 2016-02-10 "022 BCV" "DPBS01632-0011" 2028-03-30 4432 1 8.8e+07 110.754 110.754 110.754 15.25 4 13.43190297
"VEBONO" "VEBONO052029" 2016-02-10 "022 BCV" "DPBS01632-0057" 2029-05-10 4838 1 14727000 127.7654 127.7654 127.7654 16.5 4 12.23923979
"TIF" "TIF062016" 2016-02-11 "022 BCV" "DPBS07328-0031" 2016-06-17 127 1 6.5e+07 100.0917 100.0917 100.0917 18 4 17.50100775
