"Fechas" "VaRes"
2018-05-31 6941651.97744404
2018-05-30 6941651.90994593
2018-05-29 6941653.00552924
2018-05-28 6941688.97943634
2018-05-25 6941588.24832945
2018-05-24 6941589.20364218
2018-05-23 6941590.17095265
2018-05-22 6941591.14787653
2018-05-21 6966794.7276743
2018-05-18 6976724.05042064
2018-05-17 6977012.48232543
2018-05-16 7019588.93093803
2018-05-15 7039346.99314428
2018-05-11 7040537.74303528
2018-05-10 7040604.07163145
2018-05-09 7041351.63636555
2018-05-08 7051054.74367712
2018-05-07 7059844.72535956
2018-05-04 7059857.44145434
2018-05-03 7078755.91582326
2018-05-02 7078908.73929023
2018-04-30 7081922.43136912
2018-04-27 7085875.02054413
2018-04-26 7085943.34950904
2018-04-25 7085987.71743628
2018-04-24 7085987.05311789
2018-04-23 7087364.11099406
2018-04-20 7087377.72514385
2018-04-18 7087370.46500235
2018-04-17 7165295.42958691
2018-04-16 7221630.40693145
2018-04-13 7226818.32798415
2018-04-12 7226870.53300103
2018-04-11 7247184.32540369
2018-04-10 7248015.96837115
2018-04-09 7248176.13414042
2018-04-06 7239504.88691017
2018-04-05 7239589.86927744
2018-04-04 7239600.33241762
2018-04-03 7239822.90564232
2018-04-02 7239820.9426731
2018-03-28 7008202.08085521
2018-03-27 6772625.98521339
2018-03-26 6862861.85666134
2018-03-23 6676317.96212317
2018-03-22 6679847.1815972
2018-03-21 6680365.66393263
2018-03-20 6680495.38629028
2018-03-16 6680503.59365403
2018-03-15 6682122.76318576
2018-03-14 6684350.49847152
2018-03-13 6706543.24815995
2018-03-12 6717128.22663368
2018-03-09 6723739.29735725
2018-03-08 6723801.65820787
2018-03-07 6725697.11531723
2018-03-06 6727892.49998428
2018-03-05 6744712.33000325
2018-03-02 6747079.19575863
2018-03-01 6747118.74205766
2018-02-28 6747783.81583853
2018-02-27 6764663.6390391
2018-02-26 6769532.87460012
2018-02-23 6774406.21332765
2018-02-22 6830250.51136085
2018-02-21 6838910.56356656
2018-02-20 6849382.61585369
2018-02-19 6852916.85312384
2018-02-16 6856590.95195143
2018-02-15 6874427.46631487
2018-02-14 6934378.27098652
