"Fechas" "VaRes"
2018-05-31 4070166.75889453
2018-05-30 4070166.75889453
2018-05-29 4070166.75889453
2018-05-28 4070166.75889453
2018-05-25 4070166.75889453
2018-05-24 4070166.75889453
2018-05-23 4070166.75889453
2018-05-22 4070166.75889453
2018-05-21 4445611.48765257
2018-05-18 4445611.48765257
2018-05-17 4445611.48765257
2018-05-16 4947729.07582757
2018-05-15 4947729.07582757
2018-05-11 4948724.01079509
2018-05-10 4948724.01079509
2018-05-09 4948724.01079509
2018-05-08 4948724.01079509
2018-05-07 4948724.01079509
2018-05-04 4948724.01079509
2018-05-03 4948724.01079509
2018-05-02 4948724.01079509
2018-04-30 4948724.01079509
2018-04-27 4948724.01079509
2018-04-26 4948724.01079509
2018-04-25 4948724.01079509
2018-04-24 4948724.01079509
2018-04-23 4948724.01079509
2018-04-20 4948724.01079509
2018-04-18 4948724.01079509
2018-04-17 5009290.81261411
2018-04-16 5009290.81261411
2018-04-13 5009290.81261411
2018-04-12 5009290.81261411
2018-04-11 5009290.81261411
2018-04-10 5009290.81261411
2018-04-09 5009290.81261411
2018-04-06 5020479.38711312
2018-04-05 5020479.38711312
2018-04-04 5020479.38711312
2018-04-03 5020479.38711312
2018-04-02 5020479.38711312
2018-03-28 5020479.38711312
2018-03-27 4948762.94993395
2018-03-26 5020479.38711312
2018-03-23 5020479.38711312
2018-03-22 5020479.38711312
2018-03-21 5020479.38711312
2018-03-20 5020479.38711312
2018-03-16 5020479.38711312
2018-03-15 5020479.38711312
2018-03-14 5020479.38711312
2018-03-13 5320418.52907729
2018-03-12 5320418.52907729
2018-03-09 5320418.52907729
2018-03-08 5320418.52907729
2018-03-07 5320418.52907729
2018-03-06 5320418.52907729
2018-03-05 5320418.52907729
2018-03-02 5320418.52907729
2018-03-01 5320418.52907729
2018-02-28 5320418.52907729
2018-02-27 5320418.52907729
2018-02-26 5320418.52907729
2018-02-23 5320418.52907729
2018-02-22 5538048.55968854
2018-02-21 5538048.55968854
2018-02-20 5538048.55968854
2018-02-19 5538048.55968854
2018-02-16 5538048.55968854
2018-02-15 5538048.55968854
2018-02-14 5538048.55968854
