"Fechas" "VaRes"
2018-05-31 2048759.83173805
2018-05-30 2051904.05775815
2018-05-29 1703898.67062983
2018-05-28 1736514.03681976
2018-05-25 2335008.30798319
2018-05-24 1993054.8917433
2018-05-23 2155814.9439657
2018-05-22 1775433.37617737
2018-05-21 2052858.98547447
2018-05-18 2398942.95389894
2018-05-17 2290672.5053286
2018-05-16 2356987.28513747
2018-05-15 2192200.16316238
2018-05-11 2328587.91807815
2018-05-10 3011818.39714828
2018-05-09 2288964.98680532
2018-05-08 2233755.41880807
2018-05-07 2370683.81572449
2018-05-04 2035328.59423831
2018-05-03 1964075.34553969
2018-05-02 1817208.27956262
2018-04-30 1972077.13890013
2018-04-27 1970062.27286825
2018-04-26 2158638.12177324
2018-04-25 2250001.32480112
2018-04-24 2231525.61767632
2018-04-23 2357502.67862961
2018-04-20 1817754.3301239
2018-04-18 1838507.90449849
2018-04-17 2382359.16731057
2018-04-16 2673666.41206816
2018-04-13 2002703.17766586
2018-04-12 2678058.03423172
2018-04-11 2217655.80083397
2018-04-10 3126246.71826729
2018-04-09 2137129.62350973
2018-04-06 2476043.46551776
2018-04-05 2199052.46479192
2018-04-04 2511227.06851357
2018-04-03 2549237.16672608
2018-04-02 2729364.86861143
2018-03-28 3247686.01416659
2018-03-27 2591191.84796846
2018-03-26 2497847.06630015
2018-03-23 3426148.68666232
2018-03-22 3053939.85255075
2018-03-21 3000029.11811268
2018-03-20 3213374.94410369
2018-03-16 2891537.38191643
2018-03-15 2654678.22975469
2018-03-14 3192410.70176435
2018-03-13 2612607.07068947
2018-03-12 3773918.02158585
2018-03-09 4130077.97148961
2018-03-08 3543127.8960574
2018-03-07 3172739.05867362
2018-03-06 3910952.47757596
2018-03-05 3419034.12668613
2018-03-02 4233994.36721677
2018-03-01 4050153.67649791
2018-02-28 3509719.15154776
2018-02-27 3048633.31870025
2018-02-26 3393689.88135576
2018-02-23 3525887.81562564
2018-02-22 4950854.91732848
2018-02-21 4120982.54216042
2018-02-20 4157081.54008615
2018-02-19 3182089.00430569
2018-02-16 4005592.19726536
2018-02-15 4459358.78621513
2018-02-14 4803195.61184481
2018-02-09 4663173.69112304
2018-02-08 4292214.4542627
2018-02-07 5827290.56853923
2018-02-06 4797701.80985433
2018-02-05 5077447.43363777
2018-02-02 5624197.57668668
2018-02-01 4122690.10597709
2018-01-31 4387302.26190209
2018-01-30 4899646.49468181
2018-01-29 4265007.97932073
2018-01-26 3795022.26799616
2018-01-25 5445898.91094872
2018-01-24 4469250.35288167
2018-01-23 5279149.79323736
2018-01-22 3941103.89277974
2018-01-19 4278148.46088868
2018-01-18 5460942.96221316
2018-01-17 4123921.71004382
2018-01-16 5037146.30963683
