"Fechas" "VaRes"
2018-05-31 4435246.95790377
2018-05-30 4241881.43371698
2018-05-29 5409259.42466047
2018-05-28 4716666.16751114
2018-05-25 4153979.40213621
2018-05-24 3804572.92989224
2018-05-23 2440901.26948583
2018-05-22 4810748.24383143
2018-05-21 4228838.37859148
2018-05-18 4261402.90804052
2018-05-17 4346394.78545976
2018-05-16 4437966.17301843
2018-05-15 2871279.0025773
2018-05-11 3182685.58390343
2018-05-10 4190472.84344539
2018-05-09 3291140.73543823
2018-05-08 4384328.36466688
2018-05-07 4253007.00445759
2018-05-04 3743233.05939853
2018-05-03 3360933.27823833
2018-05-02 4030144.49630141
2018-04-30 3436733.95985812
2018-04-27 3921961.30645958
2018-04-26 4503515.65690571
2018-04-25 3598660.57457083
2018-04-24 3742315.05750605
2018-04-23 4494416.39822498
2018-04-20 3719117.43887183
2018-04-18 4244653.0794929
2018-04-17 3584632.93629202
2018-04-16 4483582.07104915
2018-04-13 4207552.26586562
2018-04-12 5629913.57398662
2018-04-11 4085845.21425137
2018-04-10 4198648.60568067
2018-04-09 3719192.65516314
2018-04-06 4052580.47775236
2018-04-05 4380547.5787943
2018-04-04 3642695.43431774
2018-04-03 4745355.51585734
2018-04-02 5117470.17444557
2018-03-28 3781598.25843015
2018-03-27 4563234.98471677
2018-03-26 6029672.9384073
2018-03-23 5505452.19218349
2018-03-22 3927538.54714274
2018-03-21 5391477.24707112
2018-03-20 5538761.90736148
2018-03-16 4455966.85701698
2018-03-15 5585945.08912808
2018-03-14 4987157.09548247
2018-03-13 4438009.73489439
2018-03-12 6831198.42766753
2018-03-09 6398337.59485605
2018-03-08 5309752.82988504
2018-03-07 4946183.47234696
2018-03-06 6870243.62053761
2018-03-05 6722479.63005152
2018-03-02 5537831.03426957
2018-03-01 5591166.3358027
2018-02-28 5484561.17499402
2018-02-27 5329924.0164983
2018-02-26 6474061.93096736
2018-02-23 5814966.80684927
2018-02-22 5582525.21058524
2018-02-21 4779782.12048069
2018-02-20 5663940.22341365
2018-02-19 5474662.60091785
2018-02-16 6834810.03730813
2018-02-15 5744719.54413211
2018-02-14 6706088.61101687
2018-02-09 6577715.78101659
2018-02-08 5360018.49766055
2018-02-07 6842492.09125686
2018-02-06 5981443.50205937
2018-02-05 5476948.13742873
2018-02-02 6422654.31739268
2018-02-01 6338643.59153152
2018-01-31 7615548.54018721
2018-01-30 7723811.57057053
2018-01-29 6045263.90764749
2018-01-26 6873813.10593164
2018-01-25 6873278.68551993
2018-01-24 5394496.51168984
2018-01-23 5499663.81357512
2018-01-22 6631719.18863019
2018-01-19 6388281.39232081
2018-01-18 7200747.94359416
2018-01-17 5881383.44382611
2018-01-16 6823430.98371962
