"Títulos" "Precio Promedio" "Año"
"TIF082018" 104.738633333333 "2018"
"TIF042019" 118.6156375 "2018"
"TIF022021" 132.633027272727 "2018"
"TIF032022" 134.688583333333 "2018"
"TIF042023" 118 "2018"
"TIF012024" 133.0078 "2018"
"TIF012026" 139 "2018"
"TIF032028" 129.015649999999 "2018"
"TIF052028" 135.5 "2018"
"TIF022029" 131.166666666667 "2018"
"TIF022030" 135.5 "2018"
"TIF032031" 131.614616666667 "2018"
"TIF022032" 129.072933333333 "2018"
"TIF032032" 132.42625 "2018"
"TIF032033" 129.864616666666 "2018"
"TIF112019" 121.0117 "2017"
"TIF112020" 130.0117 "2017"
"TIF112027" 126.5117 "2017"
"TIF032029" 123.5214875 "2017"
"TIF052034" 125.011725 "2017"
