"Títulos" "Precio Promedio" "Año"
"VEBONO012020" 108.56205 "2019"
"VEBONO012021" 117.04795 "2019"
"VEBONO042029" 100 "2019"
"VEBONO062032" 127.99045 "2019"
"VEBONO122036" 100 "2019"
"VEBONO042019" 117.215625 "2018"
"VEBONO062020" 125.65252 "2018"
"VEBONO112020" 115 "2018"
"VEBONO022022" 124.02554 "2018"
"VEBONO012023" 128.531441666667 "2018"
"VEBONO122023" 100.0313 "2018"
"VEBONO022024" 128.6278125 "2018"
"VEBONO042024" 118.25 "2018"
"VEBONO012025" 102.182427777778 "2018"
"VEBONO032027" 128.44061 "2018"
"VEBONO052028" 101.5 "2018"
"VEBONO062028" 100.023475 "2018"
"VEBONO012029" 100.19338 "2018"
"VEBONO052029" 124.67251 "2018"
"VEBONO092029" 103.51565 "2018"
"VEBONO032031" 127.000325 "2018"
"VEBONO072033" 137 "2018"
"VEBONO032035" 123.251688461538 "2018"
"VEBONO082037" 121.363594208406 "2018"
"VEBONO022025" 122.84375 "2017"
"VEBONO042028" 127.893666666667 "2017"
"VEBONO102028" 130.0078 "2017"
"VEBONO022034" 126.5097625 "2017"
"VEBONO032019" 124.560946492857 "2016"
"VEBONO052021" 118.360633333333 "2016"
