"titulos" "Pre prom" "year"
"8" "TIF082018" 104.738633333333 "2018"
"6" "TIF042019" 118.6156375 "2018"
"41" "TIF022021" 132.142633333333 "2018"
"58" "TIF032022" 127.93015 "2018"
"45" "TIF042023" 118 "2018"
"68" "TIF032028" 129 "2018"
"49" "TIF022029" 129 "2018"
"3" "TIF032031" 130.921925 "2018"
"28" "TIF022032" 128.5134 "2018"
"4" "TIF032032" 131.139375 "2018"
"5" "TIF032033" 129.281275 "2018"
"38" "TIF112019" 121.0117 "2017"
"39" "TIF112020" 130.0117 "2017"
"16" "TIF012024" 132.5 "2017"
"17" "TIF012026" 124.882986111111 "2017"
"40" "TIF112027" 126.5117 "2017"
"32" "TIF052028" 133.703125 "2017"
"25" "TIF032029" 123.5214875 "2017"
"21" "TIF022030" 126.793773400796 "2017"
"33" "TIF052034" 125.011725 "2017"
"1" "TIF082019" 121.0117 "0"
"2" "TIF102020" 130.0117 "0"
"31" "TIF062025" 124.882986111111 "0"
"42" "TIF102030" 126.793773400796 "0"
"51" "TIF022031" 130.921925 "0"
