"titulo" "valor_nominal" "val_adq" "val_libro" "precio"
"TIF042018" 1000000 481523.494701833 654348.996467888 120.57118067285
"TIF052018" 3000000 3314336.08355001 2685663.91644999 113.292196508963
"TIF082018" 2000000 1140008.94697383 1426672.63131589 108.036084247753
"TIF042019" 10000000 10200137.449149 9799862.55085096 114.32931062812
"TIF082019" 5000000 4128544.52151805 4419029.68101203 107.601684601512
"TIF112019" 7000000 7452053.31686884 6547946.68313116 105.767255039886
"TIF102020" 1000000 245400.011120364 496933.340746909 119.364986031782
"TIF112020" 2000000 2320414.2360948 1679585.7639052 107.284458785783
"TIF022021" 4000000 3657693.73234361 3771795.82156241 104.03208306618
"TIF032022" 3000000 3222501.62567943 2777498.37432057 109.10984186409
"TIF042023" 20000000 19530949.3090026 19687299.5393351 113.444262739737
"TIF012024" 6000000 6346745.04986033 5653254.95013967 117.400833866093
"TIF062025" 8000000 7271788.6289116 7514525.75260773 106.880304365419
"TIF012026" 2000000 2329698.30967486 1670301.69032514 116.888301856816
"TIF112027" 10000000 9326036.47597134 9550690.98398089 119.257925231475
"TIF032028" 30000000 30467542.255111 29532457.744889 116.527191321366
"TIF052028" 6000000 5411615.10888487 5607743.40592325 111.994548913091
"TIF022029" 10000000 10222482.9306826 9777517.0693174 118.719036256429
"TIF032029" 5000000 4202675.78153871 4468450.52102581 109.599704727065
"TIF022030" 9000000 9369917.0566164 8630082.9433836 112.569463748019
"TIF102030" 5000000 4286140.29926248 4524093.53284165 109.604015728459
"TIF022031" 5000000 5219501.43631548 4780498.56368452 117.258180001285
"TIF032031" 9000000 8476709.17008072 8651139.44672048 107.199444121681
"TIF022032" 4000000 4291264.43248242 3708735.56751758 106.931209264323
"TIF032032" 70000000 69202571.6813747 69468381.1209165 116.860815815162
"TIF032033" 5000000 5527531.08013421 4472468.91986579 119.627995455638
"TIF052034" 7000000 6245716.64617397 6497144.43078265 109.212307202164
