"titulo" "valor_nominal" "Precio Hoy" "Precio Mercado"
"TIF042018" 1000000 120.168319537843 120.57118067285
"TIF052018" 3000000 113.984885841804 113.292196508963
"TIF082018" 2000000 106.200692661729 108.036084247753
"TIF042019" 10000000 114.480627460186 114.32931062812
"TIF082019" 5000000 107.1489964745 107.601684601512
"TIF112019" 7000000 106.257075452523 105.767255039886
"TIF102020" 1000000 119.601599288196 119.364986031782
"TIF112020" 2000000 108.522951638999 107.284458785783
"TIF022021" 4000000 104.576718787554 104.03208306618
"TIF032022" 3000000 107.071586877257 109.10984186409
"TIF042023" 20000000 111.989680811924 113.444262739737
"TIF012024" 6000000 115.501411392037 117.400833866093
"TIF062025" 8000000 107.977041404845 106.880304365419
"TIF012026" 2000000 117.014521741411 116.888301856816
"TIF112027" 10000000 119.603346353384 119.257925231475
"TIF032028" 30000000 116.927451560521 116.527191321366
"TIF052028" 6000000 111.505459633069 111.994548913091
"TIF022029" 10000000 119.232118721611 118.719036256429
"TIF032029" 5000000 110.884325256333 109.599704727065
"TIF022030" 9000000 111.714184981375 112.569463748019
"TIF102030" 5000000 109.243468865262 109.604015728459
"TIF022031" 5000000 117.403259431929 117.258180001285
"TIF032031" 9000000 107.000604752302 107.199444121681
"TIF022032" 4000000 106.221531203417 106.931209264323
"TIF032032" 70000000 117.582958941459 116.860815815162
"TIF032033" 5000000 118.929152244557 119.627995455638
"TIF052034" 7000000 107.579987826005 109.212307202164
