"V2" "V3" "V5"
"28/03/2018" 3.535699 107.4067
"27/03/2018" 3.557345 108.0761
"26/03/2018" 2.913368 96.1625
"23/03/2018" 3.027611 108.5008
"22/03/2018" 3.029328 108.5627
"21/03/2018" 3.029339 108.5631
"20/03/2018" 3.030836 108.6167
"16/03/2018" 3.035716 108.794
"15/03/2018" 3.034731 108.7587
"14/03/2018" 3.042377 109.0375
"13/03/2018" 3.039727 108.9427
"12/03/2018" 2.910248 105.2152
"09/03/2018" 2.98645 108.819
"08/03/2018" 2.986783 108.8171
"07/03/2018" 2.992765 109.0385
"06/03/2018" 2.61874 100.605
"05/03/2018" 2.618645 100.6013
"02/03/2018" 2.673597 103.2059
"01/03/2018" 2.652447 102.4367
"28/02/2018" 2.738601 108.7392
"27/02/2018" 2.764633 109.8686
"26/02/2018" 2.250161 99.3666
"23/02/2018" 2.284757 101.258
"22/02/2018" 2.284219 101.2215
"21/02/2018" 2.339483 105.524
"20/02/2018" 2.336178 105.2954
"19/02/2018" 2.388802 109.2667
"16/02/2018" 2.390651 109.3481
"15/02/2018" 2.390108 109.3219
"14/02/2018" 2.389361 109.2761
"09/02/2018" 2.387792 109.2037
"08/02/2018" 2.395716 109.5661
"07/02/2018" 2.395525 109.5455
"06/02/2018" 2.395662 109.5454
"05/02/2018" 2.395671 109.5453
"02/02/2018" 2.395742 109.5451
"01/02/2018" 2.392323 109.3907
"31/01/2018" 2.392386 109.3933
"30/01/2018" 2.396166 109.5699
"29/01/2018" 2.39327 109.4384
"26/01/2018" 2.39317 109.4338
"25/01/2018" 2.397456 109.6341
"24/01/2018" 2.397895 109.6543
"23/01/2018" 2.3979 109.6541
"22/01/2018" 2.400808 109.7878
"19/01/2018" 2.400984 109.7438
"18/01/2018" 2.400866 109.7384
"17/01/2018" 2.401066 109.7453
"15/01/2018" 2.401247 109.7452
"12/01/2018" 2.401748 109.7449
"11/01/2018" 2.405878 109.9214
"10/01/2018" 2.405884 109.9213
"09/01/2018" 2.40591 109.9212
"08/01/2018" 2.405963 109.9211
"05/01/2018" 2.405993 109.9209
"04/01/2018" 2.406496 109.9334
"03/01/2018" 2.405695 109.8437
"02/01/2018" 2.405934 109.8436
"29/12/2017" 2.38913 109.1259
"28/12/2017" 2.385847 108.9663
"27/12/2017" 2.386105 108.9774
"26/12/2017" 2.403485 109.8511
"22/12/2017" 2.408932 110.104
"21/12/2017" 2.408276 110.074
"20/12/2017" 2.405859 109.9632
"19/12/2017" 2.415503 110.4289
"18/12/2017" 2.403251 109.8949
"15/12/2017" 2.401709 109.8244
"14/12/2017" 2.408962 110.0697
"13/12/2017" 2.403962 109.8443
"12/12/2017" 2.403997 109.8447
"08/12/2017" 2.4012 109.7128
"07/12/2017" 2.414957 110.3829
"06/12/2017" 2.415008 110.383
"05/12/2017" 2.403557 109.878
"04/12/2017" 2.404261 109.8767
"01/12/2017" 2.402739 109.8068
"30/11/2017" 2.398945 109.6342
"29/11/2017" 2.390973 109.2783
"28/11/2017" 2.405389 109.9896
"27/11/2017" 2.418142 110.6149
"24/11/2017" 2.401829 109.9018
"23/11/2017" 2.392322 109.4682
"22/11/2017" 2.405221 110.1021
"21/11/2017" 2.405228 110.102
"20/11/2017" 2.405773 110.1019
"17/11/2017" 2.406951 110.1018
"16/11/2017" 2.413192 110.1975
"15/11/2017" 2.412831 110.1799
"14/11/2017" 2.416619 110.1669
"13/11/2017" 2.41674 110.1668
"10/11/2017" 2.416735 110.1666
"09/11/2017" 2.417729 110.1513
"08/11/2017" 2.417726 110.1512
"07/11/2017" 2.417073 110.119
"03/11/2017" 2.417073 110.1188
"02/11/2017" 2.703547 110.3591
"01/11/2017" 2.703227 110.3442
"31/10/2017" 2.699757 110.1912
"30/10/2017" 2.679378 109.4113
"27/10/2017" 2.70573 110.2398
"26/10/2017" 2.718077 110.7623
"25/10/2017" 2.699704 109.7959
"24/10/2017" 2.698507 109.7475
"23/10/2017" 2.711 110.0893
"20/10/2017" 2.710846 110.0613
"19/10/2017" 2.716368 110.2891
"18/10/2017" 2.713766 110.1827
"17/10/2017" 2.714196 110.1827
"16/10/2017" 2.714938 110.1827
"13/10/2017" 2.716611 110.1827
"11/10/2017" 2.724597 110.4853
"10/10/2017" 2.724797 110.4853
"09/10/2017" 2.720643 110.3195
"06/10/2017" 2.605644 127.0799
"05/10/2017" 2.627 128.2742
"04/10/2017" 2.617896 127.8439
"03/10/2017" 2.618079 127.8439
"02/10/2017" 2.614487 127.67
"29/09/2017" 1.320779 110.0701
"28/09/2017" 1.31797 109.8523
"27/09/2017" 1.318785 109.9205
"26/09/2017" 1.320047 110.0164
"25/09/2017" 1.317225 109.8014
"22/09/2017" 1.313334 109.512
"21/09/2017" 1.317329 109.8835
"20/09/2017" 1.317742 109.8835
"19/09/2017" 1.317783 109.8835
"18/09/2017" 1.320774 109.883
"15/09/2017" 1.320444 109.7332
"14/09/2017" 1.321859 109.8507
"13/09/2017" 1.321856 109.8507
"12/09/2017" 1.322032 109.8507
"08/09/2017" 1.326907 109.8461
"07/09/2017" 1.331421 109.795
"06/09/2017" 1.332139 109.854
"05/09/2017" 1.332255 109.854
"04/09/2017" 1.332498 109.854
"01/09/2017" 1.332229 109.8326
"31/08/2017" 1.332574 109.8326
"30/08/2017" 1.33422 109.9725
"29/08/2017" 1.340812 110.3057
"28/08/2017" 1.342022 110.406
"25/08/2017" 1.344848 110.3145
"24/08/2017" 1.346493 110.1081
"23/08/2017" 1.345609 110.0283
"22/08/2017" 1.348355 110.2576
"21/08/2017" 1.374399 110.3238
"18/08/2017" 1.37455 110.3358
"17/08/2017" 1.374757 110.3146
"16/08/2017" 1.376135 110.3147
"15/08/2017" 1.376278 110.3146
"11/08/2017" 1.378235 110.3147
"10/08/2017" 1.378666 110.2453
"09/08/2017" 1.38187 110.3525
"08/08/2017" 1.384288 110.278
"07/08/2017" 1.394218 110.3281
"04/08/2017" 1.394501 110.3281
"03/08/2017" 1.394932 110.362
"02/08/2017" 1.394525 110.3245
"01/08/2017" 1.394847 110.3245
"31/07/2017" 1.394861 110.3243
"28/07/2017" 1.394473 110.1497
"27/07/2017" 1.418124 109.9717
"26/07/2017" 1.419653 110.0932
"25/07/2017" 1.427588 110.2707
"21/07/2017" 1.427377 110.2465
"20/07/2017" 1.430701 110.4038
"19/07/2017" 1.430707 110.4038
"18/07/2017" 1.429365 110.3044
"17/07/2017" 1.430301 110.3212
"14/07/2017" 1.442978 110.3212
"13/07/2017" 1.44321 110.3351
"12/07/2017" 1.470869 110.338
"11/07/2017" 1.473961 110.338
"10/07/2017" 1.474023 110.338
"07/07/2017" 1.473811 110.3204
"06/07/2017" 1.474895 110.2924
"04/07/2017" 1.475129 110.2924
"30/06/2017" 1.475097 110.29
"29/06/2017" 1.470904 109.9991
"28/06/2017" 1.474816 110.3112
"27/06/2017" 1.468195 109.7943
"26/06/2017" 1.468415 109.8019
"23/06/2017" 1.473362 110.2116
"22/06/2017" 1.470203 109.972
"21/06/2017" 1.475441 110.4101
"20/06/2017" 1.471225 110.1211
"16/06/2017" 1.476488 110.5225
"15/06/2017" 1.47287 110.2705
"14/06/2017" 1.472913 110.2705
"13/06/2017" 1.474404 110.3203
"12/06/2017" 1.474489 110.3203
"09/06/2017" 1.474932 110.3026
"08/06/2017" 1.475218 110.3239
"07/06/2017" 1.486468 110.3012
"06/06/2017" 1.514833 110.3012
"05/06/2017" 1.514842 110.3012
"02/06/2017" 1.514851 110.3006
"01/06/2017" 1.5132 110.1555
"31/05/2017" 1.505363 109.6523
"30/05/2017" 1.508249 109.8194
"26/05/2017" 1.508311 109.722
"25/05/2017" 1.509212 109.7639
"24/05/2017" 1.508648 109.7234
"23/05/2017" 1.507688 109.653
"22/05/2017" 1.506874 109.587
"19/05/2017" 1.509454 109.7819
"18/05/2017" 1.509705 109.7819
"17/05/2017" 1.513288 110.0581
"16/05/2017" 1.513955 110.056
"15/05/2017" 1.514093 110.056
"12/05/2017" 1.513757 110.0317
"11/05/2017" 1.498667 109.1496
"10/05/2017" 1.495736 108.8346
"09/05/2017" 1.495758 108.8346
"08/05/2017" 1.495835 108.8346
