titulo,valor nominal
TIF042018,1000000
TIF052018,3000000
TIF082018,2000000
TIF042019,10000000
TIF082019,5000000
TIF112019,7000000
TIF102020,1000000
TIF112020,2000000
TIF022021,4000000
TIF032022,3000000
TIF042023,20000000
TIF012024,6000000
TIF062025,8000000
TIF012026,2000000
TIF112027,10000000
TIF032028,30000000
TIF052028,6000000
TIF022029,10000000
TIF032029,5000000
TIF022030,9000000
TIF102030,5000000
TIF022031,5000000
TIF032031,9000000
TIF022032,4000000
TIF032032,70000000
TIF032033,5000000
TIF052034,7000000
VEBONO042018,1000000
VEBONO062018,3000000
VEBONO072018,2000000
VEBONO022019,10000000
VEBONO032019,5000000
VEBONO042019,7000000
VEBONO102019,1000000
VEBONO012020,2000000
VEBONO062020,4000000
VEBONO092020,3000000
VEBONO112020,20000000
VEBONO012021,6000000
VEBONO052021,8000000
VEBONO122021,2000000
VEBONO022022,10000000
VEBONO012023,30000000
VEBONO022024,6000000
VEBONO042024,10000000
VEBONO012025,5000000
VEBONO022025,9000000
VEBONO062026,5000000
VEBONO032027,5000000
VEBONO042028,9000000
VEBONO102028,4000000
VEBONO052029,70000000
VEBONO102029,5000000
VEBONO072030,7000000
VEBONO032031,7000000
VEBONO062032,4000000
VEBONO072033,8000000
VEBONO022034,9000000
TI0319,5000000
VENZ27,3000000
