titulo,valor_nominal
TIF042018,1000000
TIF052018,3000000
TIF082018,2000000
TIF042019,10000000
TIF082019,5000000
TIF112019,7000000
TIF102020,1000000
TIF112020,2000000
TIF022021,4000000
TIF032022,3000000
TIF042023,20000000
TIF012024,6000000
TIF062025,8000000
TIF012026,2000000
TIF112027,10000000
TIF032028,30000000
TIF052028,6000000
TIF022029,10000000
TIF032029,5000000
TIF022030,9000000
TIF102030,5000000
TIF022031,5000000
TIF032031,9000000
TIF022032,4000000
TIF032032,70000000
TIF032033,5000000
TIF052034,7000000
