"titulo" "tipo" "valor_nominal" "Precio.Hoy" "Precio.Mercado"
"TIF082018" "TIF" 2000000 106.200692661729 108.036084247753
"TIF042019" "TIF" 10000000 114.480627460186 114.32931062812
"TIF082019" "TIF" 5000000 107.1489964745 107.601684601512
"TIF112019" "TIF" 7000000 106.257075452523 105.767255039886
"TIF102020" "TIF" 1000000 119.601599288196 119.364986031782
"TIF112020" "TIF" 2000000 108.522951638999 107.284458785783
"TIF022021" "TIF" 4000000 104.576718787554 104.03208306618
"TIF032022" "TIF" 3000000 107.071586877257 109.10984186409
"TIF042023" "TIF" 20000000 111.989680811924 113.444262739737
"TIF012024" "TIF" 6000000 115.501411392037 117.400833866093
"TIF062025" "TIF" 8000000 107.977041404845 106.880304365419
"TIF012026" "TIF" 2000000 117.014521741411 116.888301856816
"TIF112027" "TIF" 10000000 119.603346353384 119.257925231475
"TIF032028" "TIF" 30000000 116.927451560521 116.527191321366
"TIF052028" "TIF" 6000000 111.505459633069 111.994548913091
"TIF022029" "TIF" 10000000 119.232118721611 118.719036256429
"TIF032029" "TIF" 5000000 110.884325256333 109.599704727065
"TIF022030" "TIF" 9000000 111.714184981375 112.569463748019
"TIF102030" "TIF" 5000000 109.243468865262 109.604015728459
"TIF022031" "TIF" 5000000 117.403259431929 117.258180001285
"TIF032031" "TIF" 9000000 107.000604752302 107.199444121681
"TIF022032" "TIF" 4000000 106.221531203417 106.931209264323
"TIF032032" "TIF" 70000000 117.582958941459 116.860815815162
"TIF032033" "TIF" 5000000 118.929152244557 119.627995455638
"TIF052034" "TIF" 7000000 107.579987826005 109.212307202164
"VEBONO062018" "VEBONO" 3000000 115.774892352056 117.8924738348
"VEBONO072018" "VEBONO" 2000000 122.713670798577 100.575165654765
"VEBONO022019" "VEBONO" 10000000 108.317682277178 101.942862275755
"VEBONO032019" "VEBONO" 5000000 127.61505781603 101.574791933177
"VEBONO042019" "VEBONO" 7000000 120.566948971245 124.191829842515
"VEBONO102019" "VEBONO" 1000000 107.188619937282 118.61364308768
"VEBONO012020" "VEBONO" 2000000 128.447856356623 111.529034225736
"VEBONO062020" "VEBONO" 4000000 110.982884712517 119.663116727956
"VEBONO092020" "VEBONO" 3000000 109.772219906328 120.921574767679
"VEBONO112020" "VEBONO" 20000000 116.093712413916 107.594961540075
"VEBONO012021" "VEBONO" 6000000 105.289478972554 128.839062063489
"VEBONO052021" "VEBONO" 8000000 120.233524694573 128.346321951132
"VEBONO122021" "VEBONO" 2000000 107.651664811652 103.943630920956
"VEBONO022022" "VEBONO" 10000000 108.603864792502 122.879694746109
"VEBONO012023" "VEBONO" 30000000 109.884325413965 100.036525726784
"VEBONO022024" "VEBONO" 6000000 117.316111679189 116.521573954728
"VEBONO042024" "VEBONO" 10000000 105.206855100812 107.348213410936
"VEBONO012025" "VEBONO" 5000000 113.585514113307 113.547276610509
"VEBONO022025" "VEBONO" 9000000 123.594922217308 126.933139899978
"VEBONO062026" "VEBONO" 5000000 108.816547826864 122.511635266244
"VEBONO032027" "VEBONO" 5000000 110.039182130946 101.150197932729
"VEBONO042028" "VEBONO" 9000000 120.109594643116 126.441954173381
"VEBONO102028" "VEBONO" 4000000 129.597813671222 117.014909221092
"VEBONO052029" "VEBONO" 70000000 112.803490624763 116.904876073822
"VEBONO102029" "VEBONO" 5000000 124.595798328519 119.478758988203
"VEBONO072030" "VEBONO" 7000000 129.789449992124 100.156490808353
"VEBONO032031" "VEBONO" 7000000 102.357128311181 128.547936854651
"VEBONO062032" "VEBONO" 4000000 101.491157280514 125.202365901554
"VEBONO072033" "VEBONO" 8000000 112.452435990563 101.940905175637
"VEBONO022034" "VEBONO" 9000000 108.879472308094 112.690313815372
"CERTIF1" "CERTIFICADO" 9000000 103.879472308094 100.940905175637
"OBLIGACION" "OBLIGACION" 7000000 128.879472308094 103.940905175637
"LETRA" "LETRA" 6000000 104.879472308094 108.940905175637
