"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/04/2019" 163.32897087421 170.63713978974 154.40098768936 127.819639978187 182.297510020795 187.962222303007 177.105413526879 143.93870859307 180.688525725854 185.611745067704 181.610024864305 182.879229427367 175.440791049795 154.863154817356 182.493533794108 166.03049940842 160.647712912722 122.509469734715 167.394279050513 162.980910471631 108.144119250748 124.782091541871 176.349801515289 121.547676493779 133.189521183789 132.842691446759
"02/04/2019" 163.352563585635 170.664814350043 154.440541414638 127.823545695909 182.311409637416 188.003564860007 177.145287670947 143.948809479819 180.722702045943 185.652365068496 181.651368828559 182.922784420522 175.487433062646 154.886939417905 182.528252763635 166.072516398922 160.688732225783 122.537629629641 167.435688924348 163.02225421921 108.1448879788 124.783939201193 176.384354421524 121.577283419307 133.220716546737 132.874567528518
"03/04/2019" 163.368875932187 170.691902648482 154.4804761242 127.82668538359 182.348530808121 188.048299557631 177.187060780818 143.956821465128 180.784142199969 185.691793501327 181.694613337652 182.967250284779 175.529464660066 154.892071629246 182.570498227177 166.115889839249 160.730954568795 122.566096760465 167.478154833057 163.059097278912 108.145203441518 124.788326471696 176.416961607664 121.606497955095 133.251387206693 132.906981751473
"04/04/2019" 163.386940746193 170.719800727756 154.523440804544 127.834568516801 182.38991267424 188.093525719705 177.229950625489 143.974340592049 180.793306721613 185.752350666728 181.736852891579 183.00864660631 175.570055502295 154.907270229627 182.599446385059 166.158993354496 160.77314994932 122.618663198645 167.518815407035 163.102527602165 108.145525297564 124.792536842907 176.454157004015 121.638670667727 133.282112706006 132.938589252396
"05/04/2019" 163.406357206813 170.744454059772 154.560204467314 127.840575364367 182.427030248323 188.126884388736 177.271136032154 143.982523637662 180.828484989969 185.791102911196 181.780098116361 183.052909537251 175.611263204448 154.919325309653 182.637771312331 166.201480501618 160.813279604111 122.621806833048 167.562431994674 163.14124139662 108.144225896909 124.79722461447 176.486456046327 121.668777371323 133.311594065602 132.971025763303
"08/04/2019" 163.467727791741 170.828096158675 154.684010799124 127.853064422158 182.569533688897 188.250734961389 177.398474363044 144.008082787048 180.937767244369 185.886696791227 181.906631609645 183.184979833109 175.741657428459 154.979129885421 182.750065879764 166.330236756152 160.935396191826 122.733121914343 167.690316252186 163.269490577973 108.145139958751 124.813270094564 176.587581623546 121.758260642015 133.404266588135 133.067827564644
"09/04/2019" 159.4197632913 170.854642699873 154.723342808338 127.858047862646 182.582296715886 188.290011334885 177.441110937195 144.016758854201 177.186253132814 185.91888499689 181.945894104341 179.417686693012 175.784918910221 150.993926393664 182.781026065927 166.371730613157 160.97473252636 122.735885569578 164.234422514909 163.310254003722 108.145384280441 124.817699299102 176.620374004167 121.788248271776 133.43361605793 130.725449144999
"10/04/2019" 163.501954329871 170.883949320216 154.761465021742 127.863563103634 182.620606983165 188.329084391624 177.483862658644 144.028466285195 181.035352952319 185.956550713967 181.989696544815 183.275906292711 175.829228152343 155.009468909212 182.81762837581 166.414030071545 161.015549345035 122.764733989006 167.778356445362 163.352056362223 108.145618064727 124.82214642578 176.655367776331 121.817960450546 133.464451150046 133.133278932486
"11/04/2019" 163.520455550802 170.910966712824 154.806827930156 127.868570106665 182.666123733277 188.369954404223 177.527081141398 144.039246035871 181.069623876745 185.995603163828 182.042006763767 183.31895600497 175.872496748073 155.024854021131 182.878962945508 166.459394923137 161.056812547006 122.794126746231 167.819628473981 163.392085318757 108.145860620018 124.826562655267 176.69208613933 121.851289192821 133.494694298186 133.165172318342
"12/04/2019" 163.538740615947 170.938028925039 154.846181580906 127.874955455576 182.696537990201 188.410910322968 177.568996708484 144.046578866049 181.083605730557 186.03310793133 182.070903658144 183.360909489133 175.914331940293 155.039341469917 182.913641484234 166.498225771088 161.095507726135 122.846966756434 167.861458493366 163.435017919387 108.146049461913 124.830829848912 176.724073825383 121.904229831525 133.523688943522 133.197086589703
"15/04/2019" 163.595773149182 171.04137778417 154.965611017398 127.888973530389 182.818048650731 188.53597023736 177.697306531614 144.078882843265 181.211217466997 186.174172274911 182.1988689433 183.493615472207 176.043743429815 155.085115050738 183.022958759878 166.628891670459 161.220157259783 122.906789875642 167.99081894711 163.560941131204 108.146625364164 124.84393504756 176.851316973811 121.974065830937 133.615637713659 133.29430200531
"16/04/2019" 163.614265779088 167.296675627411 155.005604304141 127.897868694413 182.850906646715 188.576642598044 177.738789271179 144.086857337118 181.24715066632 186.188013543131 182.240738349227 183.537046178854 176.084896204513 155.086968039589 183.058138067489 166.670264154524 161.26152254951 122.935306681924 168.032168368665 160.166852099937 108.146777794255 124.845197871134 176.865475542188 122.00099868719 133.645955401328 133.325460465448
"17/04/2019" 163.633532538723 171.075785248782 155.043783391532 127.901288851797 182.889411611565 188.618031142735 177.781728914419 144.099143868179 181.282018255775 186.22509151206 182.283964064236 183.582133021653 176.127235504664 155.111046776258 183.093955983308 166.710621725281 161.303400114064 122.96304127578 168.077472218767 163.647594153635 108.146967092771 124.852354537443 176.899004055904 122.032418396528 133.702418103929 133.357831094141
"18/04/2019" 163.653624480821 171.100980441203 155.089185377305 127.904346850021 182.930385485415 188.660900554492 177.826296740092 144.107793194629 181.318761279224 186.266436276356 182.325167377638 183.625527532399 176.1711217427 155.130696562301 183.129996421015 166.758399344095 161.345020117417 122.995296993089 168.118407887694 163.688226407863 108.147130734914 124.854101955606 176.928637538904 122.061807959814 133.706384686282 133.390126068529
"19/04/2019" 163.670714135274 171.129605602514 155.12715204822 127.910005837949 182.96843260162 188.700745005973 177.865302292183 144.118667337038 181.35269814862 186.303497821248 182.367493805483 183.670067425339 176.211767992223 155.137113627483 183.165958763646 166.799906909917 161.385858014947 123.020328848308 168.162404821128 163.729407083198 108.147311555472 124.858149741448 176.961772518081 122.091602345359 133.739327915457 133.421799241377
"22/04/2019" 163.727543116942 171.210733384683 155.249138468247 127.925139147591 183.087711504429 188.82940465756 177.994112354251 144.153865308502 181.461006325497 186.445817787406 182.492905388833 183.802055293323 176.34183173181 155.188372344858 183.274674217745 166.925610216222 161.510183858337 123.10676463093 168.289537270784 163.856883158981 108.148614256157 124.870867473744 177.068532681798 122.182167288101 133.833244271325 133.519246376923
"23/04/2019" 163.744774603202 171.238276300882 155.288492361442 127.931907212068 183.122961826179 188.868195650079 178.035418758466 144.157367242681 181.494657978746 186.458522245921 182.555662574959 183.843040416029 176.385308196147 155.202810489993 183.310252203808 166.984708617495 161.550389940577 123.15902941918 168.330361964447 163.897602441483 108.149445073988 124.875009475283 177.100596696018 122.212271957598 133.862619637062 133.550144699923
