"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/08/2019" 158.285565328741 166.080979455138 153.096146925679 123.75038106007 178.779110388286 184.917605530384 175.042987032424 139.482912808441 176.906303191864 182.167546489112 179.121290751878 180.650866302531 173.629741108069 150.013508677312 178.79499728005 164.466541798742 159.328469268753 120.832211655904 165.882455328829 161.573845015007 104.935086411878 120.692503541275 172.420939161779 120.288506184072 131.331419068226 131.321819453326
"02/08/2019" 158.305417908006 166.108080320252 153.136446308148 123.759047781328 178.81654620036 184.957843827068 175.083427591646 139.49483561917 176.917774748807 182.204707540946 179.164341374755 180.69587464798 173.672152046404 150.030557824267 178.829785646374 164.509000887124 159.369989078658 120.859371752873 165.927191424448 161.615465051757 104.937630239501 120.699056266059 172.454022573618 120.322846994473 131.359079997607 131.354409592801
"05/08/2019" 158.36514882603 166.189294051875 153.257960422256 123.77953014981 178.932075313014 185.083239729766 175.210015457342 139.530393054309 177.021033780989 182.321633220232 179.314875020492 180.824856851588 173.804304047377 150.088347344518 178.936999521345 164.635926912833 159.497372055957 120.941114155239 166.038010886928 161.743343005827 104.945252686843 120.719860444643 172.553225095536 120.406379305625 131.448579718119 131.446963130413
"06/08/2019" 158.384975187331 166.217287606728 153.299283616054 119.661712949711 178.967367793144 185.123913663183 175.252040334291 139.5419258158 177.081548304971 182.358724255132 179.331668975964 180.871371159775 173.848543880168 150.104874220691 178.971420180285 164.680312577894 159.538892329944 120.993408960391 166.099943384805 161.783498225305 104.947791128259 120.724962536613 172.588560583858 120.460203088216 131.477966704826 131.504565218542
"07/08/2019" 158.405080806906 166.242554235655 153.340994356464 123.793989034251 179.0067462635 185.162121327673 175.294768582889 139.554065935345 177.116275594 182.395194554275 179.370158627065 180.915782730463 173.892660794737 150.1212989375 179.007411338582 164.740486189913 159.577659248534 120.996149206085 166.142677144303 161.826364027691 104.950288844091 120.731410607431 172.619194479291 120.464665930588 131.505652357862 131.511283688527
"08/08/2019" 158.423921939252 166.270670986105 153.380720885103 123.8013648161 179.043996359108 185.203257308394 175.33483493492 139.563855581342 177.15060784501 182.432721483654 179.413346792417 180.959093283835 173.934131938204 150.125542320162 179.042274310671 164.764501636734 159.620536761442 121.02683921939 166.173241476207 161.867747708344 104.952749607928 120.737885444432 172.654930436751 120.494113680726 131.560391040075 131.567125682389
"09/08/2019" 152.733666918741 159.251552039451 149.370526890885 122.878871298093 171.814312817481 178.306296000756 169.552397288928 136.600847258481 169.863672343002 175.286868921546 173.088613400415 174.925724670695 168.500035028738 145.400464019325 171.792468354422 159.858326649961 155.455885122757 115.753818848068 161.426234652033 157.451821749844 106.762545112766 120.212790128787 165.356395187197 115.724946719043 126.087558994641 126.457220860327
"12/08/2019" 152.803667235618 159.339047843545 149.492745655125 122.923066440716 171.926322219874 178.429699578756 169.679947577715 136.654528536243 169.944637396666 175.402529938812 173.233415292253 175.051864849399 168.628996551424 145.464261631694 171.899768270931 159.982747028985 155.584075577434 115.833516155796 161.551020834697 157.579421935676 106.792353349948 120.252917926655 165.458539236118 115.787183426975 126.172965116277 126.547327598965
"13/08/2019" 152.829079559008 159.368690835917 149.533338156923 122.934880346599 171.968047269571 178.469186131697 169.723246835418 136.670232301175 169.980835183691 175.438325852799 173.255472207164 175.09522625674 168.668847020189 145.485617344728 171.935111777214 160.025544644888 155.624170992554 115.860405150346 161.59345831625 157.622746156099 106.802168909997 120.266252330689 161.743159661193 113.753720352738 126.20353001588 126.578291941831
"14/08/2019" 152.852940885863 159.397026624795 149.573490368151 122.949049467732 172.000322757565 178.510863718622 169.765135232679 136.687909335216 170.016205534018 175.476592091184 173.297586692511 175.139602289832 168.713946254411 145.506788519177 171.97235604694 160.06731584063 155.667807177055 115.887364615 161.637004865156 157.664014227264 106.812207893452 120.27961123276 165.526669636086 115.845474787516 126.232266472383 126.60920977508
"15/08/2019" 152.876668337432 159.426336653119 149.613991419333 122.962936610787 172.040211567753 178.55203006052 169.805955728481 136.705728725135 170.051080687015 175.515877990612 173.336668777327 175.18190230387 168.774043370022 145.527915181847 172.007394862327 160.11090416591 155.71061201716 115.913698362708 161.673239200433 157.705327236861 106.822109913104 120.292934540019 165.559633518075 115.87464606469 126.261316866787 126.639864580282
"16/08/2019" 152.899122419759 159.455922405233 149.654960564684 122.979214057356 172.078530246836 178.597599784544 169.847666748269 136.725719222955 170.111199093587 175.561388195079 173.378771571113 175.227634503274 168.797044393835 145.549351142675 172.0651748019 160.153949070684 155.751764754035 115.940172267464 161.723735557946 157.752392555665 106.831646002585 120.306234836987 165.594573040586 115.902416204576 126.291043108274 126.671983119575
"19/08/2019" 152.97170742379 159.542646194141 149.777171573142 123.018965282503 172.189683700915 178.716167798701 169.973957365058 136.778943969653 170.193294316447 175.670243526557 173.502693636487 175.356060844806 168.929779140559 145.612815485968 172.151859177512 160.280874713254 155.878447698058 116.020844664218 161.835858939729 157.875322119869 106.861635936574 120.346881945128 165.696174848214 115.98921196588 126.378542820174 126.763613699386
"20/08/2019" 152.995449420466 159.572610174794 146.505250899994 123.033103675979 172.227826515416 178.75693302768 170.015480952221 136.794579811369 170.229703160028 175.715744596531 173.540348358059 175.412557638095 168.970286953905 145.63399633508 172.185577081318 160.321971627634 155.920974030106 114.048768763615 161.894413719328 157.917768649751 106.871497391859 120.360607321623 165.731388308897 116.017411855923 126.406116814261 126.793106717327
"21/08/2019" 153.019430063491 159.601195156669 149.857703655752 123.047009673167 172.264545660581 178.798968951204 170.057155377384 136.814378448978 170.262962010914 175.745689720813 173.583025979437 175.443084303829 169.014357416842 145.655359390488 172.221270812203 160.363801215344 155.963232368097 116.075412242308 161.918969393823 157.960825417331 106.881375468483 120.373618014466 165.765733098084 116.047424181311 126.43679179635 126.824348778719
"22/08/2019" 153.040690544501 159.630210650229 149.901165325139 123.06103681405 172.303866550359 178.836781587361 170.100670187411 136.831354195043 170.298253761214 175.783269734316 173.622772491042 175.485344224568 169.058729478923 145.676228749938 172.258472080784 160.406510682018 156.004755805471 116.102011458525 161.962023317583 158.00224362051 106.891143764768 120.386748140896 165.797320146974 116.074141652986 126.463798836646 126.854882110765
