"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"02/12/2019" 155.462522201836 164.2687979847 154.145371401225 120.350635466923 178.253345748555 180.844633046644 172.001341436934 132.247637413045 176.017857803305 177.743015182332 175.677592592424 181.240702368863 170.77060513902 147.042572009931 174.109874259598 165.459659800072 156.983070207142 121.306975952405 166.89621486055 162.642405244091 117.158257658914 171.434064248796 121.08203042324 129.372764246672 131.987324028644
"03/12/2019" 155.48173754317 164.29568404724 154.186119048441 120.357502394533 178.291016670497 180.885079674028 168.439730103105 128.260831145088 176.057221267768 177.804385283361 175.718662916985 181.284333807398 170.812511687368 147.065215313809 170.332033395223 165.502512873079 157.026742582064 121.33402855261 166.957967973463 162.68578250543 117.164930272146 171.443011718474 121.134338110263 129.402093304886 132.018323127001
"04/12/2019" 155.501503167048 164.321776880869 154.225527683343 120.36493525256 178.328613630693 180.94934384823 172.083627048513 132.272383225358 176.090342873602 177.840558429994 175.735759831203 181.350283568977 170.854839589513 147.074938099771 174.178840940801 165.545309611951 157.068560906211 121.359325149804 166.983944473806 162.728058368966 117.171592831066 171.497934142564 121.16392192591 129.45488418675 132.049111092747
"05/12/2019" 155.519846754367 164.348708134051 154.26463748373 120.373180959296 178.366311816131 180.987482785947 172.124126153011 132.283894071892 176.123342713161 177.855986168232 175.781273073191 181.371657686042 170.898427648973 147.088617638702 174.212626888506 165.589801978249 157.107067989061 121.385988275523 167.026142928351 162.769677404489 117.178225775388 171.53112144413 121.193309605599 129.483729856732 132.080699972688
"06/12/2019" 155.539022740489 164.374139618594 154.314263129684 120.380004388428 178.402051293044 181.003112328427 172.165939255391 132.295464972593 176.156260461501 177.888042713774 175.816610233623 181.412788483575 170.961378632826 147.106096268964 174.246908383127 165.632579444545 157.14876010821 121.412970068341 167.066872800328 162.811594074734 117.184885595456 171.563424454421 121.222039671248 129.512213937901 132.110875650524
"09/12/2019" 155.596594903887 164.453344839049 154.436256236751 120.402517178151 178.512957832196 181.123848141259 172.289623234974 132.332303969692 176.278556874489 177.998653960587 175.938398867617 181.545526457234 171.074017175561 147.153700000141 174.348254691251 165.759891554733 157.27504517089 121.517876564353 167.198033566772 162.936776292096 117.204658338977 171.658524737234 121.306718430805 129.574088600393 132.203741461863
"10/12/2019" 155.613444477634 164.47888596672 154.47841938936 120.409288783928 178.550202568515 177.248516001029 172.33124685011 132.341904333313 176.312165432276 174.160470408086 175.980055401366 181.608825805589 171.11520450739 147.168012602291 174.384193817038 165.803791778474 153.941574485603 121.520752428365 167.239035470645 162.980675330114 117.211369763113 171.667363040383 121.335644535824 129.605044309819 132.23381333187
"11/12/2019" 155.633008106092 164.506074771965 154.517977912823 120.416554841447 178.586764699571 181.200848240133 172.373672629995 132.353190321173 176.322124726578 178.073825646566 176.018624826049 181.653091917913 171.156992327846 147.191408035485 174.417251636673 165.844237083239 157.357850080481 121.571098903099 167.282877608176 163.023528885447 117.217968031238 171.723370740939 121.3647374 129.632076637632 132.264960421189
"12/12/2019" 155.651728819343 164.532306902835 154.560083193016 120.424177987899 178.622048050506 181.238719923369 172.416150648291 132.364593230077 176.356410956919 178.107515799883 176.084161412504 181.695911969377 171.196197012429 147.207293249016 174.453147116256 165.890087739187 157.39842514806 121.598382691321 167.325467666818 163.065262876499 117.22463019258 171.733274374262 121.393348535539 129.684595463983 132.296027101205
"13/12/2019" 155.671585591996 164.558438793708 154.601305036077 120.431271586208 178.658758483185 181.278256208291 172.458643825062 132.375881012369 176.391190614287 178.145081275924 176.105040278429 181.715903270969 171.238885885258 147.225980158287 174.486657879133 165.931004041922 157.440892500832 121.625012118617 167.374596911533 163.105559843656 117.231212455159 171.765466764832 121.422635700767 129.689481298485 132.326594312122
