"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/01/2019" 156.571383266452 162.280007109261 146.922704690069 125.643310917434 172.933941099133 178.603994144732 168.415553778476 139.887882832946 171.529835226625 176.304536817891 172.604363507887 173.851390783434 166.900127018931 149.104471724671 173.326033547932 157.864011214132 152.986961095987 115.767457074686 159.25677651353 155.103192432038 108.27193710241 122.955717770282 167.312914305523 115.007304085569 126.092557663647 125.866038925745
"02/01/2019" 156.594548131436 162.311255024093 146.96332702627 125.653883309517 172.973250920161 178.643789701419 168.463532306463 139.901928584316 171.562541241404 176.366223675426 172.62379828353 173.896994279134 166.943625866566 149.115723528909 173.363391580907 157.9039438726 153.029263080527 115.795093905667 159.300826923821 155.146894036732 108.277933440846 122.964128607921 167.372553378854 115.036854233327 126.147184616155 125.920595139696
"03/01/2019" 156.617019908362 162.338238949386 147.003602318855 125.668509242238 173.013629280375 178.685761595066 168.502664449005 139.926654341198 171.596247821188 176.405152730875 172.664485159378 173.939153937543 166.986236919885 149.135004750576 173.401023676312 157.949756572085 153.069067416254 115.824047734272 159.342873332707 155.187504326476 108.283903328849 122.973715990187 167.408323552029 115.066655789576 126.154400278023 125.951174969538
"04/01/2019" 156.639632987868 162.368022288365 147.042643102731 125.676040104871 173.051838637626 178.727178310996 168.544989751177 139.934936127835 171.632478570234 176.444687514954 172.710238364133 173.981595275074 167.030662046448 149.154547494749 173.437083100045 157.991599946021 153.109850353725 115.851929938561 159.383720884069 155.229072740987 108.289866734704 122.987246976789 167.444834190937 115.098040722121 126.208318344043 125.982228731005
"07/01/2019" 156.708052542346 162.457540562419 147.163137327154 125.708114482906 173.167246715501 178.853332473006 168.670946921462 139.980671483983 171.743778067869 176.539607230363 172.836048962923 174.11570962854 167.163229168428 149.213733560652 173.547094831507 158.120746336232 153.23569918499 115.934857759316 159.513723365692 155.352882788213 108.307653675296 123.018054358449 167.525436250249 115.210118177965 126.273915278087 126.054769901698
"08/01/2019" 156.730909013358 162.485808442694 147.203088882712 125.719096431856 173.208594853554 178.897819436154 168.713659516201 139.996554891956 171.781111729296 176.576212517152 172.880020333669 174.160007939464 167.204365927452 149.233373770892 173.58443422433 158.162947984997 153.275718764634 115.96268008619 159.557719699419 155.394652264819 108.31359047949 123.028027100714 167.557678974794 115.238830998943 126.304320377115 126.086760056111
"09/01/2019" 152.690878470219 162.536725890322 147.244346784352 125.729981742012 173.2470753643 178.93539392715 168.753610173006 140.01055366448 168.005761401611 176.616269150365 172.921096636652 170.392335602511 167.248123463677 145.252780355946 173.620350097854 158.205670674815 153.318143737647 115.991192325854 156.100893064456 155.4380089858 108.319520774699 123.034421938673 167.59349531031 115.245508246626 126.334882711848 123.743918142905
"10/01/2019" 156.776169369598 162.544248483145 147.283013709163 125.740519993762 173.28660777179 178.9787804964 168.798804269603 140.026612014117 171.877511396221 176.656592853444 172.961854089097 174.248631958449 167.291029178576 149.272378903769 173.660000669218 158.248172506401 153.359335474261 116.019685927423 159.642764051404 155.47925260036 108.325444624775 123.044243754758 167.628785970611 115.299485508401 126.364463366865 126.150805975392
"11/01/2019" 156.79926087156 162.57236053883 147.327377516127 125.751309986731 173.324292369379 179.018043678137 168.841317110403 140.04324250084 171.914204291396 176.69550253585 173.005970134228 174.293752054488 167.333023666602 149.292509606384 173.697090605292 158.289325052837 153.399770730668 116.049227322781 159.686658698512 155.519484242373 108.331362087748 123.053924775049 167.663243698595 115.328492425698 126.396474608891 126.183485788214
"14/01/2019" 158.22622790466 164.241593744204 148.330911107687 126.240340306496 175.027543326711 180.662583717313 170.250260899635 140.933561332766 173.632543873498 178.389530240386 174.546962031352 175.753058643421 168.639966807903 150.530451526433 175.431781568546 159.494053611329 154.447327448623 117.26377634196 160.865636042772 156.623204004758 108.270868486074 123.460388038423 169.401954735007 116.423924780877 127.688779351127 127.402724235537
"15/01/2019" 158.248167005088 164.270630243044 148.37496275784 126.245433438524 175.066179375263 180.706865739962 170.291431818286 140.947773929373 173.643754089162 178.429097320462 174.589923258245 175.816786931784 168.680806197901 150.549202270598 175.441964469676 159.537986014341 154.48863696445 117.293521727998 160.907763423132 156.667217509998 108.275375491514 123.469181374749 169.437946744297 116.453702573311 127.720211272707 127.43401039374
"16/01/2019" 158.270582762235 160.549459136488 148.415327639785 126.254473627617 175.105483217721 180.747435281991 170.330946167406 140.962087401335 173.704022511065 178.467563076002 174.609220138325 175.862234452328 168.727025647264 150.568327333696 175.478262070197 159.581732098302 154.531080166766 117.32143637132 160.951627762122 153.271183172063 108.279877377475 123.477875585102 169.471944991395 116.482673444341 127.749553177486 127.465843050612
"17/01/2019" 158.292015130605 164.329257900779 148.453076769701 126.26485064014 175.145574444711 180.786026077937 170.370807629075 140.976256234882 173.739740169546 178.503947321438 174.651354503957 175.883027855271 168.770860287939 150.586557232635 175.512110634206 159.624851376205 154.570405351413 117.349065070624 160.992437943322 156.750711099436 108.284372444998 123.486435414525 169.507499325526 116.512552691638 127.780403205381 127.497378594736
"18/01/2019" 158.314342656553 164.357650603179 148.494815372352 126.27818988928 175.183090403557 180.828319081021 170.414802323245 140.99010193032 173.753694293436 178.543576799903 174.692671045888 175.93005075262 168.813420475152 150.605605452636 175.574678339762 159.666086720275 154.612048943118 117.377221739801 161.036281729244 156.791046039513 108.288860747358 123.495197957463 169.541951275449 116.54232830303 127.810636908204 127.529628643141
"21/01/2019" 158.380100308066 164.467970300642 148.615352391227 126.301897728423 175.299573573592 180.960604928726 170.54358212619 141.029557888832 173.861696594774 178.666091008079 174.827051227531 176.061453933771 168.942528208841 150.661485093661 175.661597711756 159.793031047803 154.739210587496 117.461691303611 161.165976158865 156.920335439882 108.30228852895 123.520423928234 169.645866082353 116.632274222217 127.902379521879 127.626311241561
