"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/02/2019" 152.271638949366 157.475725312586 145.037374849468 124.324195958553 168.555699623696 174.584050106742 165.286214149834 137.228447531269 166.943177115347 171.984069531463 169.026506837776 170.575666863884 164.053226247152 145.349490473297 168.807284790853 155.397325779717 151.013344167975 112.658205477485 156.899157079304 152.958900551092 108.858422246318 121.901037028702 162.662850203733 112.371004695265 122.895792580123 123.023804560167
"04/02/2019" 152.346008112527 157.572547384237 145.158393427462 124.366053611253 168.650742766053 174.68291047352 165.414873434122 137.283477971414 167.052156438278 172.099430702744 169.151873650425 170.701751603065 164.183957832505 145.417358320945 168.926615053866 155.526621652328 151.133138978524 112.741157802117 157.024587920842 153.084412971412 108.892126485952 121.944441534214 162.765543028916 112.457636703633 122.984315186756 123.116447319064
"05/02/2019" 157.472164903666 163.584276734814 148.600197599229 126.016270823876 174.762196528531 180.558553493908 170.376556615957 140.437469970113 173.215920783931 178.13943574264 174.556936764781 175.871989217283 168.839756127047 149.843327364286 175.070020185112 159.73884633107 154.725547282496 117.112323739093 161.126378675612 156.894788870854 108.479685390894 123.29811991544 168.951378905139 116.436524006129 127.537804166639 127.383833095633
"06/02/2019" 157.494544291765 163.613778032664 148.639896073448 121.904401884265 174.801437906189 180.60135915286 170.417982202319 140.450396396059 173.252615864456 178.178379001432 174.599271334343 175.915596658488 168.883695219154 149.860424379791 175.10544894221 159.781819799607 154.770819887883 117.140239033624 161.168757677936 156.938045836892 108.485435094045 123.307759573565 168.987041565976 116.467173060071 127.568658859527 127.415775254919
"07/02/2019" 157.51669944905 163.641355607816 148.679602350777 126.03618199826 174.83936849049 180.642828487511 170.462017916927 140.465306138046 173.288382301432 178.217271112988 174.640154266054 175.961855431882 168.926695326029 149.881889692352 175.142380071829 159.824639100401 154.811116144671 117.167402161002 161.214253292485 156.978581477444 108.491177065547 123.317590582177 169.021110735002 116.498127552748 127.599039582149 127.449184083318
"08/02/2019" 157.538780059601 163.648292164746 148.720565594456 126.046583213003 174.878208504983 180.68542922772 170.504305874584 140.481486630123 173.323730350158 178.257395291866 174.684852049115 176.007067138374 168.974298733036 149.900916183646 175.179660173487 159.865978290908 154.851672942472 117.195699768144 161.257434724604 157.021447099991 108.495766745357 123.328134081612 169.055423135748 116.526175410839 127.63017898979 127.503269608432
"11/02/2019" 157.605975698762 163.756950132309 148.841734927052 126.07913220943 174.993273757177 180.810548870693 170.632935024419 140.525244418252 173.432230856758 178.375105898623 174.809326420229 176.139686846184 169.121280482193 149.958235464684 175.289691080062 159.993728957711 154.977690391475 117.279140247741 161.384513418517 157.144957408815 108.512791292806 123.359684170708 169.135379705474 116.619677979912 127.718394696153 127.57504477485
"12/02/2019" 157.628419369371 163.763582666898 148.88317017647 126.088352342365 175.031538246257 180.851088434917 170.674981224571 140.540868130275 173.470981442416 178.413121750114 174.852304357861 176.188127093993 169.159533338661 149.978259148787 175.325017487026 160.037502548782 155.018753999034 117.308396630382 161.429767650597 157.186044185619 108.518450181409 123.365521581395 169.168767383994 116.648538024271 127.751018735475 127.608093772365
"13/02/2019" 157.650537231388 163.793082004207 148.925811784242 126.098141049266 175.071319316823 180.89133130514 170.720665323231 140.555849798496 173.50566979841 178.450813923724 174.895030052301 176.229742117163 169.203950821423 149.997702935661 175.343166107909 160.079277075417 155.05842876379 117.336612257098 161.470770629421 157.227665385889 108.52410102093 123.375644039392 165.453921844693 114.614752490693 127.803383145135 127.639119062126
"14/02/2019" 157.672206382078 163.821409475724 148.966334423177 126.10870671481 175.109451159974 180.933007906723 170.758749217568 140.569244703509 173.542001038194 178.490164873458 174.93659841601 176.276172201961 169.248530245895 150.015862342428 175.380513594369 160.120652237303 155.100747901175 117.367903081443 161.514882640132 157.272344216275 108.52974377849 123.385102583168 169.239486612568 116.706178244158 127.834025829689 127.672013873256
