"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/07/2019" 160.636836341061 167.73362922135 154.58379630612 127.459005968429 180.387734467899 186.59310639474 176.603737116001 142.520992267138 178.480420350819 183.798363411883 180.723441118502 182.315488947971 175.203214316196 152.564945539873 180.353774748715 166.002189444567 160.844194504436 121.188410154527 167.436503699687 163.112418202889 109.227412141347 124.630620497934 173.94802952625 120.783135177203 131.924986506899 132.027177278069
"02/07/2019" 160.657509683194 167.762297991487 154.624443385143 127.470870229404 180.424828041778 186.634855906153 176.645151617762 142.534181254155 178.5166503025 183.84047296771 180.764967044266 182.360944294236 175.246786203435 152.585405171761 180.388809527714 166.060321180008 160.887261210666 121.215294612401 167.481459349041 163.15389589968 109.232032906543 124.639005894457 173.982258906672 120.81236219602 131.953907136852 132.059528467593
"03/07/2019" 160.678570598946 167.78912209608 154.664457331961 127.479023841524 180.468567846802 186.675917985719 176.69018241075 142.548610780504 178.55125642025 183.878512908598 180.807839091667 182.40699394626 175.288245898972 152.603504756882 180.425189063866 166.087895233033 160.927551873574 121.242461889544 167.524520731192 163.194987505987 109.236755927582 124.648542597749 174.015425900449 120.842306960627 132.007990757089 132.091388605501
"04/07/2019" 165.056086062889 173.162653127153 158.195988996557 128.26239341657 185.862283043253 191.800401425138 181.065780949538 144.833977738998 183.997388735764 189.199721911157 185.564148674857 186.977535664887 179.504053673072 156.246980214749 185.844893754968 170.027054015111 164.520929437423 125.190845353 171.387387622592 166.913081689025 108.12712840147 125.148094729855 179.518814300541 124.405337666216 136.057167658423 135.849948817095
"05/07/2019" 165.073534730964 173.186500915466 158.232831528628 128.266359609901 185.896700648339 191.8411192173 181.106930779753 144.840394495284 184.031299609514 189.240164427404 185.606467319352 187.021400555748 179.545305403076 156.256260638883 185.880046158132 170.073066370404 164.56111771656 125.218911819136 171.430438347482 166.951743737889 108.126783082165 125.150896883795 179.550198009808 124.43487697699 136.086152020014 135.905475010766
"08/07/2019" 165.12740458038 173.267381043883 158.356751138632 128.2780016731 186.010117134545 191.962645359889 181.233282099021 144.865554664388 184.142796473726 189.356920374712 185.732156620529 187.152438802423 179.674809228596 156.297383991 186.008946878804 170.197994446804 164.683273480919 125.303545089074 171.550768022447 167.079839219637 108.126608963359 125.160755620751 179.648785831829 124.499147980584 136.154771245029 135.980112095637
"09/07/2019" 161.082103662976 173.29195959451 158.396130192518 128.282983826114 186.072606575443 192.000606087967 181.275766036596 144.874428797444 180.360145152756 189.392740974712 185.747765366918 183.384924042978 179.71765174962 152.31017581285 186.045547826622 170.239110218716 164.722643583844 125.331409465767 168.101043669106 167.120547339519 108.125630868196 125.164055554647 179.680568519886 124.529973759686 136.181380755921 133.635140818258
"10/07/2019" 165.176155082867 173.34062539168 158.434306425839 128.286741897628 186.110162214938 192.039818096484 181.318198847192 144.882885372639 184.207918332808 189.424984167339 185.791861493545 187.243075076188 179.761806450093 156.324945502938 186.066880179091 170.2812973244 164.76352030824 125.358877337903 171.645847670272 167.162292178515 108.124717196446 125.169257567969 179.714743159201 124.558252429983 136.212129195279 136.041507488383
"11/07/2019" 165.180361942667 173.345088223722 158.479717422377 128.289660834677 186.148852342175 192.080534344782 181.361035559489 144.890808874121 184.241356106426 189.462430519533 185.830345902645 187.284614541457 179.805039011841 156.350184329129 186.116456488088 170.326685121941 164.80478762671 125.388729966634 171.687067923354 167.202291496134 108.124372684602 125.172520209272 179.750641795021 124.590503620279 136.246612485795 136.072756817069
"12/07/2019" 165.197342823962 173.371816610399 158.51910922997 128.293935470253 186.159796988451 192.120588996763 181.402496935147 144.905222036127 184.276388421766 189.500153773559 185.87144533653 187.326968973516 179.8466821155 156.351280252914 186.125568534815 170.365500039078 164.843529932661 125.415779549042 171.725751831949 167.245160387741 108.122984166168 125.174407486225 179.781513528768 124.619924113863 136.271089457814 136.128859540545
