"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"03/06/2019" 160.047372132134 166.951557488231 153.44135940393 127.199413713562 179.324711347307 185.449242755913 175.420945074552 142.140082694014 177.47063241043 182.728836384219 179.557576369097 181.091330694559 173.991452603047 152.074421190665 179.35844302896 164.800720159707 159.67559647488 120.416936381803 166.234720743466 161.927730847616 109.100335672196 124.392275182045 173.0033171692 119.958454380144 131.095459365034 131.146277815265
"04/06/2019" 160.068595769449 166.981736861495 153.482260442714 127.209122140719 179.36178271029 185.491930038944 171.843121345826 138.154042348479 177.503755981142 182.768996126267 179.600090569457 181.136140428219 174.034264479503 152.092517769648 175.576516648077 164.843781352326 159.719184178621 120.4448803923 166.279272853467 161.971149561819 109.105161904273 124.4031337957 173.036666835386 120.012239078693 131.125467569238 131.178094213436
"05/06/2019" 160.090230271491 167.009593829674 153.521379078116 127.219439822382 179.402161015182 185.534415295771 175.50537660086 142.167706710544 177.539312722036 182.812784805226 179.640977666536 181.180782824979 174.076674719088 152.111168909812 179.425085887219 164.888155327171 159.76091708014 120.472451067482 166.322773731794 162.013381402818 109.109873972871 124.409535020886 173.070130337607 120.018622269781 131.155261805146 131.209597141786
"06/06/2019" 160.110682438507 167.038283693687 153.560424030134 127.228279142085 179.438323903921 185.572922956496 175.545724534692 142.18136785004 177.57590351131 182.84486215301 179.682463537939 181.224761172243 174.120715274658 152.128431591183 179.460818824267 164.932008616863 159.799338051933 120.499221392525 166.365098084256 162.054947577796 109.114586427639 124.41881980056 173.104865442766 120.048434150264 131.18669301913 131.241845498232
"07/06/2019" 160.131946305785 167.066300266846 153.604675403137 127.236839478098 179.475696029431 185.613425283108 175.588812067726 142.19309834987 177.609874258422 182.889057464456 179.728868748147 181.265848590659 174.165618663624 152.146520232798 179.496802702822 164.974332150077 159.840943381399 120.526429149144 166.405865953655 162.096555375923 109.119258002916 124.427916826188 173.138457105599 120.077348205404 131.213953549431 131.272640025687
"10/06/2019" 160.195662215121 167.149533233445 153.726080935628 127.264825185036 179.590066441885 185.73935272695 175.715011216784 142.236207723581 177.741000911312 183.001915579349 179.849310846986 181.400421364529 174.294062829351 152.200851435828 179.602529904628 165.120289601847 159.967089644734 120.614325451846 166.537444111405 162.221524798758 109.133151786491 124.452556826657 173.23823469439 120.163844145756 131.303174076496 131.36832793566
"11/06/2019" 160.216676969296 167.177193305399 153.768031624966 127.275887564144 179.628372808706 181.866720620364 175.757028958004 142.247429795926 177.751286663014 179.160062172709 179.891460795604 181.44325521193 174.338552303899 152.218818979704 179.639316671989 165.14600800368 156.633616497908 120.638067080627 166.578637430666 162.265486503246 109.137716005655 124.461090285612 173.271805408673 120.193224602871 131.332896938832 131.399086019674
"12/06/2019" 160.237169187382 167.206148454405 153.807485102858 127.283761325919 179.666187274276 185.819388959429 175.800306390636 142.263378708021 177.801872622907 183.072263049136 179.930861572183 181.487615107418 174.382548478806 152.237270426108 179.675449180927 165.187484938153 160.049979394934 120.68883511437 166.622609197374 162.30840335801 109.142276747171 124.471172185223 173.306197446235 120.224230215595 131.361676524823 131.430760329343
"13/06/2019" 160.258927007258 167.234178085448 153.84948384828 127.293536841901 179.703218939419 185.857513415147 175.844378870101 142.275682178764 177.846791396976 183.109379498631 179.974706892775 181.531240631578 174.422668710126 152.254893590882 179.712025065782 165.228401160163 160.09084312308 120.716898009629 166.66531243548 162.350166057878 109.146818793819 124.479328564125 173.339705663119 120.254756927064 131.391756771827 131.462636798741
"14/06/2019" 160.280714461765 167.262180434083 153.890603492938 127.302334129743 179.742195623709 185.898448450795 175.887135286896 142.290612140904 177.881636812308 183.149857823398 180.015117961377 181.57368413797 174.465636996185 152.273487289593 179.746724296819 165.27416903648 160.133233480143 120.744318200856 166.707334615448 162.390407578233 109.151335099584 124.489095343438 173.373471398067 120.281952865748 131.421731594533 131.493971301145
