"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/03/2019" 158.02571686713 164.282782981751 149.614639525518 126.274650360426 175.725284643987 181.587602451329 171.439757731238 140.812478646847 174.142235692549 179.111227675157 175.610991036519 176.99310905474 169.920779953349 150.332208164567 175.956650761998 160.80347760792 155.76473081727 117.813499820489 162.196055303741 157.945199181952 108.618925019407 123.538716391676 169.791036474658 117.179218021253 128.29196018081 128.177951061779
"04/03/2019" 158.078603525062 164.368897922704 149.737335863393 126.305769170946 175.83910637826 181.712277069447 171.564595334876 140.850546629292 174.224898223492 179.227592314041 175.738588058515 177.107058946148 170.071200094087 150.377931557043 176.066363937328 160.931194828204 155.888782700934 117.892854891095 162.319145240932 158.073881444439 108.635413728994 123.569600740123 169.919571261681 117.26850168962 128.403742193163 128.275104775175
"05/03/2019" 158.100676644415 164.398317379259 149.777946666437 126.315953170641 175.878455247847 181.754650994471 167.98171636082 136.866328729483 174.261880890752 179.267251847781 175.780530979064 177.148076691479 170.094195651114 150.396912509619 172.290373175175 160.973731851255 155.936846784929 117.921304123136 162.363865941574 158.116969683907 108.6408929699 123.576324953759 169.929605506754 117.298784817328 128.434000825471 128.328111578813
"06/03/2019" 158.122399490514 164.426605009519 149.816845257265 126.326246172126 175.919613393794 181.820971653801 171.651441971812 140.883086306803 174.29628473255 179.306744612153 175.822388188051 177.192858879743 170.137968764859 150.416453546533 176.140921251845 161.016329826226 155.973603747967 117.948855396841 162.407173301233 158.158888044184 108.64636362294 123.589116725313 169.987817802074 117.328655773968 128.440491656157 128.359837572495
"07/03/2019" 158.144501441124 164.456484485603 149.855660872489 126.336278757576 175.956702701983 181.836491409071 171.689497889758 140.891450274553 174.337620512562 179.344229006471 175.863762966592 177.241353483214 170.181745270992 150.434588260867 176.174319502188 161.060522607368 156.013072475145 117.976970112024 162.449298412996 158.200227050284 108.653140910241 123.595686234585 170.023194962242 117.35904518224 128.469723158303 128.392259832486
"08/03/2019" 158.16636166687 164.485331849928 149.899700998344 126.345910266379 176.019275326053 181.879580649798 171.732586088652 140.908700935577 174.369455474018 179.406126582684 175.905342165752 177.278338234944 170.22769739741 150.453500226348 176.211569605556 161.097838052869 156.054383491463 118.007115708478 162.48996356779 158.24166475128 108.658741141205 123.604652056516 170.057365091379 117.387997756011 128.499252782943 128.39911343008
"11/03/2019" 158.232425675401 164.571135050927 150.020468048575 126.377044297593 176.116346796024 182.023116749592 171.85894220612 140.95021095779 174.478029930987 179.521525375011 176.031244385535 177.4127448544 170.355008476056 150.510427818577 176.318954250848 161.23275099496 156.18032679676 118.088934191563 162.62150944942 158.366513046737 108.674919749374 123.632955134659 170.134373272682 117.474891703245 128.589384225513 128.495460806462
"12/03/2019" 158.253480665315 164.600278675992 150.062224312387 126.389455735697 176.150115071133 178.135670515637 171.910170094581 140.96660401959 174.512026031863 175.68529203552 176.073840755667 177.455510562753 170.399351336263 150.527057338811 176.356306730002 161.276003548759 152.850892806853 118.115923493409 162.662504691568 158.410131259041 108.680511358475 123.644489877758 170.169040733659 117.504695233219 128.619629074855 128.527604737434
"13/03/2019" 158.275993786568 164.629861935424 150.101467562377 126.401057959091 176.187523030602 182.083069570986 171.953457492596 140.981859245039 174.551270904609 179.599224690718 176.114077165931 177.501000333209 170.443496303918 150.54639225189 176.393601571131 161.31635279801 156.266660671162 118.144436468298 162.706278113049 158.457246660214 108.685923637357 123.65183616014 170.205857910904 117.534605706172 128.672914051585 128.558399983032
"14/03/2019" 158.298523319139 164.658748533056 150.14325354502 126.411260923738 176.229157387694 182.122764306787 171.997484899563 140.996038176619 174.585253101938 179.613091492867 176.158066091419 177.544673672482 170.483085040293 150.564898022862 176.430977871948 161.341901539521 156.306696394651 118.172787803247 162.7489184029 158.49875089497 108.691223969685 123.663403042196 170.238043082613 117.563820163348 128.703256323512 128.590452563154
"15/03/2019" 158.321448004549 164.686036931512 150.184164966678 126.421357561751 176.28940690749 182.165450582076 172.039997553912 141.008493116621 174.620549555681 179.65207668327 176.198680432383 177.586990429424 170.52638217801 150.584541231814 176.466431614129 161.403377212549 156.348573452382 118.200532192349 162.790817470412 158.54323355166 108.696716606634 123.674047190548 170.273372536586 117.593806852466 128.70967288732 128.622216091975
"18/03/2019" 158.38638632633 164.772982882273 150.302705482799 126.447891680038 176.381859094021 182.311087915768 172.166357339208 141.052230159864 174.727539056483 179.766329465101 176.324713210888 177.720935891006 170.659433891533 150.642402367228 176.57642378385 161.527726050657 156.471356507227 118.282141504219 162.922033252873 158.67274603192 108.712327749591 123.698777141715 170.400759699581 117.68367302839 128.798476057376 128.717537437532
"19/03/2019" 158.408222233676 164.801426863788 150.342981700336 126.461918472286 176.443662522333 182.353205698674 172.210054544278 141.068620975688 174.764371622352 179.805824957 176.368546752221 177.768031178495 167.075974456595 150.661407447963 176.613358495974 161.574670536687 156.512621893209 118.309923730206 162.963481015075 158.713281001094 108.717503902202 123.710210722794 170.434355948496 117.712415497369 128.829593038857 128.749068904908
"20/03/2019" 158.429890649092 164.830544588891 150.386242708737 126.467852357434 176.483401060775 182.395490994005 172.250500479075 141.080815293555 174.824231089561 179.847128465452 176.412980008222 177.807476835342 170.74829610112 150.680550494388 176.649620911834 161.615930726378 156.554379597683 118.338588507521 163.00644452694 158.756550047855 108.722681263019 123.717551740106 170.445176008599 117.742906346382 128.865201528757 128.787975669638
"21/03/2019" 158.451991828726 164.857731634569 150.427337185223 126.477919142556 176.522772667663 182.43776328392 172.292003360059 141.0974739575 174.860161846933 179.884344058155 176.460901775511 177.851198272696 170.785801924858 150.699304892953 176.68462049524 161.651358184209 156.596330254564 118.366307573521 163.047980434896 158.798579196883 108.727865620394 123.729871781216 170.481771549394 117.772459441029 128.889587099575 128.812750729825
"22/03/2019" 158.474246604498 164.88790508816 150.467426435379 126.489004437265 176.560915941406 182.47907555367 172.336804692999 141.110558041457 174.895500046255 179.947075429833 176.492277651167 177.894301029916 170.829079174556 150.718323894834 176.72101417205 161.703064020492 156.637510936006 118.393772355751 163.090039239422 158.839960859204 108.733069035688 123.736332815471 170.538200424502 117.803149301736 128.925744896978 128.847286729346
"25/03/2019" 158.5392496428 164.972297330883 150.591309145759 126.518564590426 176.672457523638 182.602363101998 172.460053098246 141.155031995644 174.978169214607 180.044482767754 176.620121304694 178.026386091955 170.958269604735 150.773978958645 176.835836533593 161.826954769816 156.76329721583 118.477948394315 163.220737254831 158.967734402115 108.748724216107 123.764086783557 170.640524207833 117.89065104269 129.014148660267 128.942027731098
"26/03/2019" 163.215121571933 170.47202500453 154.15688962395 127.787773018143 182.04190705681 187.714888109377 176.851153219729 143.883271303449 180.476870125648 185.404892766615 177.606482005457 182.628542678869 175.19930694341 154.769017725052 182.279058174455 165.775903476241 160.395230676843 122.33732940734 167.143125650108 162.726034009156 108.14145592815 124.755035891649 176.143915305789 121.365457660172 130.694776641724 132.652027077168
"27/03/2019" 163.233777764793 170.500804646171 154.198000672506 127.789529090886 182.079617932105 187.757648566797 176.894556648797 143.884981221093 180.510419410199 185.445145282716 181.400431786903 182.666595360186 175.245113331344 154.782077404187 182.313772360635 165.834543200747 160.43732019799 122.365009250938 167.180543759418 162.768873469642 108.141108024283 124.759162539787 176.177987131167 121.403087280286 133.038354632024 132.682435232689
"28/03/2019" 163.270260721773 170.528829664732 154.238926239366 127.798526358113 182.11872314222 187.796891706132 176.938808732331 143.89779489279 180.549778415053 185.458200561027 181.440706301599 182.711953241216 175.286540766146 154.810387815844 182.348083808204 165.860459765653 160.479356546824 122.395155569942 167.224673230525 162.811429790874 108.141572015011 124.762952908162 176.212141303932 121.45067535325 133.068546915647 132.714584694513
"29/03/2019" 163.271782762578 170.555154152731 154.278915609566 127.800221311956 182.156281341945 187.842387114848 176.977377261475 143.91355849339 180.580754148404 185.494761957953 181.481790509788 182.744981423379 175.33119645009 154.814958121635 182.384963840948 165.900545116056 160.51870865139 122.422455782012 167.263997510482 162.852661950358 108.142096738839 124.768735682777 176.246231542635 121.455136050806 133.098075782028 132.745514284729
