"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/05/2019" 154.509603844146 160.180883092809 148.700788817374 125.686494145073 172.015475650924 178.297859480961 169.101710191115 138.928759441244 170.204645474792 175.4603816286 172.799656605199 174.504624511797 167.957750055085 147.36188652234 172.115699006167 159.201547905226 154.764669035358 115.110966870183 160.756701934692 156.768628715527 109.848958240028 123.206246500916 165.792054944203 114.949999542016 125.552699792683 125.840172720474
"02/05/2019" 154.548694847182 160.20899997875 148.741386002506 125.699725395826 172.033670751161 178.315719558442 169.1351433503 138.947072879507 170.240500599962 175.49910360756 172.841626048545 174.551544055772 168.001679755902 147.383845203932 172.152000282299 159.245245858252 154.806338236272 115.137355992306 160.800500359139 156.810049957899 109.859550471394 123.222999950016 165.849808697611 114.979738521107 125.582144048133 125.871798507155
"03/05/2019" 154.558905105067 160.238245585512 148.781876039058 125.714627501849 172.073225335061 178.357544513681 169.177037448567 138.963608914174 170.277365271875 175.538947597025 172.8853199332 174.597156187699 168.047514497349 147.405917704018 172.188238163397 159.287091880813 154.848305925397 115.166226364103 160.842754076614 156.851805828182 109.870537252705 123.235790875228 165.885288448757 115.009196982897 125.61283905251 125.903026951728
"06/05/2019" 154.6335430734 160.328886836917 148.905278521721 125.759984735667 172.189030047951 178.480782246899 169.31649356628 139.021964583349 170.386239864086 175.655197616338 173.008523101782 174.746293259219 168.176192158833 147.472240424451 172.30054571295 159.416133998821 154.973830728869 115.245606739561 160.972026050166 156.977986989065 109.902549784263 123.279929603981 165.965870212699 115.095237979636 125.699843523246 125.97447999927
"07/05/2019" 154.65813934404 160.359867213883 148.945818878817 121.64965725328 172.251228111348 178.541540992874 169.352004331149 139.040600729074 170.444928776308 175.690882054053 173.049442284791 174.79081638515 168.221730651925 147.494294423728 172.33449579607 159.459420030128 155.012377021662 115.272969458315 161.015922732891 157.025494186731 109.9131695821 123.292981871728 166.000147989816 115.124155707333 125.728902609214 126.004472647039
"08/05/2019" 154.683151020208 160.388742457427 148.986418295809 125.791819693763 172.264857403641 178.5835258739 169.391397673503 139.059130467896 170.456972011985 175.730465815962 173.091342961654 174.833399237399 168.262905675074 147.516193409291 172.370881431467 159.502542196081 155.056731837807 115.29993830524 161.057726302306 157.065103680474 109.92380136828 123.305976070923 166.034353651631 115.152943337502 125.781501389907 126.035261036986
"09/05/2019" 154.707711900055 160.418172665148 149.028522271748 125.804215532873 172.32651562751 178.623618602451 169.434068473357 139.075524918231 170.494124668587 175.76822088055 173.133785579293 174.856497661926 168.305994476667 147.538424390925 172.409257822846 159.544724716664 155.096047826749 115.33315973499 161.099576053495 157.108393222103 109.934441239668 123.32277344481 166.069463218903 115.182048930991 125.788617559678 126.067689689774
"10/05/2019" 154.732380751721 160.448300712421 149.069978977866 125.819141920431 172.365278972848 178.641036521797 169.480783544193 139.096694607297 170.554863697882 175.806924038729 173.178478829494 174.910410102944 168.349354498733 147.560855369261 172.445480475978 159.586920068962 155.136628959081 115.360042205419 161.14728313209 157.150165867123 109.945085345704 123.336187809381 166.104173499648 115.211251355252 125.819170156187 126.099810638003
"13/05/2019" 154.806190133606 160.537638158815 149.192030451475 125.866825582418 172.470870662364 178.766304816062 169.604249076673 139.152454095598 170.660188397546 175.92375365132 173.302674390182 175.031210751247 168.478908079773 147.625429022744 172.579760263546 159.714757975351 155.265057994429 115.44172970752 161.271799762418 157.27795109822 109.977061975774 123.379513399313 166.208430043206 115.297198782267 125.905746765749 126.190933456773
"14/05/2019" 154.830515333659 160.567964360217 149.231550687282 125.878875271763 172.494140334482 178.829561702772 169.647423157803 139.168370252555 170.697206583946 175.960830051298 173.347518682037 175.074833326523 168.518600178685 147.646508180594 172.615935438015 159.757105571973 155.305216056226 115.470604686688 161.314805788175 157.321338227891 109.987722556429 123.391284939146 162.49373195836 113.263896800311 125.959815185357 126.223785053471
"15/05/2019" 159.641606915191 166.41897900955 152.666311606156 127.022413184653 178.625166423987 184.673527974071 174.618866368377 141.87763044325 176.820787289937 182.003369639311 178.761625630167 180.264297615848 173.169833925915 151.717783014994 178.696709265202 163.988937763196 158.886296321434 119.916070760881 165.424028501834 161.123975542955 109.009294274161 124.226454181017 172.358180619788 119.398094739412 130.531403906653 130.549737125752
"16/05/2019" 159.661691541005 166.446781409834 152.703999940266 127.029072484559 178.663921388927 184.715129890551 174.660765481024 141.889419278623 176.832224115077 182.041299972902 178.803341714493 180.304831094217 173.212578699344 151.737414863998 178.732759359812 164.032537653654 158.927679632363 119.922924234046 165.465129403129 161.166744982757 109.014116956999 124.237715416409 172.391706847755 119.431120310386 130.5610521463 130.581052146933
"17/05/2019" 159.685757817499 166.474767835294 152.744771932631 127.03816199126 178.678143636339 184.756021389379 174.702067784733 141.906595587365 176.869744771406 182.081684318039 178.844018338804 180.350365799528 173.253749173385 151.75574547835 178.768208574301 164.076056558119 158.968412575831 119.946284160497 165.509153289366 161.208486682909 109.018942504653 124.243872083438 172.425720555936 119.458016099536 130.590309553939 130.613822850228
"20/05/2019" 159.76273493462 166.559627444679 152.868308062616 127.066684533062 178.791415564223 184.879352191015 174.831074704777 141.947069675581 176.973919612499 182.218599036694 178.968075952116 180.480900484615 173.386982716939 151.810420083202 178.851255861367 164.203352278023 159.094227468349 120.029953262809 165.636557772325 161.3374258166 109.033404502449 124.270257080387 172.526272849256 119.544770696314 130.678581606917 130.706807103024
