"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/11/2019" 154.798275889459 163.251600252009 155.949482720941 120.117196369877 180.622609578734 183.109515420015 173.909690877124 135.943683746594 174.594137461173 180.101717422452 177.69452692338 179.410143708173 172.681304088295 146.505797937329 176.534412781764 167.279355744314 158.787930464887 122.193489948199 165.17258396197 160.9753077152 105.621083952304 121.261991075455 173.871254661491 121.900393783101 130.487093223099 130.634304530232
"04/11/2019" 154.855971290797 163.332249167037 156.069943166757 120.139681696662 180.733725249607 183.225638720826 174.032907166156 135.97895430272 174.693980524015 180.21101979435 177.821183168661 179.53746482772 172.804099905402 146.556185799971 176.637017569067 167.407412079545 158.909096897832 122.274161364325 165.296890353823 161.103736461239 105.631087262553 121.283109655531 173.970132240473 121.987911887003 130.551558366962 130.724985766223
"05/11/2019" 154.876030453773 163.358811697004 156.112593896728 116.022496323743 180.792019476344 183.289971327124 174.071788855252 135.991682506962 174.728974315238 180.272673407086 177.861474350003 179.581012717955 172.829750317825 146.571129026646 176.671181455279 167.449931705634 158.951595020985 122.301750932323 165.341269104353 161.146831689172 105.633722308488 121.290143026858 174.00420475338 122.017529727857 130.580311801354 130.756503448477
"06/11/2019" 154.894143440221 163.385317233364 156.152796128948 120.155951001428 180.829282124256 183.312423416129 174.114548875176 136.003798600005 174.763563200221 180.288069257964 177.903417352852 179.624477089081 172.872451162241 146.590465685775 176.706458647205 167.494328700674 158.994358014341 122.328071818122 165.384742708402 161.187651272444 105.637207646368 121.297249916694 174.035465090721 122.045544089834 130.610531948474 130.78816229417
"07/11/2019" 156.071652498393 164.905369207178 157.07893609646 120.243819090954 182.438093486898 184.924662051052 175.483227167478 136.54283218213 176.405790181756 181.942508878435 179.393294234381 181.066030358327 174.154049003944 147.529675538113 178.363260807686 168.637984991083 159.980963409847 123.513358060025 166.51345406793 162.231504159551 105.138000580538 121.281396634923 175.653333952664 123.164710787232 131.871001703456 131.989595594818
"08/11/2019" 156.078832029101 164.931727473048 157.119785629529 120.250692434545 182.472956768599 184.963925750526 175.520390114133 136.554151200453 176.443317592067 181.961045348195 179.418142994392 181.109713318096 174.196950698373 147.543638755712 178.373953486355 168.680013781943 160.020956715696 123.541173047248 166.55666257494 162.275132211035 105.139166725231 121.286744494636 175.683557477787 123.192722384697 131.900529417691 132.015171417973
"11/11/2019" 156.134301757213 165.008728933963 157.254982040947 120.268498699271 182.582029281744 185.08356813502 175.645163266734 136.582336742387 176.542199781703 182.067055746228 179.566667645533 181.236492330141 174.328384465901 147.590343833233 178.477434464916 168.807002769615 160.145524728531 123.645700231165 166.682959787403 162.400982135341 105.144074199739 121.302999297658 175.781563318651 123.2804688623 131.988515065844 132.109251554606
"12/11/2019" 156.154048700757 165.055677129181 157.283882141252 120.274726106082 182.620148152602 185.121549594097 175.687886947533 136.595036953083 176.576737874429 182.102310703519 179.60911590931 181.279792129054 174.369786591875 147.603203942938 178.518333503087 168.84987415657 160.186506043756 123.673292033281 166.727373450826 162.44593967554 105.145538070804 121.308606581177 172.08906881105 121.249299178806 132.018187718315 132.139509788762
"13/11/2019" 156.172325596491 165.06317726822 157.330687277056 120.280748430313 182.655997205606 185.162133463673 175.751860185778 136.60590012838 176.609190739306 182.141049925905 179.651924292736 181.321274871733 174.410950499389 147.61849105812 178.571782843825 168.893973119361 160.22962853696 123.675710898485 166.76712586004 162.488075851365 105.147158125753 121.313896200292 175.848665187715 123.36403186071 132.070714608028 132.168850218355
"14/11/2019" 156.190936494988 165.087845391318 157.364329023341 120.2868994637 182.692982625466 185.201414087418 175.769974744402 136.61629826289 176.643492587135 182.176408222926 179.691433341149 181.363902426166 174.454608749038 147.636451503159 178.582636319071 168.935515086314 160.268946704285 123.704241882 166.809475147139 162.529527898164 105.148749450587 121.319359802609 175.878899575577 123.368030609577 132.09872221641 132.200205018861
"15/11/2019" 156.207505796908 165.113622449213 157.403620094169 120.293738783681 182.730011840675 185.241006439715 175.811200294076 136.623403278257 176.677014608293 182.213155049177 179.732193143127 181.40810420897 174.516997280769 147.64902558206 178.616694988076 168.978457335214 160.314434719822 123.73085572192 166.852360990529 162.572535719634 105.150437674483 121.324674948341 175.912726199316 123.397229420701 132.10409563229 132.230802983254
"18/11/2019" 150.888410376859 158.273600529453 153.53033386176 119.993520762755 175.618647537338 178.327456097679 170.040042920478 134.200183683949 169.438916681857 175.090299438559 173.370326766175 175.344557016304 169.080601587493 143.360583341484 171.431809227094 164.162148985572 156.199221376424 118.464922005165 162.124458255727 158.178389597644 107.739792762353 121.538349793501 168.771752700279 118.591162881983 126.634730823732 127.112894055257
