"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/11/2019" 154.798275889459 163.251600252009 152.585349638326 120.117196369877 176.688060497598 179.138639977975 170.22977733587 131.883089494545 174.594137461173 176.168901489441 173.890292774981 179.410143708173 169.003051562708 146.505797937329 172.664158884928 163.725569477481 155.362574652264 120.162315256809 165.17258396197 160.9753077152 116.946679180015 170.061978585365 119.805291941232 128.141148831587 130.634304530232
"04/11/2019" 154.855971290797 163.332249167037 152.705491469092 120.139681696662 176.798791858101 179.254384455568 170.352644262442 131.917974546897 174.693980524015 176.277828669015 174.016579310371 179.53746482772 169.125461088111 146.556185799971 172.766396239298 163.853278693669 155.483414304798 120.242794301584 165.296890353823 161.103736461239 116.967376258395 170.160526109329 119.892628514874 128.205385987683 130.724985766223
"05/11/2019" 154.876030453773 163.358811697004 152.748058270316 116.022496323743 176.856964404771 179.318581529759 170.391410500174 131.930575356531 174.728974315238 176.339348048672 174.056763371515 179.581012717955 169.150996126643 146.571129026646 172.800438702524 163.89568841518 155.52579551527 120.270333195622 165.341269104353 161.146831689172 116.974276174164 170.194483800473 119.922183203758 128.234073364619 130.756503448477
"06/11/2019" 154.894143440221 163.385317233364 152.788149491173 120.155951001428 176.894103434158 179.340914675199 170.434054549109 131.942563481587 174.763563200221 176.35462609602 174.098555643793 179.624477089081 169.193603232095 146.590465685775 172.835593924963 163.939973754779 155.568455905552 120.296587055692 165.384742708402 161.187651272444 116.981175919316 170.225629698194 119.950134623945 128.264200561221 130.78816229417
"07/11/2019" 156.071652498393 164.905369207178 153.730189683738 120.243819090954 178.521121623669 180.970704898597 171.819403793211 132.499992596732 176.405790181756 178.026449078879 175.604496260062 181.066030358327 170.491090184522 147.529675538113 174.509929327854 165.10007492107 156.570201648943 121.491473433477 166.51345406793 162.231504159551 116.985362978479 171.861912698436 121.079429097406 129.534576285959 131.989595594818
"08/11/2019" 156.078832029101 164.931727473048 153.771002073978 120.250692434545 178.55593834063 181.00991220173 171.856499838262 132.511237792595 176.443317592067 178.044929692838 175.629282374877 181.109713318096 170.533926876868 147.543638755712 174.52055164449 165.142061653455 156.610146306191 121.51926599484 166.55666257494 162.275132211035 116.990659767186 171.892075350102 121.10740721447 129.56406536899 132.015171417973
"11/11/2019" 156.134301757213 165.008728933963 153.906042177614 120.268498699271 178.664826338645 181.129344507351 171.981076863879 132.539206918548 176.542199781703 178.150732025534 175.777574817296 181.236492330141 170.665177310013 147.590343833233 174.623826351569 165.268883982301 156.734533100829 121.623698804247 166.682959787403 162.400982135341 117.006712198775 171.989883475777 121.195044948719 129.651907821764 132.109251554606
"12/11/2019" 156.154048700757 165.055677129181 153.934895652218 120.274726106082 178.702873438128 181.167254226393 172.023743447767 132.551844125756 176.576737874429 178.185915930394 175.819982230947 181.279792129054 170.706510388552 147.603203942938 174.66466533954 165.311690543496 156.77545253168 121.651262454997 166.727373450826 162.44593967554 117.012240765302 168.297338074634 119.163847273777 129.681555283324 132.139509788762
"13/11/2019" 156.172325596491 165.06317726822 153.981649187714 120.280748430313 178.738657407486 181.207779441993 172.087669229609 132.562654935367 176.609190739306 178.224597060982 175.862721783513 181.321274871733 170.747612604634 147.61849105812 174.718064769234 165.35573072106 156.818524428801 121.653650165298 166.76712586004 162.488075851365 117.017459002355 172.056833026593 121.278524172093 129.73403972734 132.168850218355
"14/11/2019" 156.190936494988 165.087845391318 154.015240248773 120.2868994637 178.775581161528 181.24701161795 172.105710743317 132.57297246859 176.643492587135 178.259907374572 175.902165596919 181.363902426166 170.791197968808 147.636451503159 174.728841421379 165.397216989853 156.857800804106 121.682150546412 166.809475147139 162.529527898164 117.022854971193 172.087067558356 121.282523000105 129.762007107469 132.200205018861
"15/11/2019" 156.207505796908 165.113622449213 154.054477548046 120.293738783681 178.812566926634 181.286531762654 172.146892732428 132.580029417128 176.677014608293 178.296582685315 175.942858155364 181.40810420897 170.853534248338 147.64902558206 174.762854276687 165.440119993499 156.903226531942 121.708731920487 166.852360990529 162.572535719634 117.028122461973 172.120831866112 121.311687522689 129.767339056503 132.230802983254
"18/11/2019" 150.888410376859 158.273600529453 150.098717866041 119.993520762755 171.606766992919 174.281754651462 166.289313668006 130.061447957084 169.438916681857 171.083374683519 169.497481827391 175.344557016304 165.334518489248 143.360583341484 167.487076737426 160.538514945452 152.709319170422 116.393002913411 162.124458255727 158.178389597644 117.138222744784 164.884515080894 116.453182191321 124.246476444814 127.112894055257
"19/11/2019" 150.911106060817 158.302950534103 146.827047374112 120.006611747133 171.645689647001 174.321301452794 166.330243567652 130.079618352392 169.473276692847 171.120049922022 169.534511109729 175.386811521749 165.372180600092 143.38088344279 167.520574087712 160.579407596075 152.751687749783 114.419883567959 162.148879031256 158.220795770402 117.150676700659 164.919041676952 116.482187951629 124.253083140888 127.142916740783
"20/11/2019" 150.934339173265 158.330699691698 150.1792869373 120.019727830346 171.674808086546 174.38324686618 166.371175630375 130.094417012242 169.507352430923 171.157306616373 169.57726024634 175.428889278997 165.415689276934 143.401372162312 167.555775315868 160.621201800187 152.793798776065 116.446159016231 162.190915334247 158.26393690332 117.163135474376 164.952835484064 116.511800880079 124.279268850945 127.173577215718
"21/11/2019" 150.957132306794 158.356937342251 150.222939457873 120.032888900272 171.7148571502 174.399306861908 166.414030619453 130.114616017867 169.541616307764 171.193342827525 169.615810409527 175.472741550634 165.47933265736 143.421373212949 167.613850284015 160.663804346115 152.83517957774 116.472637164138 162.232897137903 158.305441177845 117.175583545709 164.984355888844 116.537983909273 124.307872329956 127.203808639497
"22/11/2019" 150.980339157881 158.385446008762 150.263088611146 120.046115240916 171.749119847748 174.439929890601 166.455299566135 130.131012204785 169.57779048657 171.23236728603 169.655640838236 175.518890016939 165.521789195833 143.44197497612 167.649645003543 160.705640902987 152.876449497882 116.499306584381 162.278807549442 158.350137230377 117.188011995199 165.018227843119 116.567707608223 124.336051347899 127.235954133402
"25/11/2019" 151.048530094882 158.471162807413 150.385166678876 120.085501365885 171.866715595052 174.557114487195 166.579336490814 130.179335160143 169.680483238001 171.341142917287 169.803101776157 175.646834294565 165.650487604373 143.502713253802 167.731094757861 160.832473645139 153.001928582064 116.578909440734 162.405487420454 158.477543187049 117.225323526236 165.117935952762 116.651640993643 124.423416724656 127.325545855317
"26/11/2019" 151.072721419059 158.499787459452 150.42899387186 120.098658810619 168.026120948167 174.596147996731 166.6198482196 130.193487457224 169.717600305964 171.378300819016 169.818905044038 175.692090990128 165.673238687436 143.523234142011 167.765670749825 157.374608483058 153.043248453613 116.606074188251 162.450573856958 158.518831084689 113.943917355981 165.153122699126 116.680240846416 124.449890920186 127.358035549509
"27/11/2019" 151.096844007744 158.528239763157 150.471012304729 120.111835310936 171.939227604527 174.635553614761 166.661117829815 130.210150197684 169.751995901348 171.415087747065 169.860292599219 175.733960166006 165.716029469607 143.543568558769 167.800178174643 160.915827078152 153.084614111484 116.633357310422 162.491248437966 158.559670995138 117.25016912396 165.184573121008 116.709544271335 124.47821314285 127.388091371717
"28/11/2019" 151.117377166547 158.556329976696 150.508160484263 120.125352211266 171.972172340593 174.677425266501 166.702896704361 130.225932515649 169.785441887637 171.458981151145 169.902672944808 175.776499380959 165.757944380245 143.56358150788 167.835608520636 160.961152825936 153.127540139296 116.65823112932 162.53447403017 158.602029782259 117.262592811977 165.216946278191 116.737123749244 124.508018667202 127.418467000835
