"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/10/2019" 154.253690603713 166.433533898949 154.969350136985 124.059864948916 179.901533368804 182.374040623181 173.117355512755 135.568162911684 173.904858618489 179.380540927028 176.913809508733 178.567406746933 171.815618966761 146.025683431234 175.83920021639 166.373575520083 157.820971615033 121.690609224066 164.248127947265 163.509052622584 105.535913302602 121.03815534247 173.198220307534 121.379799606667 129.923268158121 130.072227137914
"02/10/2019" 154.273699096663 166.459502888274 155.010412262091 124.067458230966 179.939137241156 182.391137048817 173.161371588117 135.585625946632 173.939510268266 179.419126458292 176.956056944749 178.612955358027 171.856698334566 146.042989114953 175.876457270832 166.418448934697 157.86107404372 121.716926003867 164.291114642286 163.550089008444 105.540216259256 121.045451236533 173.231373204789 121.411326356547 129.953312141636 130.127631568981
"03/10/2019" 154.293089989153 166.488018683713 155.053249428786 124.077315659073 179.974865086716 182.432372963911 173.203598742189 135.593802897085 173.972587611069 179.457378691295 176.997708887308 178.652148426186 171.898837927046 146.056607408513 175.909045911828 166.459066480191 157.903466755487 121.745041183411 164.330508815585 163.593262483208 105.543095122757 121.053105373439 173.263740592037 121.43758868603 129.982963211558 130.15777086727
"04/10/2019" 154.313146210919 166.520008097198 155.091341686999 124.083713842 180.014061070672 182.471252443303 173.244325302064 135.604953481045 174.007071760396 179.49442522131 177.039152940472 178.695194403784 171.944280977707 146.074838720376 175.944773500486 166.504234404626 157.945255764948 121.772079812563 164.373293789146 163.636397194982 105.546675464218 121.060230456689 173.297193084748 121.465923475564 130.011559320148 130.165070588532
"07/10/2019" 154.372325730591 166.601416931464 155.215322453204 124.109130546201 180.124747267466 182.587606555696 173.373538045112 135.640962997986 174.109874259598 179.602552177582 177.16274848497 178.825735083367 172.052140802928 146.123619330986 176.07342267254 166.630454394129 158.066324061695 121.82853560276 164.502737210142 163.762981376826 105.558005519982 121.082819597872 173.394985831482 121.552732776014 130.099606623535 130.260397120879
"08/10/2019" 150.329878126189 166.621112655176 155.257396858557 124.116370502626 180.163162672649 182.627567801696 173.412977560383 135.65527998877 170.332033395223 179.639657414792 177.204831281906 175.056039508142 172.096307554502 142.140841922067 176.107412917802 166.674105653551 158.107451578787 121.855477431456 161.045463983294 163.807471960165 105.561392846155 121.089969433001 173.427959163229 121.582048084267 130.129100755002 127.91402587864
"09/10/2019" 154.412306769636 166.64807257426 155.298261580684 124.124342820656 180.198839492749 182.669760339874 173.45619918658 135.665645237351 174.178840940801 179.678057767155 177.243896966892 178.911558553226 172.138027195125 146.156850859278 176.11863062074 166.713875815281 158.151637469792 121.888271775353 164.587748505606 163.850033566806 105.56417492918 121.097046812304 173.460846199244 121.611122671825 130.158170006163 130.320215044253
"10/10/2019" 154.431471887151 166.674934742495 155.338443968424 124.132337018767 180.237947045388 182.710178852014 173.495684782793 135.679655330594 174.212626888506 179.714947597994 177.284845531637 178.953464045251 172.182016271798 146.173352365448 176.155619608812 166.759158362962 158.19357252119 121.910996358702 164.629368226453 163.889222858345 105.567739588198 121.104815265188 173.493910770449 121.640907158168 130.186359168855 130.350176630514
"11/10/2019" 154.450911998454 166.70188836973 155.378775654128 124.141711048312 180.275523296366 182.748232967669 173.539253987767 135.695534602473 174.246908383127 179.752193812448 177.327213165498 178.996656107358 172.245025947078 146.189675499961 176.212518162288 166.801458887487 158.234611193461 121.936965663293 164.672778953846 163.931592609525 105.571171513542 121.111547225712 173.526395447504 121.66947232494 130.215150704818 130.380785166304
"14/10/2019" 158.6737933295 172.039214636026 158.996311056792 124.499595644026 185.820708763586 188.108901261071 178.09739555054 137.680362880548 179.904851408734 185.274889956067 182.289424669025 183.798665099166 176.609289325846 149.614279215229 181.781359070798 170.856893325384 161.968869887783 126.029831670843 168.711122793935 167.74604366559 104.011593456783 121.180414146943 179.109048827015 125.386891667463 134.47308819201 134.332093366526
