"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"02/09/2019" 157.799590562308 165.652514877493 153.795549684545 123.820644728474 178.819772221504 181.185465971592 171.883773003128 135.207896430591 176.776859631129 178.298149507141 175.745006882943 181.202688593745 170.550711775408 149.596626708044 174.826844202693 165.151728614418 156.614213529159 120.880721350841 166.559719536921 162.283211980274 105.426100918675 120.82060100094 172.24266619239 120.53339106153 129.10259718878 131.582222068842
"03/09/2019" 157.820912752493 165.680320157506 153.836535936939 123.829557290967 178.85688308762 181.22730713157 168.300247386008 131.219991995957 176.811125235666 178.336813279958 175.786535439339 181.241561220305 170.591380826759 149.613870727018 171.049927332388 165.194755650016 156.657750360933 120.908183275683 166.604144850714 162.326586034393 105.432488574491 120.827520662857 172.27611027184 120.563355261269 129.113255635582 131.637125409347
"04/09/2019" 157.841811219853 165.70732774017 153.875739702201 123.83829927402 178.919111555679 181.26822426562 171.966967358754 135.233040741058 176.845922492788 178.377407702095 175.827326840459 181.277842816354 170.633917654597 149.642194035477 174.898419463317 165.238318563193 156.699430833417 120.935344121939 166.64766424882 162.368772509645 105.436326176317 120.835164437065 172.311131678527 120.592160687419 129.14325449096 131.668280081291
"05/09/2019" 157.861143592374 165.73517012319 153.914869700124 123.844675615594 178.932812962917 181.307086982488 172.007624976272 135.24551186364 176.880758508098 178.409704002176 175.867790796374 181.315193135543 170.677626773666 149.650563458987 174.932420319071 165.265186573864 156.737797712655 120.959791225635 166.689881097037 162.410292611258 105.440632109647 120.843653291577 172.346742679951 120.646331905176 129.17200260301 131.700179476819
"06/09/2019" 157.881364194304 165.762340507898 153.959206035193 123.853779318561 178.973697033875 181.346514863758 172.049445183844 135.25810225366 176.915048595472 178.446785281748 175.90830736574 181.355932326262 170.741154609811 149.667398625464 174.991116318346 165.307465082178 156.779347233648 120.987038530491 166.730679844744 162.451853628061 105.444372401024 120.850432107882 172.373917526705 120.651065996458 129.195784530386 131.730595740151
"09/09/2019" 157.941989265282 165.843419636944 154.072585018731 123.877983423853 179.081580593745 181.466260485991 172.174668791423 135.29587393513 177.019271265657 178.557926630431 176.032265756147 181.488387587556 170.851944876271 149.724426565478 175.070572062728 165.453081308133 156.905189698928 121.069334059791 166.861993862517 162.57667845149 105.455755943394 120.873805412766 172.47135741508 120.736473020903 129.28509780985 131.825449768137
"10/09/2019" 157.961979145468 165.869840775802 154.111350845135 123.886329332433 179.119792832256 177.593864144142 172.216616386649 135.312485493825 177.053639168495 174.720485941722 176.073593523738 181.530211466947 170.894649438451 149.741473853849 175.106546593961 165.478781889372 153.571566401477 121.095965363389 166.903204034437 162.620590534997 105.45897732337 120.880888064309 172.510174803658 120.765813308224 129.312347218564 131.855887534529
"11/09/2019" 157.982540541272 165.897925212715 154.150855181119 123.895825980644 179.156744286287 181.547356281646 172.259383736459 135.323559013914 177.088695395163 178.633569564782 176.113417699054 181.574684974244 170.93748564858 149.761461671601 175.141322088023 165.519718971579 156.987686770653 121.123338072664 166.947104986659 162.66345705777 105.462697160228 120.888735916048 172.542797812429 120.819552157913 129.340852968343 131.887249195827
"12/09/2019" 158.000589728723 165.925080148207 154.19285105858 123.904437500336 179.19380624849 181.590305980802 172.324177137518 135.333323042753 177.123654311507 178.669872523754 176.15613899413 181.617923207864 170.977752232653 149.770116108582 175.177494245306 165.561017355312 157.028103955161 121.151060241646 166.989809659516 162.705168714102 105.466498900342 120.896080566725 172.574173840727 120.82422896829 129.370412392859 131.918797103732
"13/09/2019" 158.022997497236 165.952077641427 154.234088323281 123.912606684485 179.233895591913 181.628214536039 172.345435957541 135.345530294785 177.157140543089 178.713252287967 176.19585432382 181.660093143665 171.020395348936 149.795503066154 175.214968255108 165.606614231183 157.070410723182 121.178206576648 167.031656154829 162.7453584775 105.470160430801 120.903741792022 172.605559964628 120.85396129482 129.399841982202 131.949699711506
