"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/04/2019" 112.858793847247 119.536442420423 128.099865106931 133.437332531232 95.363088313395 123.498258448159 129.61930856186 135.378333078352 119.176246183623 134.572284638231 131.21785956925 117.720629483336 116.856061161305 131.321390389118 132.219748144177 111.01669142845 120.426182382416 89.1440504089857 130.677233408359 116.940786821027 95.5287807129112 122.64526364177 120.405444612978 162.020163188779 110.981770214095 85.9826216495111 131.632933261338 93.1293489839113 113.192473761846 86.7828036232374 128.596275112035 115.342716931966
"02/04/2019" 112.878556955921 119.562388042898 128.13548776986 133.479393561686 95.3969843425864 123.529382444808 129.658655360333 135.420676718698 119.217150399008 134.616380902149 131.261835340877 117.762361563744 113.503552374766 131.361377766952 132.26517832892 111.055780001531 120.451772626481 89.1905134244834 130.721898983908 116.963857109776 93.23597506761 119.169608001245 120.447765455588 162.071276238562 111.021354099198 86.0122015685111 131.663573753642 93.163005582325 113.216510453517 86.8140680114575 128.635146648334 115.38193410739
"03/04/2019" 112.89830595204 119.589010124787 128.170726059401 133.521632096931 95.44566641814 123.560869252302 129.696431956112 135.463850414223 119.259442474882 134.661512731546 131.308000614508 117.804277456417 116.937966951368 131.401010593154 132.31077470847 111.095679333056 120.479377440022 89.2076889083251 130.768085348265 116.986015442439 95.5972411888273 122.730754991013 120.489960131 162.121425055466 111.060653403869 86.0421233883028 131.709129932688 93.1980094223246 113.240332315712 86.8603236551227 128.673845946571 115.423021777514
"04/04/2019" 112.918043686736 119.614455680479 128.206896476674 133.563702635328 95.4648555151976 123.58920501363 129.735800568753 135.505789376248 119.300301215021 134.706955730273 131.352393105882 117.844922119902 116.979836911675 131.441275104828 132.371216867753 111.134558080723 120.508263995266 89.2547569931443 130.813712837561 117.00901441418 95.6462255007054 122.774745862126 120.532361209995 162.173478406753 111.098978469774 86.0727721017026 131.753911593196 93.2439050203153 113.264290987704 86.8914808508715 128.712310790671 115.46256527737
"05/04/2019" 112.937770246408 119.641938481507 128.242892965133 133.60524266217 95.4990613690288 123.623329313152 129.775552787211 135.548691707132 119.341774274334 134.752833689681 131.398082973051 117.886478019276 117.019247179998 131.481579413439 132.401287984435 111.174202475667 120.535567474778 89.271756715359 130.858053815515 117.031293173138 95.6649931255578 122.81594432869 120.575629639329 162.224946046024 111.139029002529 86.1062410275762 131.799800924075 93.2777260132682 113.288553181854 86.9228768350228 128.751292851296 115.503191282279
"08/04/2019" 112.996896872089 119.71879950328 128.349485844945 133.734994562328 95.6020572329285 123.713942265229 129.893918417296 135.67727862097 119.468435539374 134.887458533818 131.534843983118 118.010932677371 117.143963733126 131.601581213742 132.537277471189 111.288232223512 120.617579353466 89.3828499660886 130.995311964355 117.099013234241 95.7683140930635 122.946068226936 120.703077987173 162.376660549102 111.258494544715 86.1982021680139 131.950392830911 93.3778145718983 113.360836610497 87.0039151875605 128.867589632337 115.624919473644
"09/04/2019" 113.016580041877 119.744414356663 128.384910105368 133.774317347818 95.6364655316413 123.74686012774 129.933665583598 135.719862694302 119.510289786454 134.931996931504 131.58135174773 118.052207258166 117.183782967487 131.641579603427 132.583188525781 111.327745250432 120.64579456829 89.415321242351 131.041032294488 117.121463070784 95.8019414538628 122.987635727232 120.745068907109 162.427942440274 111.297455075391 86.2333448750655 131.980571225089 93.4116770865375 113.384392834531 87.0350838801286 128.904151773519 115.666668265807
"10/04/2019" 113.036260114015 119.770604328007 128.418402262407 133.817947966579 95.6730323775204 123.776288650832 129.972052720746 135.762906898522 119.550644568563 134.977207913965 131.62347036584 118.092010986926 117.225486666194 131.681273454712 132.62909503908 111.367087686713 120.673380756689 89.4331694559678 131.085246887724 117.144080228476 95.8361413819041 123.031141963723 120.788508539875 162.478774946258 111.337216509624 86.2634695478692 132.026281327613 93.4330592396405 113.408449501664 87.0661517661816 128.944314699114 115.706038229304
"11/04/2019" 113.055928562922 119.796746857077 128.456298016072 133.860092508328 95.7191553900403 123.807427580218 130.013065644861 135.805239571615 119.594107153963 135.022289691622 131.669598639251 118.135344327883 117.265634832825 131.72174417667 132.67387042285 111.405063640799 120.699898677969 89.4791788938025 131.131355045397 117.166616594126 95.8699768020286 123.072992444441 120.831902401553 162.529382827351 111.377010385892 86.2919788872623 132.072326669241 93.4662455160711 113.434381440263 87.0981328159729 128.982765572602 115.747039723876
"12/04/2019" 113.075588332768 119.82243455715 128.49192892779 133.899996559142 95.7535451757139 123.843545955152 130.051778192372 135.847259233146 119.634483852696 135.067197982463 131.716461575384 118.177454794348 117.306873628403 131.762142026513 132.71929210449 111.458071947832 120.728330976019 89.5113849613779 131.17691744525 117.189128927354 95.9043075023627 123.116053957635 120.873854451899 162.5807937924 111.415541591132 86.3242900934211 132.11674695506 93.4997778911353 113.456517740553 87.1431312847179 129.019126534661 115.788746671708
