"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/08/2019" 114.00062994412 126.451027230182 145.191972712061 158.481907926612 130.588627896321 135.791547862114 150.80027998969 161.513801479117 160.569005323806 166.335809150229 169.791949412588 158.648956415429 158.558058196601 153.626323728978 165.786356114505 146.514940697709 128.72001774053 123.961432652533 165.837251185129 121.029302611298 130.042977075342 162.415403431265 160.556243378475 187.966634466818 152.850532140642 122.584931594253 166.061349836497 130.725237933298 119.349731419015 122.391796093018 150.194886628546 157.92704692794
"02/08/2019" 114.019034740427 126.47665638476 145.23199934244 158.530001287459 130.62079672849 135.823633302163 150.84397909263 161.565718689328 160.624384385798 166.387819471614 169.850242688607 158.705243118209 158.610818747657 153.671381784542 165.840090304503 146.564641661663 128.750404987596 124.003509458612 165.894263312342 121.050931388019 130.071957100344 162.469038004057 160.612493671447 188.024313124951 152.903231448072 122.627365011868 166.116752878046 130.770992299528 119.373217570739 122.448319561641 150.235058333601 157.982339381064
"05/08/2019" 113.984718191533 126.638791770425 146.049891189709 160.027476795805 131.5730768981 136.289619426374 152.064152713438 163.092799303614 159.233831916891 168.08216228831 170.09522375968 157.268079212336 156.725098025333 154.942549369981 167.326800490273 147.549580324141 128.9919521747 125.0912890326 167.032447728296 121.081647534925 131.198931754568 161.974333758838 159.534594889356 189.835419435908 150.143184647442 123.234423077152 167.441864474974 130.966545983652 119.493879461622 123.34246842967 151.370901662897 155.41826925269
"06/08/2019" 113.999808422376 126.663709028238 146.086918501025 160.07227141125 131.619477577012 136.320576201495 152.106433434535 163.140793835355 159.292524433988 168.135233939839 170.155075520648 157.32653679703 156.781735272838 154.986079077163 167.383536240617 147.600146609626 129.019934668963 125.135766993659 167.074356760185 121.102832611127 131.258761478019 162.032109341428 154.794993430599 189.891646492993 150.195141538015 123.278527365304 162.425853412293 131.022006405276 119.516879500783 123.400785387697 151.410714869068 155.474613038073
"07/08/2019" 114.01765932527 126.688650340663 146.123716373779 160.120931462118 131.665112708811 136.352432077807 152.149070273365 163.18909609305 159.347711304225 168.190523468192 170.205624376927 157.382072843076 156.8369038431 155.029274803722 167.438154433916 147.651180044567 129.043477174031 125.19388966006 167.130565065609 121.124014151642 131.288880760867 162.088352546731 159.647730063529 189.947884827271 150.247880236502 123.323618268288 167.553713107409 131.065431661054 119.539785250423 123.427502745303 151.453544047888 155.530233485824
"08/08/2019" 114.035545491083 126.715883842303 146.160650519577 160.167291207325 131.710182803715 136.383697045792 152.192115531082 163.236704507107 159.404377118416 168.243324251023 170.272644378695 157.436873725481 156.893142794581 155.072672934113 167.493336560115 147.699473602609 129.07072682808 125.224830083374 167.201815405181 121.145127270479 131.337257203379 162.149681074127 159.705384734673 190.004844344279 150.302606030731 123.366079784698 167.610043399887 131.117107253886 119.564168075677 123.47145507247 151.49492128428 155.585488539929
"09/08/2019" 114.053425304551 126.738789132741 146.197684537761 160.213481243935 131.755926002451 136.417051902959 152.234562172841 163.284394179588 159.459571249978 168.296608453975 170.332547889625 157.493075241722 156.949649866813 155.116100509804 167.549353715049 147.752139649326 129.096951768355 125.265022654671 167.245550568737 121.166286516882 131.379069781012 162.207194906544 159.76246087388 190.061301310213 150.356615212731 123.409755143331 167.682194373874 131.153190420003 119.587075421596 123.513497896261 151.536900433711 155.641897217383
"12/08/2019" 114.107039501843 126.813514983102 146.309039889232 160.356322758345 131.893587309804 136.508869154383 152.36212027035 163.428016093664 159.628688890605 168.458064331272 170.507166090716 157.663403280617 157.114501222902 155.246923070784 167.716275500157 147.903948373611 129.177456020563 125.395423601562 167.416919677413 121.229662038988 131.513628398339 162.375147730796 159.933011827636 190.229560610218 150.522355672965 123.539612436886 167.839895742862 131.292265920319 119.654421520964 123.642294134554 151.658948364329 155.806453723975
"13/08/2019" 114.125031345242 126.840438983459 146.346231911192 160.403306789976 131.937872248704 131.642948317867 152.405253675153 163.475614539987 159.686748181473 168.513551974608 170.567495581959 157.717683016044 157.171323678009 155.290576581976 167.772354178599 147.970549665134 129.204155185201 125.437319534008 167.473974016766 121.250746207843 131.562875388086 162.433034479821 159.989504380612 183.739473206315 150.575449980425 123.583961687666 167.893480148013 131.340808530574 119.6773590946 123.68666519254 151.70212233875 155.86315675657
"14/08/2019" 114.143052276841 126.863328733046 146.383420547056 160.449748341731 131.985284793565 136.571263893517 152.444853369575 163.523403489383 159.743781406185 168.566651107634 170.626892702425 157.776009834358 157.227418689717 155.334385242269 167.826566103702 148.021410753899 129.230402193617 125.47896786957 167.529333109956 121.271845248092 131.607023650681 162.49014917109 160.046203646599 190.343082287847 150.629194124452 123.627746173313 167.948892487069 131.38694410727 119.70020927147 123.729833491281 151.741927028903 155.919202964996
