"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"02/12/2019" 110.807066398143 124.253201294938 145.114568839298 160.165660830889 133.125307096056 139.955623186908 157.104734239155 163.307430888862 160.950154970271 169.05536523156 171.744556460724 158.975409480562 158.428225754699 154.736325085172 168.56253913459 149.048624547254 132.111199283129 126.672299075299 173.829006835415 118.276300371761 132.728495736342 163.673254649659 161.251403985794 196.531485806348 156.660335702692 124.848601799113 168.780084598694 132.569856563692 122.158100237537 124.961897486795 151.11742881302 157.100168276168
"03/12/2019" 110.823096719526 124.276257409148 145.149872318502 160.211599152286 133.17239204509 139.986067086062 157.147062856227 158.270184000197 161.00808625594 169.109157855735 171.801358892151 159.032890422706 158.485996963542 154.778354318558 168.617027429239 149.100115554379 132.134818549872 123.392449567995 173.886153390548 118.295330943125 132.774931433237 163.732037591382 161.306597130829 196.58770154621 156.715159706849 124.891300968411 168.832461757082 132.617318650582 122.179877699102 125.005271630802 151.158812942071 157.153508007961
"04/12/2019" 110.838970064816 124.299563590374 145.185576933517 160.257255200295 133.217990560644 140.019061573854 157.188727686336 163.400603725278 161.063934848502 169.162336800133 171.845685646407 159.089706978879 158.542747739966 154.82070101534 168.672991970326 149.150490762361 132.161357481167 126.757937203916 173.942604251052 118.314376172978 132.820366817989 163.789790017178 161.365923137058 196.644181767422 156.770218249586 124.934001611813 168.89131619334 132.664575153766 122.20165516633 125.047882785798 151.198172598 157.207629426303
"05/12/2019" 110.854933599231 124.322096826722 145.220676989855 160.303158034991 133.263051284495 140.049769385876 157.230638043699 163.448046203951 161.120812753255 169.214323448982 171.905008269757 159.14550331695 158.599918061985 154.861951366295 168.726657019111 149.199918584119 132.1859719147 126.800535145099 173.998908909994 118.333417503598 132.865151662669 163.847971917275 161.424146645161 196.700119215425 156.824340579058 124.978162296558 168.947556601519 132.710271038184 122.223413055109 125.090674311772 151.238192611466 157.26376738859
"06/12/2019" 110.870862544844 124.3456594989 145.256289842293 160.349106811238 133.308564825863 140.076516318965 157.272834804781 163.495637410147 161.177773882044 169.269076876146 171.963563733406 159.201258684922 158.655511776063 154.90464240645 168.782776092966 149.252579957692 132.211564843634 126.843938406346 174.05984305527 118.35246888932 132.911302041676 163.904539056799 161.479314486045 196.755676888061 156.880503259457 125.021602631657 169.003595941138 132.757725233985 122.245168409115 125.133965006143 151.27879822812 157.319178385383
"09/12/2019" 110.918646485415 124.414061761174 145.362824461024 160.486921617567 133.446370249456 140.167172013372 157.398692545521 163.634159843461 161.347346615409 169.428378579407 172.143280360707 159.370028049479 158.824757800601 155.031047571373 168.948753835251 149.402344523575 132.288180871501 126.973074186316 174.231548584621 118.409613416475 133.045588506447 164.076680464329 161.64873233994 196.925399742359 157.047601364931 125.16815735319 169.169118633901 132.897183399052 122.310391968232 125.248504533304 151.398889283399 157.489159356491
"10/12/2019" 110.934587323443 124.437630269189 145.398258109363 160.532401550178 133.493360762865 140.197606255065 157.440644804537 163.682204549665 156.707432945222 169.481050971843 172.200789714834 159.428715650699 158.878532518463 155.071701298307 169.004749624344 149.454413133611 132.314486560355 127.016791891505 174.290147757761 118.428657347065 133.091664208581 164.131431290513 161.706640391203 196.980183344421 157.103346242287 125.197054942952 169.240027815613 132.944594387519 122.332093707885 121.993601485774 151.438949130108 157.543643569283
"11/12/2019" 110.950335467916 124.460577990636 145.433080846163 160.578265848095 133.537198996504 140.226078795692 157.482226571468 163.728558227625 161.459913021323 169.534557222454 172.259373596725 159.483897542739 158.933092879692 155.115355774295 169.059809680897 149.505278129183 132.339104402756 127.059507490756 174.347688560309 118.447694111368 133.135138533943 164.186930184015 161.763039879386 197.03650235935 157.157420316609 125.240236751085 169.281219696574 132.991885888017 122.353771890813 125.333982873374 151.478349879346 157.598789109915
"12/12/2019" 110.966262084128 124.483134046428 145.468755940338 160.624310913712 133.583926690586 140.257863520057 157.523997161508 163.775358062811 161.517260449512 169.587608935057 172.331165188227 159.540558316524 158.989680384099 155.15757050201 169.113703611682 149.560383339747 132.364594893911 127.102198970379 174.404435140435 118.466738869946 133.18078358959 164.244512910466 161.820537787896 197.093130209429 157.211298366744 125.298108916086 169.340498843139 133.037669217102 122.375451730866 125.37670339507 151.519235017191 157.655196748226
"13/12/2019" 110.982132885884 124.506529167543 145.504638239515 160.670342311629 133.629193941657 140.287905614271 157.565869293952 163.822811506724 161.57404157538 169.640615796151 172.390719325757 159.595747345274 159.045536763955 155.200392083186 169.168652216974 149.606128142402 132.390191224715 127.145440362953 174.462118445447 118.48577250726 133.223898613528 164.301333646259 161.878310393497 197.148956964094 157.268624471788 125.328328658078 169.393377306975 133.084675263247 122.397144186095 125.42013043155 151.559287866833 157.711497803564
