"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/01/2019" 110.897901884517 120.001268277467 125.523065269638 124.531393534739 88.3262953981894 123.350419039597 123.448002265335 126.053660302768 116.141549681144 123.424454215075 125.223896840649 114.788670040961 114.317559207165 124.58862559319 122.099366110185 103.481418468407 121.011600538071 81.552880612522 122.097351590671 116.370935131169 87.6873424546551 118.456921469245 117.03478436273 150.938175635504 109.519071126859 80.5612697902469 122.213437316038 88.7684861809268 113.577964784616 80.1009170149579 122.999257993767 113.48458703544
"02/01/2019" 107.799574752466 120.025700435416 125.565320720963 124.578989296838 88.3558188897986 123.384887117117 123.503400439355 126.101286197479 116.180774728639 123.466133139035 125.265910247729 114.828835059973 110.960824555016 124.63583569149 122.140706809909 103.514933961709 121.036441475288 81.5793620729386 122.137996933914 116.384751515843 85.3884866481705 114.975612234151 117.073301034445 150.99404357773 109.556697291035 80.5811270376447 122.251864391308 88.797015787298 113.600667885469 80.1271336930406 123.044387879943 113.52305550102
"03/01/2019" 110.913186968687 120.046081751245 125.605859371314 124.625806398045 88.3830201895165 123.423356604222 123.552518979114 126.149327080941 116.218523703638 123.494224308854 125.305539549496 114.86497620867 114.39434968863 124.68278835745 122.193822689829 103.549554559014 121.064582732261 81.6075469701865 122.176771796958 116.400142936675 87.7447622483271 118.534528399058 117.112550397578 151.061354065692 109.593429700093 80.6129991528615 122.291452537006 88.8397154106263 113.616198740456 80.1523216847861 123.090195100333 113.560415410177
"04/01/2019" 110.920785572721 120.069191496467 125.650768062711 124.67383756077 88.4133869916569 123.456920847455 123.589398877943 126.194951193641 116.256222361039 123.550090107537 125.34499736963 114.905356472024 114.432113349087 124.72931338524 122.21926777366 103.581853869166 121.094076118139 81.6458228401139 122.216688228053 116.412691068736 87.7726186550196 118.572548002657 117.150398004856 151.102510026902 109.630795691403 80.6252281290446 122.330622867328 88.8548563982437 113.636832982859 80.1778148716686 123.135974479206 113.597628015895
"07/01/2019" 110.943298306229 120.135102444815 125.777160502738 124.815233092615 88.4974042937957 123.564960203322 123.727876425442 126.336912264193 116.372866383408 123.663489125219 125.463772839714 115.019795639153 114.546191304633 124.871265096599 122.3413741597 103.682398376766 121.168778291564 81.712408341574 122.337141533266 116.454317119968 87.8584922320522 118.687833952087 117.269068207787 151.267555140466 109.742824142523 80.7023248250667 122.44983888885 88.9410662720374 113.69466891595 80.257027788529 123.272897355678 113.710713415204
"08/01/2019" 110.950733945307 120.156797368741 125.819312414278 124.862420751752 88.5259779281323 123.597451991558 123.786704560741 126.384265998493 116.411468433959 123.704074031467 125.503614377444 115.059987457358 114.585163129005 124.918151359085 122.380622424298 103.713678588685 121.194856952137 81.7393377440703 122.377256948347 116.469978325861 87.8874097877409 118.727212792857 117.308181914879 151.323640951041 109.779655484877 80.728052462027 122.489735491341 88.9683113532009 113.714016900243 80.2830305265389 123.317839507729 113.748275891982
"09/01/2019" 110.958131967373 120.180886554337 125.861764493609 124.910060876074 88.5539836062316 123.628736648705 123.833662748278 126.432054049554 116.449822619511 123.748873931881 125.543163576726 115.097911169287 114.624170746407 124.965461423824 122.420568740215 103.748076725797 121.220720741698 81.7661508300214 122.412727656061 116.481610234859 87.9297532075761 118.766628458891 117.349884097491 151.377736124943 109.818053797892 80.7533288393643 122.530572696464 88.997931186608 113.73678192844 80.3092765139088 123.363605475245 113.785598827969
"10/01/2019" 110.965492352397 120.202112647215 125.903608219333 124.957441676706 88.5827756715819 123.663648529257 123.880827780645 126.478717863734 116.490863924648 123.790002956051 125.582718839661 115.137228469845 114.662061962919 125.012116807232 122.461468886334 103.779973932748 121.246728826279 81.7923005655365 122.453394219089 116.496700756015 87.9447685850393 118.804918041325 117.388228267399 151.431892524027 109.854133128517 80.7783897198764 122.570460897201 89.0251857431344 113.752258512244 80.3330402842021 123.409481953823 113.822919032108
"11/01/2019" 110.972815080765 120.223335358525 125.946510546122 125.004984263964 88.6116332311988 123.698252703402 123.927365758681 126.525400369507 116.527508660199 123.831513221567 125.62389246495 115.176040730689 114.699805160416 125.059904466847 122.501919680841 103.814524531973 121.272073799362 81.8188396993268 122.492886232163 116.508980911073 87.9748846258538 118.843046752479 117.427218732892 151.485733584306 109.891600900049 80.8046973679565 122.609073533088 89.0548439740814 113.772178813577 80.3575535839051 123.454667461178 113.861653045585
"14/01/2019" 110.971299054367 120.565174589912 126.49363736055 125.49504818608 88.7868141057816 124.199378417864 124.461191412361 127.002848756927 116.763182231275 124.194238619806 125.867701616378 115.41470165099 114.94715446903 125.581966450998 122.814360390513 104.032265603965 121.679088256942 81.9881937728141 122.772853682781 116.673413741604 88.1642599731592 119.070109970316 117.668405538923 152.046789530298 110.15259707401 80.9508325695582 122.903881834875 89.2021035450341 114.069042871285 80.505553446083 123.976944726026 114.118130580064
"15/01/2019" 110.977387969749 120.585614419113 126.536367179314 125.541775700448 88.8155624353626 124.2336396927 124.508144544249 127.050338783837 116.800730149916 124.236106329631 125.908024247328 115.453758407778 114.984418474852 125.629024524461 122.867030859082 104.063080495984 121.704162099745 82.0133879691901 122.81112054875 116.687170242836 88.1909323037557 119.107726544648 117.70631126385 152.101552728836 110.189484661772 80.9647887765558 122.942622722983 89.2303048163083 114.087373332341 80.5339390809389 124.022908182925 114.156103650949
"16/01/2019" 110.983437465279 120.608427828415 126.578459609741 121.782821019671 86.4569937856949 124.273806266155 124.554634283817 127.098089554793 116.839845905856 124.278223510351 125.947651551725 112.073333856916 115.022109088217 125.676228295273 122.90730864991 104.097000407332 121.729611567806 82.0408952829833 122.85035295112 116.698412194038 88.2190633993507 119.145416647419 117.746202937302 152.156183279413 110.228357432783 80.9909039393429 122.982433076012 89.2593336863925 114.105835318847 80.5572283065401 124.068185879325 114.193482660401
"17/01/2019" 110.989447494398 120.629454502247 126.620684502654 125.637278560143 88.8726406351786 124.302879438668 124.601351189645 127.145202864513 116.878490060828 124.319313209445 125.986100770375 115.530694882386 115.060983298404 125.72339301209 122.947052349705 104.143517127189 121.755904841541 82.0672076093912 122.889445459416 116.712253932737 88.2483675412513 119.184686489628 117.786168188314 152.210047514967 110.264225353914 81.0146826984412 123.022940953297 89.2880831299802 114.123850191706 80.5957002469132 124.113403151331 114.23081346756
"18/01/2019" 110.995464193526 120.653722244587 126.662531257562 125.684406444164 88.901109900002 124.336540098137 124.648220124209 127.19274871476 116.916799222241 124.357946191629 126.025723060108 115.569508016025 115.097910676499 125.771259350468 122.973203817315 104.177936248562 121.778411856374 82.0934010205118 122.92908200417 116.724556647619 88.2766604858104 119.222341520503 117.824806559452 152.279860711681 110.302042595621 81.0398084897135 123.061965849769 89.3174809328198 114.142253555424 80.6084979481124 124.158772216625 114.268174290138
"21/01/2019" 111.013142374674 120.712848283847 126.789203063919 125.826612057702 88.9868331757993 124.435020047421 124.788944217543 127.334472498594 117.032922539125 124.485570888496 126.144805079672 115.685181889658 115.213269684338 125.913691342974 123.107502353091 104.276651888871 121.856029943219 82.1735257310047 123.047753088214 116.760483461682 88.3628260228025 119.338880126597 117.943317931079 152.433947599636 110.413571932057 81.1180388189655 123.182244230621 89.4022551896439 114.200134240623 80.6853689590965 124.295308133186 114.380530483854
"22/01/2019" 111.133788315315 119.588094327539 123.99304815491 121.992323103444 87.5878285106936 122.373448749843 121.265178779363 123.493449311399 115.915885264881 121.133072907962 125.003973177821 114.545994674615 113.904740781783 122.340223446974 120.409135119444 102.683220199792 120.427135302977 80.557097484967 121.057333479221 116.320413226095 86.6346776373418 118.444751937138 116.897877924639 147.934573736273 108.90078478315 80.3105225931304 120.845046736299 88.8296279028693 113.252809252173 79.4397898629391 120.962176264564 112.907361678177
"23/01/2019" 111.143518018679 119.611377594564 120.354696233148 122.041021375271 87.6152382320682 122.408915699976 121.314062961604 123.542406120728 115.955572317504 121.160938538596 125.051708357174 114.584566783284 113.943848894603 118.643689157805 120.44725286881 99.7075340886432 120.455221377587 80.5826504092822 121.095968776457 116.335731388703 86.6614708188224 118.483981023436 116.939444912419 147.990294698416 108.937840463887 80.3345458532299 120.884305947874 86.4064327989581 113.274707728338 79.465082992307 121.00947890783 112.945208180278
"24/01/2019" 111.153205320663 119.636467632569 124.081279162196 122.089321841119 87.643356140832 122.451195205021 121.362616302815 123.589540816168 115.996012577742 121.202314103491 125.091085487421 114.625284418018 113.981982404739 122.448900460606 120.486816029074 102.746151474718 120.48468085004 80.6074606125508 121.133862022541 116.351791062403 86.688486161268 118.522224544376 116.978503460929 148.046510186043 108.975303741793 80.3588256214017 120.922094647786 88.8881262711138 113.29714692279 79.4887469018622 121.05659653221 112.983463032591
"25/01/2019" 111.16285111947 119.660544576557 124.125401671928 122.138031013508 87.6688096579824 122.487105322304 121.410779274283 123.636955112233 116.036880549631 121.243699272935 125.131469191295 114.663738403904 114.020677971647 122.486172010646 120.525201959271 102.790892349577 120.510842736755 80.6327363652271 121.172646812733 116.36740760243 86.7160020592371 118.560913311337 117.020281645768 148.101880728846 109.01264320726 80.3835915600353 120.960654011007 88.9130475067526 113.31707596664 79.5142177141683 121.104123476016 113.021964118301
"28/01/2019" 111.191579032502 119.732473386703 124.249019650754 122.283241516921 87.7505109869351 122.589678508281 121.555685197241 123.781815097639 116.153555570089 121.36654999818 125.239134338431 114.783349531184 114.137790777576 122.631633145498 120.641346381223 102.872695781482 120.594561970922 80.7077011026199 121.288525236315 116.414786103434 86.7971271217723 118.678219370822 117.140136029871 148.26899647808 109.124785084093 80.4556524226291 121.075501743308 89.0093221704771 113.38045779587 79.5869818547244 121.245112230353 113.134785077664
"29/01/2019" 111.20107983685 119.756190667559 124.293854971252 122.331208954157 87.7773492883993 122.625015835825 121.606276665538 123.829439023346 116.192498035051 121.407954819149 125.289962279958 114.822751720984 114.177764445906 122.679131122228 120.680466567251 102.905195519971 120.624829269369 80.7319143182865 121.326219595287 116.430597051836 86.8247605340028 118.7183320319 117.179814879575 148.323073700848 109.162795224232 80.4805726233564 121.113069583887 89.0384414576773 113.401644992719 79.6112412663674 121.294224284443 113.174712853311
"30/01/2019" 111.210549242374 119.780140405986 124.338517924326 122.379931334202 87.8044923293196 122.666435102272 121.653604647151 123.877998795646 116.232275745933 121.46130985144 125.327900108529 114.861336902673 114.216403436328 122.729599622705 116.924630669651 102.937103250742 120.652028531852 80.7697521095277 121.366215892914 116.446226152961 86.8515373926012 118.756968116999 117.219344155465 148.381327528728 109.200330120639 80.5046327204484 121.150680794775 89.0658521211965 113.422016093107 79.6369537863378 121.341076877899 113.211363205352
"31/01/2019" 111.219984518446 116.120437758504 124.381830518389 122.428646554062 87.831098888695 122.697120997068 121.703441509468 123.925933773342 116.271013824254 121.502977531329 125.3674263703 114.901526734636 114.255454529506 122.77794449008 120.75739490324 102.969345356447 120.680895153589 80.7823244756413 121.416650614346 116.462935726829 86.8783647952995 118.795873436514 117.261834556538 148.436206042712 109.237278354092 80.5291519976765 121.189602735895 89.0945316431084 113.442910893283 79.657403680984 121.386930456468 113.249457977655
