"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/07/2019" 113.919115824672 122.236809085455 131.75377373516 136.388174820083 96.6962258575645 126.986894064308 132.983730238991 138.254101911524 122.627627629573 136.643858794164 133.789754541815 121.212843631167 120.714780499719 134.616524629913 134.208093361439 112.703202653121 123.437891565113 90.2483151791522 132.78345570021 118.796316970779 96.7807252116717 125.50775207015 123.689850922402 165.366279057535 115.708678848947 87.272474120787 133.644577096726 94.8837433720527 115.624895709058 87.9196859972705 131.95415340483 119.862695460425
"02/07/2019" 113.933586045949 122.259326758022 131.789756442436 136.432486053633 96.7307703148378 127.019024270822 133.024359408313 138.299138903438 122.668667676338 136.68975799753 133.833866534694 121.253501523567 117.359338888717 134.658303387821 134.267558140918 112.742320217043 123.46427015508 90.2808016143969 132.828789761838 118.814541291052 94.4879842634457 122.029268154448 123.729370767464 165.419221266908 115.747148159046 87.3027965340308 133.687237643335 94.9168973473492 115.645797475151 87.9482245072215 131.992869394498 119.90167844695
"03/07/2019" 113.948037268005 122.282570586454 131.8255575806 136.478850978188 96.7637608336486 127.047035762913 133.064590178315 138.343013805325 122.708752115941 136.734790116096 133.879032588454 121.29303892388 120.794472804885 134.699539494295 134.298686259117 112.78074930461 123.488539484107 90.3266819561509 132.872560821709 118.83270060357 96.8487883482818 125.591356341194 123.771235116315 165.470842709743 115.785590576383 87.3470493013521 133.732238006567 94.949438100024 115.666535739468 87.9825620437491 132.031209194251 119.941542315723
"04/07/2019" 113.962472818646 122.305426081535 131.861340202701 136.519781971855 96.811483421811 127.082287968368 133.105410313417 138.387340526855 122.749099713667 136.780488059047 133.918443111298 121.33318330843 120.836048852596 134.740565369214 134.346660846998 112.819223186887 123.513161243536 90.344311137341 132.918286606523 118.85082807954 96.8825122968494 125.634960037561 123.814019647515 165.527658642486 115.82602920018 87.3655102364569 133.77892738408 94.9699174564155 115.687340235412 88.0238984779584 132.071571671027 119.982094971459
"05/07/2019" 113.976895680715 122.328235715974 131.897097128774 136.563872291781 96.8312727126478 127.112642113714 133.146050724739 138.431076395256 122.78938216229 136.8368593392 133.967719006858 121.373024220587 120.87634554378 134.781605212275 134.402741513201 112.858176251606 123.541073268871 90.3784212892248 132.962578926536 118.868870374984 96.9317254416738 125.677230191898 123.854702081164 165.580177043574 115.863496833714 87.3947021222346 133.823098120419 95.0026955406779 115.708481081251 88.0546385250584 132.108446695977 120.019877668558
"08/07/2019" 114.020219275513 122.396365561309 132.004872536593 136.700565417407 96.9345216800464 127.200474427845 133.268712129058 138.564238756775 122.912160980458 136.964185383418 134.101858513266 121.495653865665 120.993957377463 134.906465782616 134.540166585616 112.974856023244 123.616474354962 90.4726148358258 133.097708717839 118.923256198663 97.0199560611551 125.801136372346 123.980478037378 165.750805818758 115.979474628076 87.4876724844621 133.96397327013 95.1139280001687 115.770734329905 88.1499048446764 132.229856748722 120.13752009874
"09/07/2019" 114.03461924832 122.418918249455 132.042164441982 136.738769560323 96.9674969667142 127.230740477163 133.309455480001 138.608213854277 122.951899318432 137.010424790876 134.14696552462 121.534340143667 121.033462984448 134.948271419335 134.586358798612 113.014224327161 123.638621401035 90.5045806143463 133.140097627655 118.941286715383 97.0679560351643 125.842560003768 124.019491756649 165.787985917876 116.017908931646 87.5198299145044 134.007086829421 95.1351150639194 115.792581278777 88.1805385194018 132.269429910569 120.177352752631
"10/07/2019" 114.782889463799 122.090712470141 131.640834995903 137.654798512032 98.8125197504121 126.586360901707 133.548241006137 139.651995211095 123.377796153631 139.09576089699 135.814818600561 121.899160119732 120.996485477742 135.320127647967 136.792902291288 114.968605456716 123.137205086944 92.3818413800909 135.24626927555 119.152321955757 98.9850802633031 126.974781108214 124.690877334229 167.131699627002 114.963088198426 89.1329335312064 136.185924249631 96.5191894113055 115.552248984963 89.9566880618449 132.421885105708 119.424616774584
"11/07/2019" 114.801608968693 122.118065401125 131.676012903922 137.697509323137 98.8495880129667 126.619046362054 133.589053864132 139.694432734723 123.421837477228 139.140943323909 135.852210603475 121.943071497589 121.037202289216 135.35971175273 136.838013089437 114.993020178246 123.164142836596 92.4141469419308 135.29292082442 119.173865391109 99.0191452836779 127.017301905332 124.734868241556 167.183065797058 115.003473187024 89.1652638481348 136.232739971668 96.5528431053718 115.57546405787 89.9890205792083 132.460234204948 119.466165609478
"12/07/2019" 114.820305915958 122.140828132997 131.708933260287 137.739909352928 98.881966361134 126.647327469739 133.628137244978 139.737235892746 123.46279268946 139.186333393869 135.908832190722 121.985759852734 121.078997513489 135.400070027672 136.884086066949 115.032610353394 123.190820773815 92.4463097492824 135.338998293367 119.195431708327 99.0540008988482 127.06102351729 124.777414080642 167.234073078435 115.042568678518 89.1975700669447 136.277401752459 96.586998532554 115.599272470957 90.0200401631849 132.49822503409 119.508419640244
