"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"03/06/2019" 114.012259055116 121.283900886035 131.053729816479 137.366487897189 98.0502160737813 125.867141739721 133.161204741948 139.362600210399 120.175984614173 138.716193579283 133.874628496237 118.668402314363 117.421566973586 134.943965233409 136.115003650359 114.007339259098 122.346247981246 91.8444378411345 134.187636628921 118.34263974311 98.3844947661525 124.4797117186 121.716198882879 166.774646503867 110.828892956854 88.1266485665066 135.342527074858 95.0175805421652 114.776077675426 89.2489362546007 132.0009541629 115.37975974997
"04/06/2019" 114.031541343976 121.306877439317 131.088416503898 137.407971595742 98.0864654687554 125.897396757921 133.198730369328 135.59802343318 120.220177576411 138.762603676819 133.920017643546 118.712228912075 117.465171150924 134.983502190386 136.176267852222 114.048385427806 122.372367885244 89.8323712836287 134.23430559519 118.364080407659 98.435338997598 124.52553397115 121.758928012388 166.831743645604 110.868950953947 88.1584643177459 135.387792792163 95.0532778848367 114.798922048883 89.2856980586458 132.038755828761 115.419546440354
"05/06/2019" 114.050885788791 121.330449415266 131.122902063016 137.450628044991 98.1223042406251 125.927377422469 133.237040574325 139.447789653732 120.262855348353 138.808109397267 133.965995663256 118.755572897976 117.508034842513 135.022816637849 136.207820725286 114.103363893802 122.397856173753 91.9108360108662 134.280297156835 118.38551547213 98.4565815766368 124.570600991897 121.804690675845 166.882813763222 110.909153160286 88.1905716434076 135.436292598253 95.0886965723355 114.824014216483 89.3144593129433 132.073456232724 115.459900666504
"06/06/2019" 114.070158647414 121.354915124278 131.155226484021 137.490561083884 98.1574112638924 125.957171258504 133.275064353136 139.490628912417 120.306283616059 138.852778082938 134.013607231336 118.798175209984 117.551204324861 135.061351191209 136.257608761508 114.129049686626 122.424787265693 91.9438646291667 134.326270134225 118.406934458895 98.5064395075691 124.615983985452 121.849645609401 166.917773017115 110.948693058535 88.2240399148779 135.483512311962 95.1235115487219 114.844853931228 89.3473030567059 132.112998572066 115.501717849972
"07/06/2019" 114.088153148825 121.379631723626 131.191701161602 137.532453922605 98.193049141564 125.985060182587 133.314073825273 139.533297492584 120.349773583431 138.899583209288 134.06061946791 118.840748787155 117.593229209721 135.100960110181 136.300854060353 114.183849397565 122.450344030776 91.9774664049521 134.374788365688 118.428345038732 98.5417804220994 124.660183056001 121.892359743256 166.983527090015 110.989707167855 88.2563873591692 135.529021929552 95.1715753489661 114.869648570822 89.3802348949757 132.161194063117 115.543008614697
"10/06/2019" 114.143781294821 121.45456639988 131.294864307612 137.658132313216 98.2854170541372 126.071739449496 133.428953243619 139.659450484429 120.479295925317 139.036207312113 134.204697703168 118.969570525916 117.721100548172 135.21829787632 136.439723387817 114.291416835943 122.529542562324 92.0926559039654 134.515147054309 118.492521792015 98.6332455966844 124.794575593314 122.023381298102 167.136697721183 111.111773001709 88.3557107033806 135.668366474872 95.2637988124496 114.938075171695 89.4786645191451 132.261133190012 115.669602967381
"11/06/2019" 114.163501141795 121.478746594508 131.329324119686 137.700042308792 98.3222133960955 126.101804539108 133.467381250318 139.702312347335 117.103245507496 139.081784778524 134.250937081576 119.01428328324 117.761807580454 135.257592818597 136.490440792919 114.332743194007 122.555838188232 92.1115013672433 134.577981184916 118.513851604446 98.6684948869806 124.83744538471 122.068110733465 167.170928766524 111.152496225962 88.3881264642211 135.7152544687 95.2996731283379 114.958911328352 87.5060898387742 132.299836924297 115.710224581959
"12/06/2019" 114.181870162933 121.50304699495 131.36341144582 137.740651295895 98.3568787843443 126.132658881663 133.505568797351 139.744462188822 120.565298725801 139.127594179536 134.297745538905 119.056444815522 117.803086409456 135.296643982567 136.53601425251 114.373932090219 122.584241255443 92.1448560637176 134.610634959433 118.535210408812 98.7067776459933 124.880864893966 122.111734505534 167.237387312542 111.1920139194 88.4205966038514 135.761931309553 95.33507746553 114.982620538752 89.5586369647295 132.337170218367 115.751326460308
"13/06/2019" 114.200763466449 121.52787285222 131.397819809374 137.782072279389 98.4076745024035 126.160736053421 133.543910447365 139.785605087941 120.609076598637 139.173204185596 134.345570462116 119.099684138754 117.845839099108 135.335849876168 136.580933036667 114.413575152205 122.608076418317 92.1782860120994 134.658445008831 118.556568787608 98.7396009835103 124.925814200208 122.15616539891 167.288573256208 111.23139087082 88.4534471004485 135.808324862733 95.3824875298059 115.004437034254 89.5915605879371 132.374785315185 115.79334423363
"14/06/2019" 114.219111201404 121.552540867307 131.432196812743 137.823920445551 98.4427094726359 126.195413879922 133.582273537229 139.82897931391 120.652443288638 139.219040968003 134.393321215872 119.141853058892 117.888061515179 135.375126108698 136.626592786582 114.453968145961 122.634051045655 92.211286907976 134.70372092288 118.577913176815 98.7741595325765 124.970205287016 122.200799035577 167.323483336415 111.27325853054 88.486510698774 135.855045024576 95.4051484278834 115.027204352544 89.6249911995085 132.412243492111 115.835285443079
"17/06/2019" 114.274995515864 121.62896659479 131.535524745958 137.949093936825 98.5494525676559 126.283266260332 133.697764591952 139.955125616311 120.782067106954 139.35630541898 134.533726174423 119.270939952953 118.017471315899 135.492797083504 136.765238354968 114.57559311432 122.713557740131 92.3267080695589 134.8459756431 118.641882779626 98.8962680124598 125.106218884554 122.331186471247 167.475805766373 111.394286761149 88.5846347094753 135.994899361897 95.5232702548148 115.095391567157 89.7114737368732 132.521514361707 115.958651219361
"18/06/2019" 114.293415263453 121.650752377961 131.569551549462 137.990819543778 98.5719426170859 126.313231589522 133.736298104316 139.997290239931 120.825008859396 135.607512523863 134.582199124397 119.315199050546 118.059019817704 135.530062309366 136.812557156057 114.617648657372 122.741911969335 92.360289952204 134.89090306809 116.672366491092 98.9195919115455 125.149883702903 122.376060724917 167.525013236412 111.436437289855 88.6215093807126 136.042431205706 95.5596045548411 115.118882774471 89.7421992592697 129.042104199303 116.001248567896
"19/06/2019" 114.311848328722 121.675713615275 131.604032538267 138.032809786501 98.6075293608927 126.343248224144 133.774948451937 140.039287813425 120.86812577373 139.447345420605 134.628965400961 119.358712176817 118.101052195611 135.570145356189 136.859319095764 114.671190061783 122.764486467293 92.3931750103317 134.93984674416 118.68449216865 98.9564620648229 125.194096947697 122.420387719846 167.577719464039 111.476523964309 88.6504561735123 136.08896363465 95.5942280969032 115.140676848112 89.7886053057077 132.596649090014 116.04235286489
"20/06/2019" 114.330280298343 121.700301676091 131.638321773777 138.074314983615 98.6437573470742 126.370664085549 133.813321281315 140.081424415419 120.910546948033 139.493338819568 134.676557271845 119.402533312665 118.144007312309 135.610135820797 136.904372787596 114.698824614565 122.794108069685 92.4114535284737 135.002184947998 118.705791666133 99.0020132595017 125.239243981603 122.464438561605 167.626043010874 111.516092025278 88.6833161160601 136.134648612153 95.6172018113057 115.163370142727 89.8113156409887 132.636071656158 116.084196672596
"21/06/2019" 114.34872090166 121.724482754295 131.672661952353 138.115824552501 98.6792995856911 126.401966309404 133.851495322741 140.12374525716 120.954486596445 139.539466804267 134.724282044152 119.44520138934 118.186885346462 135.649362653925 136.951432798875 114.740753291102 122.818813128441 92.4604998043961 135.033060374408 118.727094436454 99.0382182242169 125.284322850694 122.509363748026 167.676922326522 111.556650967227 88.7195229461826 136.183474154789 95.6518659890779 115.186149661191 89.8551097631655 132.673876904216 116.12610126533
"24/06/2019" 114.404038214653 121.798142526186 131.775754424272 138.240692574014 98.7864532559731 126.490272176067 133.966700437407 140.25118167224 121.085275748571 139.677126581231 134.866266875187 119.575015333604 118.31304365719 135.766878997462 137.090918936838 114.860030520848 122.895232304097 92.5490799603004 135.17289571846 118.790827860151 99.144434945672 125.416941334713 122.640606190738 167.829206084991 111.679551715983 88.8168234937817 136.321635289248 95.7702059755598 115.254099014659 89.9398531490208 132.785502725258 116.250881264131
"25/06/2019" 114.422473846731 121.82383023375 131.809909534893 138.282101526733 98.8226064989716 126.520896491419 134.00570845421 140.293507317838 121.128907371108 139.723613536739 131.144441247093 119.616355719587 118.35658289313 135.806138186722 137.148999890716 114.901864348265 122.921252425725 92.5946644459962 135.219773133785 118.812063759172 99.1802143433293 125.462691696258 122.685756697323 167.882919090129 111.71875631173 86.7661559144625 136.369705434745 95.7942271621485 115.276968484597 89.9726068996518 132.823050740507 112.923238704754
"26/06/2019" 114.440903533883 121.84739116265 131.844254177326 138.323669099157 98.8577971973718 126.550100500305 134.043820243155 140.335942336174 121.171296804993 139.76812968071 134.960538612784 119.6582720792 118.398618049888 135.84556202273 137.185318632244 114.942782539418 122.947155144025 92.6281933591322 135.266731916321 118.833298397527 99.2154565550227 125.506874278656 122.730410321474 167.930876068806 111.760822193499 88.8803566720988 136.416657260417 95.8421521765318 115.299487570144 90.0052515302634 132.860151464214 116.333727495058
"27/06/2019" 114.459338250867 121.871737689558 131.878389969535 138.365592531752 98.8926949716144 126.575734549114 134.082694808587 140.378099685331 121.213541112496 139.81377292576 135.008526292422 119.701673118778 118.441398251666 135.883872849163 137.246371700774 114.984187766837 122.972540674587 92.6467029663011 135.313485812864 118.854515184266 99.2508275183266 125.551809116106 122.774300426172 167.980183225039 111.802126351506 88.9135865794666 136.468000544829 95.877818648478 115.322076210368 90.0376873375924 132.8974322373 116.375915714716
"28/06/2019" 114.477763666809 121.897598449051 131.912680379291 138.407064768201 98.9425412433145 126.607963732137 134.120885185752 140.420021069519 121.258351060491 139.859833623205 135.05607599657 119.744539946026 118.4842397374 135.922144590111 137.281612669749 115.039082349987 123.001779143835 92.6800056374933 135.360419975592 118.87572855839 99.2865523005623 125.596871231904 122.818160796319 168.031852163341 111.84131714092 88.9468508601912 136.509875560611 95.9130796594871 115.34496011956 90.0727558545296 132.934911356237 116.417698752505
