"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/03/2019" 111.111487911196 121.560289102648 126.624086731667 123.556041065568 88.2643591747954 125.09329058037 123.36742404888 124.95100137389 117.472012856901 121.952273339824 126.551213513458 116.104744980097 115.386728134546 124.330618944188 121.351836699151 103.601825615576 122.743362302788 80.9944756862792 122.245367396882 117.282936553913 87.1756232413512 120.073503784804 118.56348719959 149.650217757215 110.321033664266 81.0672848776507 121.879698414958 89.933682205268 114.980342479261 79.9799594209198 123.084602485587 114.316135276857
"04/03/2019" 111.119200883533 121.620491923203 126.756376961286 123.704781487907 88.342573049926 125.198465080191 123.518133043757 125.096980687525 117.590038140186 122.072522687244 126.667309848503 116.222123913368 115.501225794113 124.479389814471 121.451476147354 103.692210862206 122.816823487841 81.0641879618393 122.356239668846 117.312597283291 87.2508218740984 120.186887139841 118.681252252685 149.819222072961 110.432338223074 81.1361185762947 121.990301070963 90.0154494806073 115.032163392831 80.0483608761648 123.228719946782 114.429304965112
"05/03/2019" 111.121637084734 121.640385182956 126.801572041011 123.754148873683 88.368097955684 125.239676227937 123.568066916352 121.337939044972 117.630170190028 122.113800132927 126.70542506787 116.260591732009 115.540037862684 124.528421635558 121.488901562097 103.724517494839 122.842771699048 79.0430187340176 122.392995638963 117.322462110134 87.2769374098592 120.225339388171 118.720605043167 149.874929573832 110.468563099576 81.1593042267078 122.027016919309 90.0413243935389 115.048611560573 80.0721597372534 123.27721244136 114.46654722581
"06/03/2019" 111.123943558547 121.661021675297 126.846611358791 123.803382801426 88.393742510863 125.274086785086 123.617796997431 125.193992210644 117.667913421242 122.153858117893 126.744453353364 116.299508624455 115.578457869559 124.57819008841 121.526568684943 103.755061908387 122.866954854133 81.1122000012717 122.430219799364 117.332696752132 87.3029919613723 120.263375542675 118.761052998776 149.931012247291 110.505089767972 81.1830905009981 122.064803989928 90.0682194480765 115.065120757368 80.0943723460521 123.325340240968 114.50465986073
"07/03/2019" 111.126287336602 121.680237430452 126.890952574802 123.852512639586 88.4193462751819 125.308845632973 123.667839192445 125.243351198192 117.705536224384 122.19340754312 126.781959050077 116.337957054461 115.617587519014 124.628435076803 121.577701046563 103.784859150355 122.89087869716 81.1364874351343 122.466036278151 117.343196870174 87.3293724564451 120.302070827896 118.801382960414 149.98672156372 110.543412187586 81.2058934097797 122.102065059194 90.0948968879482 115.082397754762 80.1172167735975 123.373506959789 114.541345295705
"08/03/2019" 111.128589132476 121.699851440785 126.936249093724 123.902213760233 88.4457537157617 125.346043555285 123.715608703367 125.292205873154 117.744990144781 122.236951787213 126.820752598234 116.377606833169 115.656078685868 124.677544869148 121.603455621335 103.815753209822 122.916177842029 81.160123886973 122.489851397112 117.352558039813 87.3553217056442 120.34017764354 118.841257932581 150.043544309206 110.580392550412 81.2293336849289 122.139537546481 90.1230003323915 115.0986074573 80.1406871779713 123.421606791496 114.579186446054
"11/03/2019" 111.13506647499 121.758877534628 127.068073559898 124.050176925975 88.5231209814311 125.446576090508 123.864858890372 125.43913844866 117.861849176725 122.35523925483 126.935315472174 116.494673570798 115.772086620401 124.826864026684 121.714357795533 103.90809095224 122.989559692969 81.2327209917827 122.600944876356 117.380089020804 87.433870028895 120.454992102778 118.958601072484 150.211496466062 110.690759717702 81.2992063728001 122.249849305604 90.2054694916298 115.151995190691 80.2098363015776 123.565749890345 114.691261449975
"12/03/2019" 111.137203251308 121.778439848611 127.115115506554 124.099065997828 88.5491562608998 125.483071123498 123.914551233351 125.487763094606 114.483499838698 122.409316076219 126.975494071683 116.534619732028 115.810272943683 124.876327891465 121.753836521608 103.938743777499 123.015240190053 81.2569018770959 122.638980234363 117.389521097922 87.4600342600811 120.492742667097 118.998374252497 150.267408187924 110.728519589477 81.322786149957 122.286653333391 90.2323297996839 115.165264148558 78.2135425362345 123.613379596085 114.729183178703
"13/03/2019" 111.139284445389 121.801505165523 127.158798669179 124.149272327603 88.5759610891664 125.515954749946 123.963877718534 125.536709532815 117.939875519267 122.448902182168 127.011526242334 116.57426768711 115.849336865606 124.925747805836 121.790584953553 103.970704544686 123.039264488061 81.2803730636868 122.674577610801 117.398950858196 87.4866306703932 120.531387252658 119.037836751667 150.324140975126 110.764902177803 81.3454159089723 122.323483180785 90.2590110085844 115.183292983316 80.2555445337632 123.662623509537 114.76577340607
"14/03/2019" 111.141325297028 121.818059478759 127.204550608965 124.198137136221 88.6012744871407 125.553177749766 124.014583351827 125.586719253282 117.979415451659 122.476009016228 127.050010290917 116.612538056241 115.886963764055 124.975732153698 121.827852196934 103.999714470849 123.063526055672 81.3050930395219 122.711379066039 117.408272166267 87.5121675328869 120.568560906869 119.079373189298 150.379999711071 110.801526619629 81.368850303537 122.361664099249 90.2857108634455 115.201692328564 80.2788093779734 123.710279087572 114.80376591703
