"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/05/2019" 113.389585763643 116.777784711771 129.917055478061 135.992115792726 96.8653413674385 124.875844707976 131.888442521381 137.969110757209 118.755572897976 137.209898333558 132.312091135125 117.255913729247 116.028962652125 133.650139226289 134.583864868793 112.672602363158 121.475729611921 90.7450927316787 132.645263045271 117.628964800151 97.2347909805509 123.010507348348 120.262351961068 165.108838127965 109.501397241972 87.0517128903315 133.801220073605 93.8611418745827 114.01744181659 88.1825507358915 130.765352428113 114.011881657165
"02/05/2019" 113.408468705966 120.485363190998 129.951532646198 136.033692986178 96.8987958029841 124.907474288627 131.9261834254 138.012227215747 118.798175209984 137.25478599467 132.359253072227 117.297561628999 116.071944970415 133.689319290732 134.629866396678 112.712453948454 121.50493989885 90.7788371518761 132.692631704056 117.651196230544 97.2703389406204 123.055975102625 120.306475606712 165.144088395831 109.542289073827 87.0837340724745 133.847737778571 93.8954020372694 114.040561526291 88.2147760959435 130.802119063129 114.053428169305
"03/05/2019" 113.427366592059 120.51014624228 129.983804012041 136.075454554663 96.93535286616 124.935297636217 131.963886478807 138.05305521816 118.840748787155 137.300227366424 132.406741733239 117.34177529781 116.11276624172 133.728758383316 134.676627363727 112.753366008509 121.527677288876 90.8120186401942 132.739024879997 117.672298532669 97.3048517659619 123.098721491792 120.350662746355 165.194989356472 109.582062610719 87.1160978824022 133.894473654194 93.9308355218902 114.063679386529 88.247451395805 130.83989837904 114.095168909025
"06/05/2019" 113.484259407227 120.586775526072 130.090033639761 136.201219932856 97.0414364830636 125.025121855274 132.080963674764 138.181762793343 118.969570525916 137.43765853305 132.545808024379 117.469703995477 116.238008042273 133.846600548994 134.830835468861 112.875063299076 121.607749531602 90.9114087275851 132.880680300627 117.738150767424 97.4100790797026 123.230960555908 120.482248758857 165.34631431949 109.70313984123 87.2102279083991 134.033987843619 94.0362602803641 114.133115335767 88.3309715382483 130.952577241185 114.217028124289
"07/05/2019" 113.503541600967 120.612716983146 130.124179451563 136.242984655406 97.0920224921429 125.056145682288 132.119444318449 138.222927591631 119.01428328324 137.498357315273 132.593893142587 117.514209207925 116.280773767359 133.885895361262 134.862797448028 112.915303531303 121.637877619939 90.9599243420631 132.926676912961 117.759588437996 97.4453416852262 123.276171760182 117.006908839134 165.396784557773 109.741623953212 87.2432789035804 130.300392845023 94.0716349416882 114.156205968906 88.3646305610195 130.989404036621 114.258999727906
"08/05/2019" 113.522081751986 120.638304421075 130.158882918466 136.284855822956 97.1275382838431 125.085509674633 132.158044623658 138.265113496726 119.056444815522 137.529849174741 132.641082292881 117.556588439636 116.32247327304 133.924935050456 134.908745693439 112.955007823226 121.660969976846 90.978966696619 132.97271903664 117.781604020996 97.4805989974822 123.320715290827 120.569616953427 165.451073344923 109.780673256356 87.2761800643071 134.141315738601 94.1059621151036 114.179112116146 88.3965213302743 131.027071761448 114.300447519779
"09/05/2019" 113.541116091208 120.663234003341 130.193138097905 136.326456395411 97.1483864393278 125.117781267782 132.19694083616 138.306889287758 119.099684138754 137.57509158125 132.687863020425 117.598433474462 116.364951418702 133.962810945309 134.954965427534 112.99469864223 121.687508030831 91.0266331735005 133.019535545247 117.803278552043 97.5155924379937 123.365425164413 120.614100337424 165.501709484927 109.821158127401 87.3082068411579 134.188001983303 94.1402180248844 114.202464344078 88.4441972316987 131.064382688094 114.341631052954
"10/05/2019" 113.560201758153 120.68556270628 130.227535185644 136.367815054662 97.1837475646418 125.144769879604 132.235402577301 138.351333506733 119.141853058892 137.635345532607 132.735696450714 117.641299273291 116.407625288807 134.003162540661 135.001021038071 113.036407655907 121.717097458318 91.0597992292654 133.066664039342 117.824677144334 97.5508502734306 123.410298179239 120.65816036175 165.552043282325 109.861126133634 87.3546943152328 134.235642299101 94.1763328794727 114.225440000489 88.4763680969451 131.101900104725 114.383651799032
"13/05/2019" 113.617861213164 120.759736053354 130.331092838926 136.493617638665 97.3054436115464 125.235514377238 132.350961722264 138.476852473377 119.270939952953 137.772262069779 132.875558093324 117.771157677553 116.532259281432 134.120588754662 135.155524987687 113.157418449259 121.792674131371 91.1447401228307 133.20341066803 117.889879136506 97.6418552924862 123.540953991544 120.789850081196 165.702121023773 109.98371510974 87.4387071176235 134.363106457406 94.2814484627699 114.294704180633 88.5742724009001 131.214313228295 114.506332246771
"14/05/2019" 113.637244993842 120.78755015629 130.365579731039 136.534589850859 97.3258603026724 121.646863865877 132.388928006091 138.518628128258 119.315199050546 137.802796101693 132.923709521451 117.812628482018 116.575165950465 134.160536797872 135.202190353139 113.213372212314 121.818501261149 91.1778484487098 133.251339121822 117.911615586146 97.6774898702731 123.58609670021 120.833486395476 160.483370076558 110.023024953694 87.4717268147552 134.407647255649 94.3174996593045 114.317334165896 88.5936633701136 131.251685636238 114.548569224281
