"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/11/2019" 110.417745179845 123.500105966774 143.401254111099 157.45395573732 130.80663192327 138.72214385383 154.790774922033 160.533081338068 160.635390371023 165.852681125736 169.71749934021 158.717310758627 158.634495998251 152.36689221564 165.465888839387 146.556387880334 131.214890050391 124.303843397232 171.01643693171 117.742252101409 130.268451424578 162.431515887271 160.590875347794 193.216927243094 157.807707440003 122.918422719731 165.80020227405 130.950537437571 121.478291944882 122.747335568481 148.958512723383 158.01696652063
"04/11/2019" 110.467818371034 123.57302547875 143.511391506289 157.594250152489 130.939265718094 138.819836026238 154.929090153391 160.674327175046 160.799613943939 166.012516544424 169.890272348104 158.880134745122 158.799292705365 152.495352576648 165.630283876587 146.712494027716 131.294498532515 124.432307170519 171.16989038154 117.802007310887 130.401219604298 162.59884363648 160.76816024427 193.391136545442 157.969646170856 123.043271939319 165.966058125975 131.087079358873 121.5464765929 122.874096989006 149.081822393028 158.18186262282
"05/11/2019" 110.484360325585 123.596600252469 143.547958418487 157.640495508316 130.983957905607 138.847342017919 154.972471285873 160.723368022938 160.854312975443 166.065531905807 169.946845466751 158.933755863468 158.854093521442 152.540392656211 165.683903116509 146.760684370592 131.321132324439 124.473903087356 171.241074341496 117.821890370509 130.445306974539 162.654356991375 156.028007350409 193.44514178945 158.024403615993 123.085133003589 160.96416409018 131.133742533137 121.569125284114 122.929688476283 149.123124522023 158.235611428698
"06/11/2019" 110.500562812541 123.619721263933 143.582946550816 157.690138525438 131.043295268844 138.879040110715 155.005923234596 160.770894415228 160.908870463605 166.118415883816 170.007040107717 158.989282043392 158.908477805785 152.583719865795 165.738931464345 146.813926213295 131.347852588936 124.515379768819 171.29795599907 117.841778560631 130.490492474866 162.709537044967 160.878656438007 193.503234842462 158.080578087789 123.128396292597 166.091310382754 131.176760842037 121.591711819599 122.956944567842 149.164619518243 158.290478215454
"07/11/2019" 110.516733294404 123.643529708744 143.618793283676 157.73440937373 131.073207529393 138.910364021462 155.048559012306 160.831095765029 160.963703912286 166.171681762213 170.063474067261 159.042838263988 158.961488230534 152.626956446216 165.792208750323 146.86448239754 131.374539148062 124.557437754361 171.339681930645 117.861579852497 130.533291088423 162.763383408162 160.926743219832 193.560592108298 158.1351786826 123.170675291746 166.146680414803 131.222922872431 121.614298434606 122.999104540487 149.205455652428 158.345434062331
"08/11/2019" 110.533198350745 123.66769051069 143.66374801676 157.780717381655 131.117879762109 138.941798394696 155.091631818418 160.878778489899 161.019688859364 166.225281766539 170.118379001505 159.097237056645 159.016940088706 152.67081335041 165.847198270679 146.901618794453 131.401021452313 124.598788113889 171.394607701273 117.88143397014 130.577506916524 162.819626762633 160.978168637875 193.615273831598 158.189794718146 123.212177345917 166.200773421991 131.2697927794 121.636864676221 123.041000711163 149.247023363708 158.398584018376
"11/11/2019" 110.582838929991 123.738955180728 143.768253580478 157.922056508366 131.253141437331 139.035977153713 155.221638114413 161.022414779784 161.184487830226 166.398292212288 170.294314809766 159.26350570856 159.182334422634 152.800614373267 166.012260644951 147.047943384757 131.480710565096 124.725199518459 171.56518381625 117.940838048009 130.712692361146 162.987085189242 161.14677747527 193.786535283621 158.351530360376 123.34031919823 166.367326114853 131.41717542686 121.70451589757 123.166245998918 149.37033996354 158.564305230792
"12/11/2019" 110.599175729924 123.762866165909 143.802051024259 157.968325904618 131.312107962786 134.169573520691 155.263493149524 161.055987415755 161.238769754172 166.451400269624 170.35211589718 159.318423196732 159.236242511679 152.843570652987 166.065417054444 147.097045939315 131.508242691507 124.767426044927 171.620772096649 117.960587644232 130.755271007089 163.041774246305 161.20007058439 187.29814165194 158.406173365643 123.383166671934 166.421443865995 131.449086788181 121.727031593431 123.208388201724 149.411735595734 158.619380044274
"13/11/2019" 110.501614537364 123.813909566163 144.43917144565 159.294723883146 132.276327677025 139.377451396198 156.306091729602 162.419790381242 159.879931049091 168.059107989388 170.611500928875 157.912312137861 157.363984954352 153.932805062626 167.513036358664 148.089302724374 131.620451335091 125.855847533255 172.73585265203 117.907965237033 131.87549539866 162.590296307561 160.165532673621 195.464255713139 155.611232966305 124.02101350727 167.711661056099 131.698961642339 121.742450848335 124.131931784132 150.355051304672 156.040351393407
"14/11/2019" 110.518698165393 123.837066567482 144.47470790609 159.341126314627 132.322382704411 139.407867628097 156.348135713729 162.466209267675 159.937380411498 168.098633573447 170.682207825103 157.969556487018 157.419728475649 153.975069164076 167.567092751341 148.139189536765 131.646290261416 125.899346761281 172.79319140301 117.927376384145 131.922925321034 162.646879719011 160.221243971103 195.521178818421 155.666965888554 124.063475573796 167.767440703166 131.744554268088 121.764416180249 124.189314353752 150.396339489722 156.095425232781
"15/11/2019" 110.534901282446 123.860240507248 144.510083758648 159.386870108529 132.366805150032 139.438045621971 156.39075667884 162.512014128285 159.993244493301 168.150327804944 170.728143183764 158.023809169596 157.476631567153 154.017135914899 167.62378134181 148.189862086651 131.673003741769 125.94043373745 172.850841696667 117.946765481386 131.966633949426 162.704801674453 160.279083789762 195.578082235484 155.72259344749 124.106765484349 167.823249548269 131.791286348186 121.7863730712 124.232122924928 150.436015493118 156.150459011438
"18/11/2019" 110.582335076525 123.930797058897 144.616767359841 159.524419868963 132.502716491736 139.530802698981 156.516665217784 162.651232731515 160.163313383838 168.309510041522 170.916969423105 158.190401806522 157.642644640691 154.144607481714 167.788769170838 148.342376958523 131.749346552774 126.071616113853 173.022862069365 118.004937231681 132.099456666977 162.873770158654 160.451181620142 195.745438717519 155.886117542212 124.237045516339 168.006943296259 131.919949011924 121.852187731565 124.345990055581 150.556657329145 156.317050451166
"19/11/2019" 110.598464238951 123.952968571793 144.652501935159 159.569434719323 132.548308295551 139.563565667514 156.558544372113 162.69863124227 160.217347785898 168.369052266541 170.977983588368 158.247338815415 157.699842631886 154.186551878755 167.845361308983 148.39133945597 126.817387521885 126.113546077438 168.022807053366 118.024845358349 132.144862376554 162.932000774879 160.508594055257 195.802433322963 155.942636584092 124.282166380976 168.063379180757 131.964927193062 121.874055221683 124.388590621928 150.596743548171 156.374987150112
"20/11/2019" 110.615047609382 123.976091568768 144.687753346912 159.616083325904 132.59388862669 139.590675979691 156.600378888414 162.759000018586 160.272171796525 168.433056407698 171.035524590808 158.302799014881 157.756380005279 154.22852261206 167.900694708746 148.443937400539 131.8008277278 126.156083548247 173.151835299377 118.044805597094 132.190089511394 162.989437311223 160.564262697275 195.858316446623 155.997117826923 124.338474673904 168.118003493254 132.012572937154 121.895958410535 124.434082603218 150.636741606133 156.429455930133
"21/11/2019" 110.630656261094 123.999302681569 144.72370287507 159.659709411238 132.639050315272 139.620479443212 156.642816360835 162.796093775124 160.32903355782 168.485803451231 171.082121389087 158.359335048245 157.811902822655 154.271359117849 167.955276965165 148.495088608749 131.826709990926 126.19915782291 173.209404710419 118.064710293411 132.234333691918 163.045998210057 160.619726196816 195.913245406543 156.052607028417 124.369108900476 168.158294410968 132.061104967432 121.917862578174 124.474598923561 150.676776193804 156.485388326876
