"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/10/2019" 109.796302286299 128.045724452966 148.14582641697 162.69863124227 134.183567109612 138.06509893867 154.480403554297 160.403306789976 157.462863483913 165.759483719556 168.091694819394 160.476439137373 150.294463365948 157.417989618734 170.502558206168 150.449879073551 130.501061481706 124.013186509951 170.27105476119 117.066141862721 126.343998047589 155.346485797085 162.790199776488 193.046287878708 153.250075077872 122.154802679197 170.661945901228 133.643343307911 120.78768051515 122.290812890703 148.634298451046 153.658675789921
"02/10/2019" 109.812917925304 128.070993080801 148.182128080684 162.759000018586 134.229469084732 138.090919786145 154.535242811947 160.449748341731 157.518396692874 165.812493088381 168.149910106856 160.532301160908 155.020969438886 157.46138047371 170.558902637698 150.499817807342 130.527505136437 124.057903713106 170.330798013311 117.086101982252 129.992545689399 160.199001903621 162.846341615232 193.103190808745 153.304149578281 122.197972692206 170.716143174122 133.67637589482 120.809633983707 122.333287539009 148.674365852751 153.713650869309
"03/10/2019" 109.829501382669 128.094640868072 148.219151765679 162.796093775124 134.274491032665 138.122287406516 154.567888647808 160.497773692967 157.573194678075 165.865291799096 168.206881493447 160.589438432226 155.077330990203 157.505188305148 170.614513377068 150.550379598728 130.55376534813 124.10019839617 170.398422131124 117.105922679035 130.037244789391 160.256871552747 162.903993582868 193.158684345408 153.359277539149 122.24065925431 170.774151089188 133.723616230471 120.83260265442 122.375582730927 148.714613840389 153.76769786701
"04/10/2019" 109.846036211438 128.119104466183 148.255786646895 162.839895481848 134.3217768677 138.152874942544 154.607135053163 160.544038846413 157.629393236865 165.91846142239 168.266315124638 160.646467545516 155.13312952661 157.548394842059 170.671482846123 150.61539580992 130.580013485648 124.141815926321 170.455325942067 117.12574680402 130.08259970152 160.3135241913 162.960142239614 193.215685913948 153.414669577722 122.284530551983 170.829918779193 133.770312033496 120.854466808123 122.433155670143 148.75495896539 153.823807587296
"07/10/2019" 109.895856877866 128.191942781485 148.365582357414 162.980324985922 134.458898197986 138.245434717239 154.736325085172 160.684630208639 157.799712041959 166.077933124538 168.442674834676 160.81412022725 155.299867985491 157.678227411062 170.838301533631 150.755576392393 130.658345566234 124.270170273185 170.627040237573 117.185129125159 130.216709231221 160.482745641774 163.132196917094 193.38496335189 153.576252357751 122.414977075293 170.999082999312 133.913333994282 120.922210102318 122.562219388774 148.876243107222 153.990764093607
"08/10/2019" 109.912296200706 128.216346337911 148.408748010694 163.026771565803 134.520426228479 138.275817877905 154.778354318558 160.734866128445 157.853988578722 166.147452834715 168.50197896044 160.872058196408 155.355099917046 157.722118945641 170.894986563456 150.809690241871 130.684903251758 124.311901496919 170.685639284508 117.204876703888 130.262237937471 160.539382801136 163.19127052781 193.441126631354 153.631955762931 122.458094931329 171.072553969079 133.959295987338 120.944566518554 122.603806403245 148.916811959274 154.046462810139
"09/10/2019" 110.28153267423 128.162774171354 147.608848772434 161.628045219068 132.552026309029 137.816900430481 153.626050494133 159.282615823834 155.121824682514 164.183590255603 165.863178711189 158.147927373905 152.597776407098 156.530960022237 168.716022126486 148.65434333296 130.504462298546 122.51205255984 168.306610093472 117.388924404172 128.3956955954 157.859573240919 160.449951659994 191.712769250025 150.894449709899 120.499137601357 168.777459399536 131.803627979395 120.948739033382 120.731249405475 147.83002786872 151.276392245921
"10/10/2019" 110.299550500355 128.188477351508 147.648988722397 161.675845535231 132.598704559862 137.848381587629 153.669192778565 159.328799390069 155.176537994349 164.236158362157 165.916111177028 158.204328013991 152.653554899547 156.575645265051 168.773583429305 148.707179487713 130.532126114023 122.556447538318 168.364238796088 117.410258883147 128.440944896843 157.91654937638 160.509155049469 191.770756873036 150.950008109516 120.543412252311 168.836514651852 131.864585625002 120.972429305707 120.774625097329 147.870887723649 151.332258410677
"11/10/2019" 110.317483627809 128.214184465615 147.686930633546 161.724062886484 132.645968530513 137.881428100428 153.712651549702 159.377948122822 155.23378217338 164.290366561118 165.983352964943 158.262461453171 152.710135643833 156.62078028039 168.82941290277 148.759951750514 130.559259929683 122.598807010672 168.422386018046 117.431243523192 128.471921770684 157.974332324078 160.567397537273 191.828190591304 151.005796747904 120.587523255734 168.893926185449 131.911964496094 120.996003651649 120.818295471674 147.912338279047 151.388720876261
"14/10/2019" 110.37104938533 128.291086629856 147.801008458409 161.86756169613 132.786611331576 137.975648734485 153.842128712631 159.522038564586 155.405377908311 164.451865620452 166.159498123236 158.435009611142 152.877037364697 156.75248347445 168.998787327462 148.914423543891 130.642023194043 122.728657153786 168.595833478151 117.493932890578 128.607557132119 158.144849599248 160.740494940426 191.999550714805 151.17013313473 120.71811747523 169.080227620815 132.043333370339 121.066965824932 120.949196344201 148.036843940766 151.554642920771
"15/10/2019" 110.388898500562 128.316698731495 147.838616435213 156.829020306723 129.16845649012 138.009683520214 153.88577697941 159.570517817125 155.461171769027 164.506572310935 166.211512837127 153.793579008611 152.931396249069 156.799111762826 169.056659818119 148.96735123763 130.669225438521 122.772404263205 168.653238240188 117.514831115153 128.652193547995 158.200279202729 160.797511486761 192.057757083153 151.225912855795 120.763032618444 169.136755279058 132.09045734475 121.090037939404 120.99166028261 148.078320334929 151.610896281728
"16/10/2019" 110.406707335683 128.342372238512 147.876270821585 161.961172346296 132.877868174933 138.041687365387 153.928470347723 159.617769151736 155.517201038249 164.559417648519 166.279673692856 158.546827986927 152.987891712869 156.84251314111 169.112403108315 149.016990453711 130.6965922847 122.81565426375 168.711689057647 117.535751114974 128.698382285806 158.257993592677 160.854741178985 192.115684318341 151.280714752588 120.807383387069 169.194026989525 132.136266038336 121.113839262012 121.034495836685 148.119702004139 151.667497087997
"17/10/2019" 110.424480519788 128.367943211414 147.91398338206 162.009540974417 132.940530152904 138.073316690032 153.97416846027 159.665116978625 155.575901370224 164.615732513536 166.329903024087 158.606237337002 153.044271299774 156.886677828425 169.169561475172 149.067767939596 130.724054463632 122.858700131693 168.768997752854 117.556582012013 128.758329246674 158.31599696058 160.913026230588 192.172490373652 151.335956481037 120.850551589005 169.239016413685 132.183108740753 121.137730587252 121.078583012025 148.160890197162 151.722575794638
"18/10/2019" 110.442211368721 128.393596464952 147.952085552111 162.059435145732 132.971734497821 138.105550970168 154.012975494401 159.726218477788 155.631557450928 164.668217987855 166.39744793527 158.661285547076 153.101250201766 156.931314189194 169.226961450227 149.120626804146 130.751784764448 122.902400832824 168.812971255327 117.57747683957 128.789034341948 158.374128474128 160.970384255524 192.23027951899 151.39061270136 120.894003031769 169.308566246501 132.231406606543 121.161221698583 121.120927760487 148.201883469073 151.778241531046
