"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"02/09/2019" 114.483298464422 127.333918699161 147.078549962309 161.342567030453 132.851243043406 137.16361798186 153.254530975993 159.039155120546 155.837055255748 164.219901473411 166.413326672833 158.83918067453 158.291361399796 156.160204670511 168.886128458848 148.970303998844 129.739023863563 122.775572562367 168.614238173401 116.486813106715 132.460374951001 163.572777479466 161.13264460288 191.414635676392 151.664394115085 120.906626016271 169.038297046422 132.271130164042 120.133076537867 121.052940109549 147.460526924362 152.064061657218
"03/09/2019" 114.501038708725 127.35864109474 147.115168846511 161.385427092161 132.89825237178 137.19488433638 153.297326469941 154.000522210891 155.894287704493 164.273475552128 166.460896341841 158.896666098605 158.34911736108 156.203451556729 168.940501267043 149.022441957611 129.762907923332 119.49515316993 168.671109645275 116.506937451011 132.507092092633 163.631509972791 161.187868559234 191.470619800346 151.718506185911 120.948728210948 169.092980195397 132.319132423971 120.155835935051 121.11097910216 147.501645378824 152.116658977875
"04/09/2019" 114.518008826925 127.383399186237 147.149734086348 161.446360717379 132.94416600952 137.22733586592 153.339437468674 159.144888934648 155.949437728581 164.326485316716 166.525795859289 158.953487198429 158.405852934224 156.246973123993 168.996656414151 149.075859698307 129.789196651601 122.859170356538 168.728306768276 116.527036829449 132.567406183456 163.689208123737 161.247225460516 191.528761163165 151.772817081246 120.99081976091 169.151813957613 132.365795630662 120.178479628523 121.138173648614 147.541495405291 152.170046546804
"05/09/2019" 114.536333126263 127.407970764262 147.18601688494 161.478889762451 132.994511231891 137.257545011128 153.381822097908 159.193593082238 156.005617319042 164.378346972624 166.585062429306 159.009288142083 158.463008097345 156.289385812204 169.06647871449 149.137252094844 129.817100057757 122.901774392517 168.782758855418 116.547143143423 132.600448218259 163.747331850358 161.305479947135 191.583768039135 151.826209944329 121.03452727255 169.208925954904 132.424618600128 120.201676979902 121.184407860168 147.581987448284 152.225442759904
"06/09/2019" 114.553906527608 127.43248078234 147.223299500963 161.528118040138 133.035359569523 137.290251165855 153.42449113174 159.227876748455 156.061880374879 164.432905251804 166.642538930493 159.065048177572 158.518586696805 156.333243486089 169.107292927996 149.187862302986 129.843723299229 122.945005166845 168.842110448663 116.567139430943 132.642766430075 163.803836845431 161.360678850315 191.639419804395 151.881643403088 121.077371664928 169.263776655138 132.459014380487 120.223856896515 121.223281011078 147.623028764587 152.280114504908
"09/09/2019" 114.606580106857 127.506382893778 147.334208935743 161.666822017287 133.173377424577 137.381036037739 153.551291509098 159.367366667031 156.229360232357 164.591558800847 166.820469122299 159.233831916891 158.687787643755 156.46378617095 169.274571809733 149.340541530316 129.921430543753 123.072858614061 169.01289599617 116.62742744457 132.779585121509 163.975767281771 161.530190394098 191.809948051666 152.046586282459 121.208100216711 169.431977917857 132.598344790747 120.291840938062 121.351128688076 147.744296318372 152.447882658855
"10/09/2019" 114.624145844784 127.531058970191 147.370858445543 161.727657743448 133.23477137873 137.412279006737 153.593722440124 159.416371643906 151.588749358583 164.64436889397 166.877391130447 159.292524433988 158.741547424498 156.506569432261 169.331050651724 149.392585511731 129.951070680349 123.116229916592 169.086143946414 116.646268577159 132.823572270073 164.030439369841 161.588129843171 191.865274035219 152.101613419533 121.250595684613 169.488439513518 132.646076463047 120.314477852359 118.096382983123 147.784632825273 152.501629329264
"11/09/2019" 114.641703713708 127.55567406616 147.407436681169 161.762167830263 133.264202204056 137.442633406434 153.635783716378 159.4630336736 156.340532282643 164.698537747699 166.935086614556 159.347711304225 158.796092893084 156.550107625266 169.386551517979 149.443888663025 129.974338064718 123.158254742904 169.143373636729 116.666292348708 132.867260917956 164.085855202365 161.644560813289 191.921978150306 152.154970272642 121.29313199148 169.544883133687 132.693177545028 120.337040871378 121.435860055494 147.824926890192 152.556032840549
"12/09/2019" 114.659270016595 127.582113439754 147.444262175263 161.821621298932 133.311162159217 137.477852260421 153.678026281357 159.508234129262 156.397183063874 164.750180648286 166.994106495512 159.404377118416 158.852665549227 156.593362502471 169.44443921343 149.493874477996 130.002400092868 123.200652958738 169.185141599074 116.686318655268 132.914475891936 164.143350475149 161.702090287986 191.978965188083 152.208131349457 121.336354464187 169.600745240333 132.739527181295 120.359619155262 121.478419936315 147.865797079564 152.61170463675
"13/09/2019" 114.676833032796 127.60501220614 147.481134403189 161.856107599634 133.356008714984 137.504393181997 153.718892024922 159.555528736302 156.453267593405 164.803333405045 167.053048941154 159.459571249978 158.908507125214 156.636858735921 169.498845887912 149.544808930891 130.027326716882 123.243608456969 169.242279520308 116.706329137046 132.958391935274 164.200079297836 161.75989454405 192.034490490927 152.264740653299 121.379853705991 169.657177128469 132.788811307209 120.382236085854 121.536353377653 147.906430106224 152.667268055879
"16/09/2019" 114.729508179332 127.678718462402 147.592023698692 161.998088039604 133.493462489605 137.601823175162 153.847580541804 159.697792027579 156.620859168073 164.962667426798 167.214127264992 159.628688890605 159.079798768438 156.767147122188 169.664175340828 149.682860228013 130.106743957191 123.371730566368 169.429992469832 116.766295723882 133.094148323493 164.374102291871 161.928509444438 192.203115685618 152.42822822561 121.505941656723 169.811485272567 132.926206760193 120.449963956595 121.652838213447 148.027163435449 152.83057295807
"17/09/2019" 114.747062975309 127.703264158032 147.628422360848 162.045749275591 133.540923967416 137.628528506998 153.888287824652 159.744094621511 156.676373162112 159.959286407789 167.274030319673 159.686748181473 159.134707756364 156.810362091198 169.720784385957 149.735855381284 130.135832577438 123.414733682894 169.470729057863 116.786271042654 133.139450488388 164.429817890339 161.986635467312 192.258745764888 152.485225723837 121.550172912882 169.86883620376 132.974771297944 120.472497560169 121.692567940668 143.270862443171 152.887041000937
"18/09/2019" 114.76462092895 127.727734101337 147.668181246921 162.093342832388 133.587016714887 137.662203346128 153.932805062626 159.791865106154 156.732089782395 165.068626246194 167.331640310488 159.743781406185 159.19028142426 156.85371956687 169.77697803651 149.784846863522 130.159480164522 123.456515529213 169.530048185192 116.806231853869 133.184112386401 164.486274901854 162.04401407174 192.316877350558 152.53936433817 121.592428668784 169.925132566053 133.020649883314 120.495105158799 121.73458421438 148.108061048527 152.941449229834
"19/09/2019" 114.782074210012 127.75237402364 147.704238004603 162.144835484269 133.648169531452 137.689931222019 153.975069164076 159.836949238551 156.786867878813 165.121965754318 167.390381123529 159.801236247121 159.247123773412 156.896774108526 169.831646774551 149.851751022573 130.187248653028 123.498990470188 169.602624539157 116.826181755077 133.228549655958 164.543998458692 162.101014753646 192.371088665649 152.59278390065 121.649775312936 169.980334218696 133.068139315988 120.517638567512 121.77721265709 148.148690579624 152.996876512288
"20/09/2019" 114.799600359727 127.776819038107 147.741183299797 162.18526532292 133.693924536032 137.721011036448 154.017135914899 159.88568275381 156.843730431833 165.17560984943 167.449244701487 159.857105870188 159.303858760506 156.940567718387 169.88786309098 149.901574126713 130.211815549464 123.542552187593 169.648082267126 116.84611995767 133.274795546281 164.601703178251 162.159205556455 192.427575746965 152.647574742627 121.679396439304 170.036443992747 133.113930104597 120.540394783253 121.819834511433 148.189769786366 153.052386818093
"23/09/2019" 114.851963710127 127.850230939162 147.851676444401 162.327136976271 133.831303400162 137.814287000848 154.144607481714 160.027476795805 157.012927916551 165.349888037415 167.624323815127 160.027191762459 159.470648667168 157.069282678451 170.055504380315 150.053954244987 130.29212738949 123.670360643812 169.813460487703 116.905887903285 133.410137378446 164.772153858427 162.32895330316 192.597318801475 152.813636848032 121.808729739408 170.206170744261 133.254184486015 120.607693434163 121.963494015959 148.310703237329 153.217625044234
"24/09/2019" 114.869362592326 127.87466066808 147.888455541757 162.373538372476 133.861632975101 137.843413518201 154.186551878755 160.07227141125 157.069373207712 165.404131551372 162.636361347224 160.081231957908 159.528288556765 157.115835067775 170.126907956969 150.09244566778 130.317265734909 123.713947530997 169.870612644097 116.925785701763 133.455571939078 164.830712867002 162.387445009311 192.654420335515 152.866548674215 118.506810371218 170.264500361757 133.315473380266 120.630189495843 121.991785046831 148.351489831047 148.626256546526
"25/09/2019" 114.886668141042 127.899175581056 147.92536734279 162.419790381242 133.906891060471 137.876135974836 154.22852261206 160.120931462118 157.124111357639 165.441166254268 167.740550586078 160.136061825009 159.583857122466 157.168899454059 170.166912338558 150.143439529771 130.343311288039 123.75698830999 169.927999630725 116.94568496096 133.500551573599 164.887129560813 162.445257952201 192.709699187069 152.92342189419 121.895290204163 170.321104983706 133.353375757207 120.652650678001 122.036777629655 148.391605057729 153.327310035753
