"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/04/2019" 133.479271576533 130.016796841134 119.857694445832 125.079337052231 133.945329092294 135.156479334475 128.340867665487 126.065322149069 133.725435378005 133.399047301585 130.731357420183 136.217323760609 128.111502213181 130.956128963045 131.490732624102 125.35105550142 121.102760172142 86.2300259834462 127.307913466317 125.147021494529 110.299596427667 124.042733695698 130.37847687483 86.0561061398138 92.8494847940478 95.2766677444923
"02/04/2019" 133.502298088706 130.036877251089 119.864669628027 125.030639926419 133.958913884261 135.166185198222 128.349480771097 126.082289886501 133.741320325184 133.409757632802 130.736633325353 136.2290797269 128.116469564177 130.980164614626 131.503682722469 125.358957297477 121.106728146096 86.2396129264826 127.316881232227 125.156285967035 110.249604774863 123.95769742129 130.395417880878 86.0648079933158 92.8552762296951 95.2858185018716
"03/04/2019" 133.616776721802 130.1052963757 119.808157399858 125.043587759525 133.97548676148 135.165383077692 128.325878493872 126.224556748366 133.76919840543 133.421940916293 130.717542833768 136.206718596641 128.079390851353 131.111449883134 131.528360218332 125.317535384962 121.049000822547 86.2385602488334 127.272000362435 125.106914130975 110.201873593464 123.901324605371 130.432311943722 86.0512094349081 92.8483975366726 95.2723592021149
"04/04/2019" 133.379497369432 129.965202308631 119.938957013049 125.01842049327 133.941061144003 135.174422067142 128.38473111606 125.899036080383 133.728931022671 133.401577979129 130.773917514332 136.280317799768 128.173488551734 130.835463723972 131.477533916704 125.415130630146 121.187082210495 86.2504042321284 127.395369298857 125.232745814881 110.109405247539 124.051891786504 130.351076638582 86.0897840816113 92.8784398877355 95.3224541370234
"05/04/2019" 133.616491136752 130.086314894543 119.740901503877 125.020798740728 133.931138965933 135.113626083579 128.267835589652 126.233457039147 133.734515080723 133.375895276159 130.660398618717 136.151551514262 128.016168519005 131.118594922783 131.487935937274 125.253835070048 120.980413519533 86.2048321512649 127.210994900612 125.043639664708 110.154246951639 123.85890871729 130.397772501189 86.0130099683531 92.8098557708077 95.2337454354641
"08/04/2019" 133.544830556879 130.073476505304 119.880094443258 124.987549432988 133.978058685151 135.180957994676 128.3643980407 126.098547012201 133.779492018629 133.425097163272 130.747574524104 136.264828438447 128.127628050485 131.022889957525 131.521289525745 125.374241783163 121.117482764082 86.257567716014 127.348999728653 125.184613731181 109.98927306646 123.871958743899 130.419651471715 86.0822583424389 92.8679276435755 95.312856698891
"09/04/2019" 133.515300784017 130.063336580313 119.921865137515 124.981177031101 133.986973449731 135.197214458237 128.390979065641 126.045079190726 133.790169126266 133.435136606297 130.77140350836 136.299133086412 128.159791202137 130.985052420158 131.525731678189 125.409185675268 121.158743073841 86.2707100189209 127.3921976213 125.228124799545 109.947365707423 123.888800982715 130.420023515933 86.1012518505604 92.8831331235151 95.3363557402903
"10/04/2019" 133.465558962804 130.033459391311 119.948420619481 124.977642108479 133.97476777209 135.194028354906 128.399840507709 125.966259332047 133.784923705734 133.425313970198 130.778800425418 136.319788011453 128.176111830851 130.926437457416 131.509410989416 125.42744754876 121.185658325016 86.2714507006329 127.423866014591 125.258568797322 109.868473838471 123.92402595228 130.398622045103 86.1084093749128 92.8866166517006 95.3501816413351
"11/04/2019" 130.887818467859 131.331509235716 120.674177397047 125.233702239596 135.122946459631 136.287228912876 129.341678089813 127.391370920425 131.115900817757 134.559769680271 131.768913274308 133.458235599923 129.066444812139 128.443521447826 132.678369292657 126.265759680912 121.928882556918 87.0054924954513 124.715166687206 126.023417890889 109.868912329479 123.754999045806 131.596259249313 86.7755480253671 93.6522151135474 93.6834157055841
"12/04/2019" 130.752178885404 131.265633509061 120.79151516356 125.265173668406 135.13180887918 136.317653526626 129.40749309272 127.249541489897 131.108694353403 134.570070536824 131.820627126447 133.527829058875 129.147571196468 128.288880192752 132.671807161924 126.359961498715 122.042140582788 87.0277843690442 124.816229148566 126.1343774787 109.785534218831 123.831312552676 131.577084543637 86.8183118636977 93.6780432503014 93.7272847357833
