"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/08/2019" 132.033392137347 128.580491932157 120.50570406868 122.589714742907 135.610050658438 136.637717597453 129.512753507206 127.778638643798 131.719861956999 135.03575645944 132.017541765021 133.596135640202 129.138425042778 129.588422343392 133.271496578434 126.257502501292 121.787232264477 87.891496278394 124.667231890383 122.483077949631 104.864732923533 120.17000364492 132.294951380831 87.4054941135735 94.4041767332048 94.2355048181384
"02/08/2019" 131.670954807279 128.351887439673 120.724697872443 122.816247328081 135.568774622593 136.645610150824 129.607223412222 127.59615543517 131.632497376686 134.995997145375 132.074201581743 133.691234653437 129.266710529407 129.228721265233 133.19257592098 126.420434907472 121.994029332277 87.8853690461928 124.839253321474 122.678160331655 104.742024099463 120.440561492957 132.187291923536 87.4527286094613 94.4041759613569 94.2792902522568
"05/08/2019" 126.824063630605 124.555276098626 119.90453909895 121.715713734938 132.799728958005 134.151572079457 127.793534493114 122.853541249297 128.642648964998 132.235799940228 129.970005113897 131.80445843129 127.671278923236 124.161873538278 130.227777858899 125.113739755144 121.049135057238 86.2182377676306 123.612967239606 121.645694598402 104.460873922092 120.558365633368 129.09976975395 86.1352723808084 92.6416467844795 92.793997320897
"06/08/2019" 125.466370325926 123.013123005075 117.916923692405 120.893225229377 130.948745995142 132.213085442075 125.839155069207 121.765174081419 126.883402449587 130.380328380394 128.023111446391 129.782758219276 125.670124549169 122.914947466612 128.449085939698 123.11736587088 119.044691124421 84.9225358637091 121.609149521577 119.639508935301 104.280562041916 119.813908356624 127.393246856869 84.7986602018514 91.2482177974017 91.354800165972
"07/08/2019" 131.728076424634 128.388647804563 120.718614883519 122.799204720264 135.59061029415 136.660140362666 129.613038629796 127.673240170699 131.654426526759 135.015372335188 132.081865298073 133.694220720035 129.267206126286 129.295700903888 133.216924937553 126.419772989774 121.986208671985 87.9001973687515 124.833458241937 122.669581090119 104.525460683454 120.369736565228 132.218916811945 87.4624299238769 94.415835551647 94.285527894354
"08/08/2019" 132.110459146367 128.537245614461 120.421888611633 120.227297345725 135.551574066517 136.570498258074 129.433227311577 128.608887209987 131.659726271668 134.97323953794 131.940401025024 133.516331592021 129.05378885983 129.812572619724 133.213018054102 126.174001755077 121.697810294685 87.7664713795517 124.578710688746 122.393757749211 104.473115717325 121.935567514134 132.246272779738 87.2941237850805 94.2883804755518 94.1272065909802
"09/08/2019" 132.149045322288 128.555986626322 120.391981326776 120.232244636897 135.54999917792 136.56263346344 129.416113550265 128.656906037594 131.662137856289 134.970818009267 131.926739207583 133.498060281442 129.032379127812 129.857773045824 133.215381713283 126.149698881229 121.668199768438 87.7616672695691 124.552221109434 122.364764315763 104.419133891645 121.925227551157 132.253241761744 87.2839344723986 94.2820102435389 94.1159675532598
"12/08/2019" 132.135851090988 128.563543609437 120.450800012832 120.133535111142 135.583266430586 136.599681314518 129.462232105307 128.622268889221 131.685948541472 135.0023822513 131.967218277274 133.54210616362 129.080594132695 129.836862136785 133.243271832417 126.203205110281 121.72366102561 87.7945571697419 124.60288397012 122.417130865181 104.300143858772 121.808800760446 132.281183835328 87.3214871138237 94.3133067952566 94.1502461263075
"13/08/2019" 132.077967241875 128.517432140379 120.440440755918 120.120351228095 135.550915786442 136.569675014255 129.440326886216 128.577204257789 131.649326619227 134.969392587422 131.941098375931 133.517879799142 129.060435666945 129.778327187719 133.208333799836 126.187230861663 121.710951355879 87.7758084754689 124.586153259882 122.402377790199 104.244907313471 121.798750748297 132.246048073455 87.3068434821348 94.2923006429555 94.1319995070923
"14/08/2019" 132.127443751951 128.553043870916 120.439466814781 120.103192584708 135.573059719057 136.587230669753 129.450142490381 128.622002700607 131.673467329005 134.990686324373 131.953638848778 133.527181704129 129.066905909977 129.830711144354 133.232954604543 126.191295115479 121.710236978484 87.7893943686968 124.588042867174 122.402033489785 104.207434357653 121.765347403596 132.274163409354 87.3160625976848 94.3052674519284 94.1410427846578
