"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/01/2019" 135.34009486466 130.295789969345 116.08659450088 126.071980481095 132.394075286928 137.005302161337 129.182557974421 132.58679731007 132.606168800301 135.677311255202 131.978685662488 133.36151749369 128.617952894123 133.297576129794 134.107522587874 121.999335179862 120.752999631497 84.7304039988724 123.851839179937 121.523756954347 111.867310203619 124.543663407167 129.508905320146 84.1292305272539 93.5252488523617 93.2859811320252
"02/01/2019" 132.8750093981 129.707197957098 120.289601706333 123.947137741473 133.966947681122 139.077676282348 132.121856959913 129.143881310597 133.610704906009 137.208937040838 134.556324485563 136.388685267173 131.934907214888 130.248603782154 135.184801906905 125.693638126166 124.813109022877 86.3095611838236 127.605483261406 125.501684093247 111.909437463271 122.900365156674 130.294643219735 86.2095163171587 95.1871267906737 95.3861413091902
"03/01/2019" 134.954480508389 130.041450735397 116.309467023032 126.325578201854 132.351093685235 137.004776713284 129.272703523196 132.405966711723 132.505523793258 135.625694458705 132.031285184182 133.455338465766 128.744072391901 132.927028762362 134.012673500077 122.169217811195 120.956697955013 84.7199770173836 124.023940491105 121.719151754661 111.974395825616 124.869887553274 129.389874144948 84.1761534318632 93.5179924337887 93.3270338876303
"04/01/2019" 130.906065582069 126.724277991871 114.936761955797 124.059380348472 129.737330015734 134.438948823133 127.174034339267 128.394771417296 129.681102716292 132.909086464878 129.746568382841 131.289528212021 126.780962466117 128.757326519618 131.17929895914 120.495930792325 119.419431388905 83.149033055447 122.315673571425 120.139215088051 111.647384396817 123.155653073119 126.568938958959 82.8044766922584 91.778500599822 91.7532702898287
"07/01/2019" 126.391747139443 127.389338739645 130.359884317123 111.660686141381 136.383559118355 142.894283448602 138.333422240562 118.88643487505 134.811828196651 139.699894078707 139.702295710034 142.693055778525 139.186086815009 122.305875876642 136.627599008437 133.951525912794 134.526685354113 89.4685232887138 136.173350832733 134.805081087198 103.420269072646 110.417896472969 130.938684049305 90.5636357376833 98.4971592063323 99.7298994264036
"08/01/2019" 131.520504398312 129.361915204928 122.613713132269 121.599460551361 134.804896616937 140.017462052505 133.544829755277 126.782230843944 134.05109374419 137.862951911834 135.807411767035 137.916128821614 133.594488694331 128.53090873398 135.594553294715 127.712286311648 126.91979566593 87.1993333195513 129.567481701182 127.615918036217 111.714505014883 120.751671427622 130.70108641806 87.3447300027897 96.0344777887298 96.4749077475621
"09/01/2019" 133.640295445809 129.65233469719 118.217220854773 125.633486084481 133.023968360272 137.871839769691 130.554281958162 130.702467952239 132.878502193805 136.237343640986 133.145659950634 134.78556778535 130.205480290804 131.335064415132 134.408039342814 123.845297965089 122.765568281679 85.4210362768811 125.699422236271 123.502620526515 111.623728924711 124.489787279935 129.679822429101 85.1132351070067 94.2346810199783 94.255003458221
"10/01/2019" 135.145668087407 130.340037506145 116.705732708017 125.810535312149 132.71249912361 137.396332996074 129.672851377568 132.25352938891 132.857499303922 135.999817560945 132.426533874085 133.863942736968 129.152019960565 133.026255870346 134.371842415365 122.566509737563 121.365146462586 85.0137925813062 124.430989774837 122.125700268094 111.838155716443 124.312824230121 129.72677714192 84.4736747761503 93.8284658748647 93.6419803024194
"11/01/2019" 134.46482408636 129.340713383378 114.99013996576 125.52785121445 131.299396920354 135.875838431445 128.067932062155 131.86881111179 131.553611549788 134.584617900655 130.855373862736 132.202251711537 127.485548503521 132.479429239576 133.051005308206 120.87809140384 119.647117676187 83.9726185428228 122.728320023166 120.405679409372 111.762501013134 124.047101438019 128.479072023314 83.3576275407534 92.7129555456929 92.4550659327356
"14/01/2019" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15/01/2019" 135.263955813532 130.265116109798 115.941901318773 125.419668434783 132.307583397316 136.908587476859 129.069773603771 132.214875021212 132.539537520446 135.596106435466 131.871947751196 133.24050128841 128.494339525578 133.149383144335 134.04062573326 121.864538369787 120.61434881177 84.7050881612427 123.717955292092 121.38465653188 111.586415264118 123.868331859771 129.44809552979 84.0821830832931 93.4877863433186 93.2300103643372
"16/01/2019" 135.502596870126 130.441633045961 115.908749098633 125.518316409615 132.398600287668 136.977484253832 129.09487139435 132.416748735374 132.651208507827 135.6863755825 131.915980498248 133.268605308472 128.504495976103 133.389752558613 134.148285382923 121.857671138489 120.587017113481 84.7506612725164 123.707334305152 121.363414671178 111.581224353432 123.944556373424 129.568797551026 84.1032382862022 93.5349670074172 93.2574178175145
"17/01/2019" 135.544099131395 130.4956962084 116.027025369877 125.61147198915 132.486581823208 137.07453674496 129.200764156687 132.481834516294 132.729817172609 135.77441401169 132.018207076103 133.378486116878 128.615883662489 133.433929732775 134.228319456479 121.971983933028 120.704882090097 84.8110951972829 123.822849966504 121.480985259951 111.625182474943 124.039339357982 129.642766858628 84.1719857141508 93.6015028624109 93.331333068687
