"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/02/2019" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04/02/2019" 133.978443784587 129.530495808515 116.958472067071 125.607563406401 132.343251891426 137.132786380905 129.626100710017 131.269961378648 132.37870577051 135.628686147675 132.285074068526 133.805020463297 129.180925553058 131.821232602983 133.913608066628 122.686147664008 121.584440144244 84.8415461103953 124.565190175067 122.314646941878 111.971457785851 124.284534920917 129.20543903623 84.4224472065394 93.6495063595923 93.5618048287271
"05/02/2019" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06/02/2019" 133.674894746727 129.043702205223 115.918408812866 124.781483922922 131.557075401727 136.278973783991 128.698527623055 130.861804659244 131.677503301719 134.850013630478 131.388135752177 132.842463845899 128.206945305725 131.548621479739 133.201316970404 121.679972450126 120.554050483485 84.2879581227257 123.554734543182 121.285543107831 111.655994199482 123.390645121432 128.538647797008 83.8040400088186 93.0497005044965 92.902588798838
"07/02/2019" 134.399329313287 129.655950692611 116.188398678094 125.199856497386 132.054559817772 136.747955041071 129.082706161042 131.522428077204 132.199783703408 135.346343211619 131.809540659665 133.245751781223 128.569058921055 132.277247226668 133.717876380064 122.006510155311 120.838469613457 84.5936207744754 123.875481788412 121.584779679855 111.693729669422 123.746095621994 129.069752726928 84.0710655364708 93.3767266018751 93.2004845844733
"08/02/2019" 134.33021395879 129.786225004766 116.767809796201 124.923403846078 132.403596529197 137.154819381019 129.563991393307 131.27294680967 132.494630786023 135.698093296135 132.259371454094 133.740477121957 129.085604476421 132.130529177103 134.022555832145 122.547699245575 121.413002138621 84.8907325002181 124.426122571246 122.152636689014 111.610387319583 123.480940234027 129.337597278055 84.4138086864922 93.6924375649749 93.5566350765251
"11/02/2019" 134.339491134358 129.747421671138 116.688834150806 125.230117300875 132.344014780112 137.088917991653 129.491251010301 131.432282182813 132.43887021421 135.637239521401 132.189250908517 133.666433604702 129.009741632896 132.178924813254 133.965904606318 122.471053109243 121.333312866508 84.8263292992155 124.347837806454 122.073301101674 111.75731426685 123.803362426957 129.284617281599 84.3490950137337 93.6282992733107 93.4915622081456
"12/02/2019" 132.912553477737 128.760698810884 116.94871030307 124.909707011582 131.868716872607 136.730650472965 129.389679549446 130.135594949714 131.833350083417 135.154689290632 131.97522223279 133.548783578126 128.99676414843 130.680695330461 133.383739145053 122.571105341702 121.54890685985 84.601080341762 124.461297860549 122.252919476374 111.971008312235 123.730685992165 128.633726624941 84.2629678284335 93.3889127122996 93.3663160680149
"13/02/2019" 133.476251211333 129.450637826378 117.906180315197 125.066589342475 132.728393275277 137.640030815332 130.319161342624 130.499072398585 132.647995302879 136.018447289001 132.897127677751 134.511981278212 129.952368499917 131.17390691005 134.205870499846 123.526351403101 122.513229716887 85.2207358851531 125.425085094882 123.220640526303 111.966053960411 123.841641850258 129.421163655338 84.9088463703625 94.05320358286 94.0577239519911
"14/02/2019" 133.334370647565 129.458813505291 118.263467742099 124.661037984539 132.891493930296 137.849859498275 130.591810010527 130.187647924073 132.775667713752 136.187589007407 133.143052575477 134.790841141559 130.253027697805 130.970506821135 134.340884931627 123.846062659499 122.867310925897 85.3814996651018 125.755746786891 123.566780620995 111.922750815326 123.434951165209 129.527690372866 85.104723814107 94.2243614511907 94.2590919190216
"15/02/2019" 130.246824662936 125.658809587855 112.977046993571 124.58576677458 128.267900272177 132.698136290364 125.338052488709 128.364843340283 128.203546772476 131.307116910819 127.90746093497 129.33405121316 124.814516788054 128.312099872424 129.73069642082 118.624858586245 117.376715632136 82.0891017045312 120.286638179219 118.090130389316 108.23181575067 123.846635062373 125.258478753292 81.6122150706125 90.5476141508554 90.4168789404825
