"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/05/2019" 131.361067454532 128.03301434868 120.96163893059 124.818473874918 135.530481871668 136.67788018568 129.690913889522 127.670869319478 131.519303855663 134.961144717942 132.131161250672 133.810103386432 129.400203763347 128.897563131144 133.089985094777 126.58608146205 122.218400029439 87.3094747498385 125.020001320931 122.887741892543 108.953061515414 123.130054242863 132.022787600541 87.0544051219634 93.9585340130982 93.9682544572128
"02/05/2019" 131.137146034771 127.916268919553 121.143417272375 124.845982998409 135.538207903857 136.71859178006 129.789035640134 127.460145741622 131.496489718519 134.969748034437 132.204332169498 133.909928592006 129.521309841075 128.649352533783 133.072397446954 126.730250688693 122.391874443104 87.3384674909899 125.17067030846 123.05407547384 108.898168378035 123.208658422148 131.986656397221 87.116943319886 93.9912628474062 94.0290221823233
"03/05/2019" 131.264353763222 127.98100167354 121.032940714072 124.786737544878 135.530240146374 136.690454060415 129.727509506762 127.572672801388 131.505481774141 134.960731322613 132.156785646372 133.846100170759 129.445656944528 128.790249134575 133.079291526739 126.641734063726 122.285565862554 87.3215381126423 125.077109014427 122.95114958716 108.870112345615 123.108371184313 132.005560900533 87.0798674715374 93.9707266164051 93.9913055138736
"06/05/2019" 131.275313517007 127.986211468836 121.033504778282 124.872213907293 135.534815530874 136.693039952775 129.728941767269 127.618159815251 131.508485761822 134.964009639096 132.157742335108 133.846287248331 129.445663621015 128.807616225739 133.083634977074 126.642621562113 122.284518284989 87.3227833062764 125.075862068565 122.949528141447 108.726557562375 123.185319488632 132.01285547168 87.0812096400225 93.9708374184756 93.9908148596809
"07/05/2019" 131.356827866376 128.025765631975 120.959514601874 124.870611446826 135.526942132016 136.671836409702 129.686184185986 127.70405694197 131.511567344681 134.955259562248 132.12393428566 133.802006046735 129.393658943202 128.900375132836 133.08532200689 126.58255062256 122.212855753692 87.3090783705367 125.012440498382 122.880178387459 108.664137342233 123.157528617017 132.022884104668 87.0547453721923 93.9546376643408 93.9636522430851
"08/05/2019" 131.29179468974 128.009223162231 121.070334839716 124.8312624779 135.566428365135 136.725670468912 129.763326994472 127.618545792055 131.536445698038 134.994860744042 132.190614678822 133.880277383305 129.480422258054 128.82020816306 133.113332937382 126.678724192826 122.32033317132 87.348951180229 125.110505204437 122.984298973467 108.637157679376 123.129401456352 132.042823996267 87.1082028191369 93.9968601324741 94.0172437318224
"09/05/2019" 131.634732626063 128.159747923414 120.809393622489 122.262985496492 135.545090206192 136.655988026537 129.610555071419 128.386371926265 131.55654550879 134.968705575395 132.073573089901 133.731944669208 129.295688238377 129.259845015606 133.12263341756 126.465089530352 122.064086407665 87.2403923932661 124.889371720195 122.744506963912 108.604246724135 124.797450972683 132.087070373569 86.9689490960041 93.8921653420968 93.8852410928445
"10/05/2019" 131.656663454604 128.176589801681 120.813613054721 122.251158822648 135.558303618574 136.667081974175 129.61879605221 128.408207923471 131.569339740297 134.981147722775 132.082357668885 133.739264980849 129.30227646779 129.2831248774 133.136480134479 126.471245638914 122.067872494617 87.2496752959475 124.893693756182 122.747813622182 108.53921778975 124.77562919512 132.102939291262 86.9765730750158 93.9006790873016 93.8919876887649
"13/05/2019" 131.613090176583 128.139896787207 120.799703082179 122.183999919718 135.531862056842 136.63949935768 129.596765316418 128.363708869416 131.536768460663 134.952433392629 132.055667806231 133.712039194938 129.27937635895 129.238085584677 133.108114455834 126.453217024679 122.049955600885 87.2367582054186 124.871182946723 122.726080450986 108.404003683217 124.706360373134 132.078290840429 86.9657779984414 93.8828550790868 93.8742803018792
"14/05/2019" 131.622566885268 128.15376028896 120.824950900926 122.165566790757 135.552740405146 136.660964552457 129.619740567006 128.367084665264 131.554465116492 134.972555097653 132.077233653014 133.734338343275 129.302506441409 129.245475293662 133.127441678494 126.477673329058 122.07413565796 87.2535489501026 124.894166362701 122.749179365976 108.348114160321 124.683040430263 132.098137506334 86.9835182400112 93.8993598630541 93.8911946960914
"15/05/2019" 131.696827458709 128.193615154915 120.775770151981 122.106980225706 135.556468762128 136.654512062382 129.595951189024 128.441541619926 131.565979277962 134.975779785952 132.060388940239 133.708817686611 129.271429564196 129.329572533166 133.138743264528 126.439990505243 122.027333036681 87.2502556115817 124.853205423366 122.703135475433 108.335249024467 124.589177463496 132.114943226423 86.9696239137081 93.8944887845765 93.8771707905226
"16/05/2019" 132.054169078102 128.495778784526 120.916313414843 122.059641235872 135.808030831401 136.893411470801 129.794603410297 128.743809197912 131.827755640894 135.227253479769 132.276529275237 133.915188330358 129.459273204017 129.69265416584 133.399328230265 126.609976214712 122.176305671005 87.4146328798776 125.019250255948 122.857664933315 108.285402618848 124.450087434808 128.630050424573 85.0510966467739 94.0683451710253 94.03555984757
"17/05/2019" 131.813059703504 128.381363689791 121.134389448659 122.086482812152 135.836019048885 136.956346365367 129.92079616031 128.47869276231 131.818631289886 135.254484194413 132.374008582771 134.041829337788 129.609448280887 129.413519621671 133.398048620492 126.787011427525 122.38310388733 87.4623058146493 125.200622392156 123.055825918724 108.226027703722 124.560955055685 128.608242992393 85.1343529163349 94.1184995897373 94.1161798634758
"20/05/2019" 131.875127842556 128.421916462708 121.119864905565 121.992157220495 135.857555361109 136.969393360101 129.922628248401 128.53155301114 131.840895957408 135.273811377339 132.378533762294 134.039702715278 129.6048695329 129.480632103161 133.423478023912 126.780048624263 122.367850749631 87.4772410889583 125.187533156006 123.0387874453 108.082819669907 124.430113630382 128.630327041454 85.1364106616327 94.1299893666843 94.1203349308424
"21/05/2019" 132.81778549522 128.909195912067 120.362296955023 121.640814971433 135.81258908076 136.789084954481 129.505411450038 129.381569031354 131.929207808189 135.227605628105 132.065990012787 133.617847954537 129.095279351824 130.526997889039 133.486476878582 126.174130423846 121.64673471607 87.3570787756232 124.559534406693 122.348046831768 108.1096678285 123.800135349491 128.769232759867 84.8742175124858 93.9945138597267 93.8670265475664
"22/05/2019" 131.875144108963 128.400500501762 121.051362245354 122.002090461098 135.815788281547 136.918761634829 129.864440086333 128.557884514347 131.801056531635 135.229679754476 132.321649281823 133.976347990273 129.540684785473 129.490032617726 133.385849951892 126.715470330249 122.297130430119 87.4450611569896 125.117708976003 122.966514478923 107.937495452935 124.432423183273 128.593041892421 85.0950048949256 94.0922941232123 94.0769397516145
"23/05/2019" 131.900724859055 128.518486753586 118.065153853303 121.855384543795 136.034416936641 137.185215140244 130.15597947581 128.297873261997 132.010008099415 135.465805451056 132.612035866107 134.29203591143 129.862809560887 129.437233566856 133.588207065339 127.030737144625 122.645397800699 85.5594970896725 125.457745727968 123.313131582745 107.917108475896 124.537986802845 128.757560672507 85.246977811093 94.2503873839559 94.2639099938487
"24/05/2019" 131.964603502231 128.554315193007 118.013272869191 121.814933667691 136.033391871378 137.174413704726 130.128577392443 128.342117642598 132.018136881992 135.464456800866 132.591900671403 134.264168033434 129.828645017885 129.504559609051 133.594646983104 126.989900196532 122.595916662226 85.5546620468385 125.41509450727 123.265971714141 107.872935756436 124.479292088782 128.76980527951 85.2318495488931 94.2439190351582 94.2488833126867
"27/05/2019" 131.922758127681 128.541040977 118.059811022629 121.667162638406 136.045791931588 137.193318601231 130.159392484704 128.253054734902 132.023938430924 135.476880411742 132.617393674093 134.29476289633 129.863819084876 129.44937138248 133.601986956876 127.029780621537 122.641169261926 85.5762943379783 125.45573448471 123.309502629897 107.75108105501 124.32118645221 128.773045502817 85.2583205313934 94.265023412897 94.2742719954293
"28/05/2019" 131.981132211928 128.593222979471 118.069484320389 121.571275015097 136.082329656153 137.225838804075 130.182902777918 128.258426679035 132.064343144837 135.513352883651 132.644971479373 134.319236460611 129.88426759358 129.500045635072 133.641612320808 127.046192830954 122.652605318588 85.6044743163752 125.471368978895 123.322527471686 107.695628188906 124.207926966787 128.814971545024 85.2803876068094 94.2932100810272 94.2977062215059
"29/05/2019" 131.869085121419 128.520072816963 118.127874210244 121.614690700897 136.063552283156 137.220687569288 130.203770738577 128.191412721306 132.031364070556 135.494482122602 132.65397941242 134.339192111048 129.914687587069 129.387723871606 133.611824534404 127.087770542948 122.70707583168 85.5989788603624 125.514688244722 123.372829270016 107.634739110466 124.266905211151 128.776574534608 85.2899604717265 94.2885920196486 94.3055064898768
"30/05/2019" 132.541184261333 128.973170267556 118.126987437149 123.295827222686 132.481026259181 137.46312324466 130.342965403691 129.309783525975 132.353593606058 135.779444911069 132.834062026452 134.487181552665 130.017646667111 130.166143252899 133.931197207255 123.655414596851 122.718348290555 85.6915818376815 125.565734247391 123.397996948131 107.683931783364 121.749540299796 129.118543827174 85.343633564633 94.4003660752531 94.3854490565813
"31/05/2019" 132.502981406876 128.953007718927 118.155442724371 123.318532156926 132.482063377076 137.4694559961 130.358947793515 129.276254221421 132.348706442425 135.780631724037 132.844931915582 134.50193364138 130.036451633655 130.123364006682 133.928664065428 123.67823550349 122.745794611189 85.6959968529119 125.588649060442 123.423330403384 107.621845260068 121.785947881732 129.111867190056 85.3532337874848 94.4051285751079 94.3944715981798
