"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/10/2019" 129.967292909546 129.648808753297 127.163313637755 117.095306200867 136.673352949669 138.756934940402 133.460961192522 119.794381562407 135.664053754701 136.157296780045 135.185311714013 141.380346224189 133.846710855895 126.427435165943 133.588421115765 131.682838180788 128.215728070986 90.0159392787796 133.799964718993 132.046975382828 101.948472385626 115.759610557106 131.993541191937 90.4048267888529 96.5753663208856 99.5240902963621
"02/10/2019" 133.783842725954 130.440923919482 119.559649935151 121.408167577656 133.970869965616 135.073284664841 128.235137459204 125.991583858089 133.854457838609 133.408670633323 130.626472059417 136.040688189782 127.923453237326 131.350839303098 131.607227061975 125.14474891196 120.807848038782 87.3498442193727 127.074000365766 124.882700719432 102.117733907204 118.831708606764 130.601156914728 86.8714394483591 93.7006630333971 95.9107626183058
"03/10/2019" 126.849072444976 128.625114557955 132.939304772939 110.945597365734 138.145998945659 140.970130495331 136.985393640532 114.808010175029 136.471395366051 137.64837463019 138.114449390203 144.976990635088 137.954515030783 122.587810922758 134.51651960911 136.387000965529 133.753158084273 91.7409993980772 138.675114525707 137.363685674416 102.382317016793 109.402274773377 132.520094293777 92.7936894621918 98.3900022560337 101.921507371698
"04/10/2019" 133.812298629914 130.456319893009 119.537881346419 121.333688873195 133.968386417797 135.06676955059 128.222515677044 126.012528055153 133.859410927091 133.405981696033 130.616806671834 136.031309429036 127.908223725782 131.383302649101 131.60777872479 125.12700254753 120.786712483021 87.3502954960244 127.05887028526 124.864940256769 102.03067206587 118.717818309869 130.604749498513 86.8672458123695 93.6995912806506 95.9079416757437
"07/10/2019" 134.044436225343 130.617779123676 119.507964662599 121.29373500668 134.050970540341 135.129866459348 128.247256221988 126.235532252696 133.966067907365 133.487573720925 130.658678516316 136.065097899416 127.919292073313 131.63406990905 131.704329942112 125.122479454574 120.762001889859 87.3977369553447 127.056561952054 124.850818156105 101.900190357055 118.582955361104 130.713628498524 86.89285243044 93.7474251416257 95.9419563308632
"08/10/2019" 134.009683176942 130.596110023779 119.522099308343 121.275760990129 134.042633729345 135.125505172684 128.250581406016 126.205132487234 133.956699323261 133.479365376184 130.658834796151 136.070745755202 127.925473552475 131.597303342342 131.693022518327 125.131660511302 120.774982329877 87.3968264562678 127.068885586802 124.864447336678 101.849184185339 118.555133577749 130.700330750461 86.8959123845632 93.7462440828211 95.9455317637246
"09/10/2019" 134.046750437369 130.598919935213 119.4384005421 121.255955523752 134.004978899784 135.077501664756 128.187870230893 126.256401412122 133.931299533499 133.441194525401 130.60253635117 136.008980325509 127.856039214852 131.646503012917 131.663176803814 125.056792350578 120.692613422514 87.3653069424041 126.994636513725 124.785739354494 101.808158363569 118.505630189534 130.677326834223 86.8549876093564 93.7115190981722 95.9043198670471
"10/10/2019" 131.845482639109 132.094355796514 119.878629509052 121.41897909952 135.12170619254 136.098048165581 128.966518208823 127.830114849163 131.32233752345 134.553325752877 131.48742691478 133.017902283422 128.562141674644 129.548398126548 132.846012977874 125.661845697602 121.172155449446 88.0595141920258 124.082099878484 125.30919454561 101.7572457121 118.347847663399 131.913440614022 87.4260869807206 94.44331753157 94.1675852296964
"11/10/2019" 131.846117840867 132.113411216013 119.93796551815 121.394906844225 135.15908408806 136.140755114032 129.016218474039 127.829463746224 131.354694604423 134.590772134291 131.534215309969 133.069289764037 128.615217994234 129.545678026255 132.879024132248 125.717399648871 121.230739188446 88.0911137662905 124.138693266858 125.369277567935 101.719204036187 118.304779895168 131.943484019746 87.4619823047975 94.4766321071932 94.204798651016
"14/10/2019" 131.80675250022 132.098125395534 119.971114275255 121.34033042804 135.159491479898 136.146862397177 129.033649854653 127.830391632907 131.349972267094 134.59092298581 131.546929589977 133.087473559334 128.636691301274 129.51200702837 132.874504105455 125.743497813463 121.261639141135 88.1010937779053 124.166386687586 125.4062637353 101.589079080219 118.185890487308 131.937074495359 87.4777276264174 94.485859536402 94.2190526888173
