"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/08/2019" 107.552347736347 120.068405580576 116.98936928177 120.250561397417 93.5953379006709 119.314638324535 121.197845617252 122.393598668603 115.829447379241 122.491097512665 122.772026517369 114.264559040364 114.300687735403 118.548480955996 120.898609854045 105.646826109257 118.904221937507 88.7897520595888 124.737554340558 115.874655590535 93.3548419430123 117.099695274848 120.121891872844 148.656779932896 114.127738805473 87.4594737199393 125.546417105713 93.4950162639198 114.168909972096 87.4403990208451 116.911395760091 114.010404782625
"02/08/2019" 107.542769033974 115.977335119715 117.540380939548 120.609047945951 93.613757149239 120.090621473621 121.733654142651 122.828530783461 115.831876648319 122.745544617692 122.828122092516 114.194742347527 114.244209651354 118.959613218003 121.001724542641 105.67676367826 119.811032155123 88.8695285203916 124.913436144587 116.575199440389 93.411685111053 117.095757271412 120.12202843667 149.184610489985 114.104483419313 87.4708528922304 125.708858148697 93.4547014098096 115.090478263916 87.4917667718687 117.41462663743 113.948476463375
"05/08/2019" 107.546163083599 115.908758758259 117.495523263496 120.581963068163 93.6134443011816 120.086773855603 121.726829607072 122.821712380158 115.851408667063 122.740669606708 122.834657723772 114.202167761551 114.255540789904 118.926237897855 120.991872496386 105.674241232048 119.78406723685 88.8812860936349 124.947120053264 116.538227114849 93.4120570575911 117.103051417909 120.196618903543 149.221875888181 114.139852506144 87.4770306598196 125.774656933616 93.4578124040709 115.047262756115 87.5011686079547 117.388477764964 113.96359871998
"06/08/2019" 107.547562027304 115.898747110114 117.494548626752 120.585431142763 93.6152801993471 120.116209907933 121.758867967323 122.851817433832 115.87575802006 122.762853393843 122.852053979927 114.205179331171 114.267168016923 118.925298828351 120.986808403383 105.673072027735 119.815303334755 88.9000721511644 124.979936982309 116.485598332175 93.4204246684813 117.114997218842 120.219396085261 149.262632273527 114.169030286721 87.4879946408197 125.798836822554 93.4566528998596 115.062058431344 87.5175721445855 117.409241098976 113.979554279692
"07/08/2019" 107.545055241726 115.892032446445 117.658371824659 120.875643537109 93.9932491870131 120.207308470206 121.984456849355 123.134324798842 116.372730475623 123.138157378293 123.337755922165 114.717562341047 114.777971485455 119.176024129721 121.423055145481 106.091418493419 119.823337418493 89.2415334874472 125.434396816714 116.49660360283 93.7801999895571 117.607382243776 120.764252919047 149.628953846532 114.684533486702 87.8519218980627 126.275381488734 93.8657331010639 115.030275294694 87.8655081333469 117.618049920874 114.496096060168
"08/08/2019" 107.640176945734 116.069008453628 117.916146222367 121.120227130416 94.1265651824723 120.552043428147 122.356549439793 123.496858315497 116.622895017207 123.447793775602 123.58780045465 114.861545406127 114.967883321772 119.405782035985 121.566394192278 106.22426059528 120.2140125478 89.4453353256364 125.708981899385 115.94549279283 93.9544691285486 117.813639990102 116.070167949086 149.969414851221 114.919065170629 88.0197416140206 121.345203691035 93.9690129242012 115.236027722203 88.0591601210195 117.968326352931 114.703166966033
"09/08/2019" 107.549283828431 115.83127408158 117.773564627071 121.119393513823 94.3348569543067 120.283378724387 122.190199711022 123.393445773456 116.845332859397 123.482298193041 123.789020332598 115.187706241904 115.253821017155 119.377375236934 121.80630296671 106.466251875518 119.815029209607 89.5636152192471 125.871581706485 116.42926893839 94.1089207621291 118.063314034258 116.467319373058 149.980812940294 115.183231670398 88.1897548368798 121.631920192418 94.2365910573853 114.96821119712 88.1921687258773 117.796315279766 114.981819093761
"12/08/2019" 107.56392921312 115.791584474922 117.724020251665 121.046957522835 94.2261896333167 120.320754510214 122.224154862015 123.410601403272 116.777229090151 123.449644748563 123.704731883111 115.040905783367 115.139935218274 119.30020032001 121.652858061209 106.333343300205 119.900662059281 89.5216095776986 125.821648998301 116.143673384253 94.0307918636376 117.95698601754 116.270810963028 149.956840551199 115.113526769041 88.1188102394506 121.456964584435 94.1058704202789 115.003095193702 88.1429502442624 117.811822687439 114.881203257964
"13/08/2019" 107.494193339907 115.699930407574 117.665457577168 121.02668075378 94.2762140307792 120.262007537154 122.155578660258 123.351887669151 116.816927602182 123.42806980822 123.735940809344 115.122835067793 115.202228772475 119.276282522335 121.71560115527 106.394877301653 119.773023381701 89.5409909508288 125.86983077557 116.297878218677 94.0588603743637 118.007349299013 116.386822445029 149.990601809452 115.178895970602 88.1511388944256 121.538479546005 94.1770749997098 114.896057964198 88.1641546265253 117.728951425597 114.938872265947
"14/08/2019" 107.451479613499 115.728940106853 117.68784882244 121.033335657349 94.2458780215992 120.30338371634 122.21340161864 123.404547121528 116.813124671847 123.454804860065 123.72991386896 115.075102210921 115.174231655926 119.280152727036 121.668662889399 106.35412398298 119.857905415341 89.5437199407862 125.862532966217 116.124693137319 94.0473285426083 117.9858703972 116.308218079982 149.987508020952 115.163331008596 88.1403477961703 121.477422752984 94.1320469179363 114.954775085873 88.1643550382545 117.787311033814 114.9178137571
