"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"02/12/2019" 101.559882937748 115.248826037257 117.956011052414 121.006040863027 94.2115478787147 120.894464902029 122.450960602261 123.491966890142 116.460346106176 123.335088123608 123.381818322659 114.616633831635 114.739805883021 119.341201632266 121.344832577641 106.155068169848 120.195398759996 89.7305690813003 125.659892032702 110.731213381041 94.1110362712858 117.60641647269 115.800297027366 149.539875745693 114.782597928646 88.1497915045818 121.10713724037 93.9360648474721 114.499517981241 88.2881431604221 118.111005234688 114.478006856747
"03/12/2019" 101.510433418442 115.241687340218 117.954146706751 121.014048452072 94.2299567203312 120.907580572864 122.466195598805 123.508636180504 116.491356014571 123.354370887971 123.407869700031 114.642539933072 114.767298307624 119.345802151126 121.363111810412 106.174473558951 120.2038235825 89.7531087871827 125.69599473794 110.659487749227 94.1294678414919 117.632236330324 115.825895973538 149.57527173897 114.819989207809 88.1700119319954 121.126706771219 93.9563142091164 114.499324529113 88.3096298971991 118.117965323931 114.507187367363
"04/12/2019" 101.450484054696 115.231710639409 117.95270228141 121.038574773535 94.2797969209493 120.915463107596 122.493044087662 123.543821616543 116.568171354745 123.402909965822 123.476361251493 114.71374337498 114.840989942848 119.361599244021 121.415064089266 106.228154599884 120.205080893335 89.8052471863074 125.771863252425 110.605476609266 94.1778645407286 117.701541469216 115.896687450486 149.6366485492 114.906232478377 88.2220830258894 121.181914702457 94.0116563831432 114.504238987941 88.3615411125133 118.133711092351 114.583877997585
"05/12/2019" 101.400789481156 115.254534648953 118.095180266 121.277147553358 94.5762625065053 121.025331984892 122.705826314492 118.712504606555 116.972346850402 123.718515418882 123.868545870664 115.112339680619 115.245043262311 119.567757216996 121.753846024944 106.553921459058 120.264780148012 86.7648318598671 126.151323339692 110.532048389431 94.4662061215017 118.093160722766 116.29643289706 149.957808268478 115.326210409161 88.5141630288862 121.532073970467 94.3282093177882 114.526251410964 88.6463189323971 118.326000107649 114.995342322604
"06/12/2019" 101.350825348995 115.228873492328 117.922118973899 121.007273582033 94.2560441226137 120.938767396863 122.490649631471 123.533020520698 116.551251353573 123.380501788796 123.449960597624 114.683738397348 114.813837544543 119.330228768395 121.382526084836 106.20030452253 120.231441461134 89.7968605639986 125.778908424595 110.478402646502 94.1565461434153 117.673789976449 115.865641294546 149.664562288024 114.902738419264 88.2038445624587 121.149546747952 93.9871256476851 114.527013325883 88.3490968128982 118.112902110418 114.559256334705
"09/12/2019" 101.181378957727 115.2221028746 117.866989410693 120.965512363199 94.241135932224 120.982118402681 122.500063406377 123.532399661229 116.563193044763 123.367214227645 123.440926375495 114.670180937225 114.806532708504 119.283450335771 121.353796948033 106.180565911918 120.275378273743 89.8094951621205 125.83230014413 110.296838258727 94.1449045581693 117.662961666131 115.849919732425 149.74793530279 114.943380766417 88.1996491305459 121.122842578817 93.9741082873567 114.581508392927 88.3546447789257 118.083943804491 114.55795168794
"10/12/2019" 101.580687599939 105.174123393036 113.107391764214 120.964139077455 100.604186351041 108.212524400001 126.413384763656 124.237091518228 127.367958131411 127.348952380358 132.432210739508 125.580599338019 126.154185927763 117.681917130516 127.075217221364 112.962409366882 117.644008957836 95.8068874309343 140.096015433535 104.492694492348 99.951741577924 127.522989068334 126.479641200996 143.206787749896 132.525341661356 95.0361352861805 127.537179295925 101.805870002688 109.904342322698 94.5203811308536 115.723454286276 126.571416366211
"11/12/2019" 101.071638397116 115.201974337539 117.800219278865 120.902706713816 94.19849390093 121.005203107069 122.484830097073 123.504761097715 116.53462774319 123.3232300652 123.394433555455 114.619530181753 114.761034007559 119.218853290618 121.294099071685 106.130672877224 120.298372419976 89.7926268147094 125.842469390758 110.167827554704 94.1058372556634 117.615203899845 115.796907685073 149.789585047025 114.939193489597 88.1672005517831 121.063888089969 93.9315334807647 114.618285833884 88.3313561480316 118.036359389115 114.517182609631
"12/12/2019" 101.021902891514 115.158411460195 117.840574968269 121.039757112687 94.417798408477 121.042806046222 122.611667389723 123.667858818468 112.156361318929 123.543171053854 123.690742641267 114.926461647894 115.0754338341 119.323400369043 121.532533548269 106.369329927609 120.290328603123 90.0090934657459 126.144369470765 110.10628519277 94.3182326109833 117.914274159004 116.102613138765 150.030820218191 115.284134533936 88.3898472132255 121.313893161832 94.1715762504974 114.610699919458 85.2519310841123 118.133626445903 114.840968272537
"13/12/2019" 100.962047553016 115.188874197582 117.733021622883 120.836933820858 94.1503782787508 121.054121608864 122.48063564158 123.483064811108 116.50376507391 123.278080199745 123.342854428064 114.560896448323 114.708573430218 119.151942233276 121.228027369148 106.074521219043 120.343060566456 89.7766903034125 125.864287489774 110.038925390886 94.0624757625989 117.560990630163 115.73553932233 149.859871320439 114.938428687661 88.1308167809536 120.998216402072 93.8826073594474 114.676566378284 88.3068503334912 117.991009230538 114.470257786151
"16/12/2019" 100.801277348722 115.192712990077 117.681611424671 120.808708294148 94.1565056672648 121.23302795732 122.571489458449 123.546610773713 116.575160608266 123.306595636987 123.373806581277 114.575540054201 114.736332208204 119.114394298494 121.219306753265 106.075974502799 120.485655300672 89.8419481505938 126.043358427277 109.830626096025 94.0761960412913 117.584122624471 115.745649653399 150.14035425106 115.073401881593 88.1563192798234 120.992421442047 93.8910070518942 114.818990038279 88.354633911732 117.992441476594 114.510219966694
"17/12/2019" 100.752519753816 115.145097522473 117.608664381808 120.749962113234 94.1283187436304 121.261052567844 122.563742842307 123.528201563053 116.571463721736 123.275923067149 123.348287854596 114.547306643292 114.714213333951 119.050419908006 121.174052144898 106.041716511722 120.494414676251 89.8411285604508 126.082748421944 109.765970042979 94.0509185148751 117.557881324951 115.714432121577 150.213666658471 115.099925268163 88.1394186933821 120.948964719693 93.8651954585671 114.842114629963 88.3469480217134 117.945383824488 114.4940237014
"18/12/2019" 100.69274480561 115.115903763969 117.540250895443 120.689527077683 94.0912214854958 121.322479606987 122.568756011561 123.515737046427 116.558984462255 123.241772028716 123.312532386087 114.505478858516 114.678969755515 118.986696830887 121.120077126852 105.997827241223 120.533893712166 89.8373641234166 126.129772023264 109.726645295518 94.0179442756222 117.519755910708 115.669704542018 150.317642970597 115.122794055119 88.1143990127955 120.896091625206 93.8289172869237 114.898487034505 88.3339560526105 117.902664256881 114.465015040397
