"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/02/2019" 107.68387405723 118.884311664618 120.076324206944 123.185052361689 89.7575782845128 118.571707414696 120.706386174784 124.52286803785 115.643874853947 124.70864902544 125.017397346228 114.738707758836 114.248013111403 121.553952127259 124.021230583599 104.791481495096 118.705874264319 83.1267282451697 123.88057632348 117.561881015658 89.3127146401897 118.020579025509 117.221987431403 151.038802515772 110.63313760333 81.3508125906829 124.030502835683 89.1918057368844 113.756899446577 81.3753724431508 118.69821986136 113.538851978519
"04/02/2019" 111.315254068263 116.337656918081 119.261047185949 121.834506345008 89.4323156824417 117.239607519518 118.854993573657 123.632539900024 120.595211803183 123.816982003301 126.89219204955 119.372630264188 120.071175558822 120.306565324619 122.974811489952 104.56263489302 116.409050017835 82.6450456379418 123.143272273748 114.952135358392 88.7574547642503 121.034810752247 120.80124879534 149.104507723055 117.90021299743 81.7326384467999 123.176567466469 90.2203217217317 110.011946850375 81.2286534797578 118.016504196092 121.180692207522
"05/02/2019" 107.683822990887 118.814512951197 120.026904462701 123.157941806425 89.7642339944436 118.505526436726 120.660192440974 124.56487425226 115.705587250456 124.729844820467 125.047265979399 114.758037637588 114.27985064986 121.516917422547 124.010492125188 104.793247109487 118.631110415201 83.1690838112683 123.870934776607 117.564023454081 89.3245782153477 118.045958385006 117.231468676033 150.992597743038 110.648126266725 81.3726607764136 124.020510651112 89.201825356469 113.690355442668 81.4086331770415 118.692739298448 113.581321897306
"06/02/2019" 111.329629838892 116.333382180097 119.237441852653 121.83914912726 89.5163617382534 117.218554977351 118.842781936663 123.640119731912 120.728058421369 123.872010730797 127.015469212113 119.505492981763 120.20252094924 120.297000341877 123.053807160364 104.654487794455 116.398655071725 82.7183901162153 123.241702464059 114.960391165434 88.8332412151893 121.164534983275 120.935221511759 149.120610549847 118.017932211247 81.8229854277247 123.265557756798 90.3240227757157 110.01090937045 81.3092445675837 118.001800505369 121.304271200571
"07/02/2019" 107.546379677548 118.629006533257 120.075561862723 123.400615874883 90.228883220032 118.458117360554 120.854864691513 124.82408795889 116.386408512801 125.134725711954 125.663306972082 115.445113887129 114.977703167562 121.696917417198 124.505158956539 105.299258367843 118.493852722943 83.602899203588 124.44230428566 117.390109466895 89.763604115758 118.688529500502 117.927702165589 151.308346158306 111.41245611673 81.8378787187652 124.550721192194 89.7235486071865 113.537846301222 81.8526403509498 118.830685034496 114.3043796945
"08/02/2019" 107.669527941624 118.841500519894 120.183437322293 123.419497445262 90.0842778794119 118.594644117584 120.857697789995 124.90026524438 116.210595333581 125.108304321354 125.515115717566 115.21961546394 114.761350603656 121.738585320711 124.378238421225 105.148175435465 118.669819430901 83.4985451341365 124.25673499458 117.593156379254 89.6415150717855 118.506345932713 117.681039080814 151.296983595949 111.108286728367 81.6971175249902 124.398658357992 89.5453364631577 113.692643212045 81.7336597055194 118.931199089151 114.082675956133
"11/02/2019" 107.619418515171 118.744427608755 120.076754651719 123.311763569101 90.0128559805739 118.491530605247 120.75760603528 124.845888666556 116.145265801283 125.021619972209 125.421034587197 115.124221823902 114.671582627605 121.631301296273 124.271577687197 105.061113011852 118.570300968541 83.463520224446 124.155014061089 117.572811177643 89.5743202481067 118.412902337578 117.583613904781 151.159906987169 111.022039477952 81.6400399841362 124.293184278536 89.4732984007659 113.620961464354 81.688987230709 118.847607982617 113.99894423393
"12/02/2019" 107.515714079336 118.646811378035 120.043521223706 123.332423778264 90.1141851727096 118.434168557518 120.771239324179 124.880703286832 116.301180569521 125.090934166893 125.5500296428 115.27779426134 114.828325160106 121.635248885397 124.36649285806 105.167614671388 118.488335172108 83.5648485036506 124.275420039315 117.489065081872 89.6686257127509 118.552023389845 117.740933255062 151.19063366398 111.204697058723 81.7455010945806 124.399371733239 89.591119971236 113.544062227254 81.7911223650571 118.842829355314 114.163908460903
"13/02/2019" 107.631910587083 118.744180373771 120.097589710105 123.350411115044 90.053202632793 118.494143502204 120.769104677448 124.943153725801 116.24549425868 125.10056196529 125.50238042712 115.186343209124 114.74576899498 121.660485298313 124.315143164838 105.104785151597 118.564104854542 83.5299778974388 124.191964738817 117.599172499772 89.6203962630749 118.485028340464 117.634013013699 151.19168745602 111.067142562241 81.6898205479174 124.334735152639 89.5146751330974 113.603847427899 81.7478514076258 118.905835160143 114.081671002073
"14/02/2019" 107.635048847837 118.713362705096 120.075958629504 123.338935609951 90.0611431847287 118.467933635048 120.756071217638 124.954034612365 116.271720275886 125.106115911118 125.515606340283 115.200566907667 114.762960746054 121.645510898048 124.316335017503 105.111160508929 118.534334424501 83.5495470018071 124.198001290099 117.598005124184 89.628727210486 118.498580504273 117.647587576485 151.176593236392 111.086723413161 81.7022846461733 124.337890909157 89.5252379857802 113.581095820174 81.7639703222437 118.897947783099 114.102482441006
