"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/03/2019" 107.5310750522 118.382784065389 119.802327823659 123.13741444887 90.0010775685135 118.137323594532 120.482234383487 125.346181709364 116.562918693327 125.196706776762 125.568818563157 115.146506184982 114.787808696089 121.405552981099 124.143937264535 105.008658859808 118.180273115036 83.8144170003523 124.025754517073 117.710176172788 89.6139488133235 118.50184127297 117.541235560111 150.844572581924 111.006990918685 81.7446533652225 124.164282039384 89.4660118372594 113.291573878785 81.9236250777783 118.908398679127 114.196333822968
"04/03/2019" 107.399309384635 118.117596231371 119.554494885005 122.909208981944 89.8778648037594 117.883584812219 120.258504885912 125.335183041341 116.522427025286 125.060141428923 125.424160764809 114.992635146808 114.654050293736 121.170058836192 123.940979811087 104.853014881594 117.919832881035 83.820856092964 123.838377800265 117.602577290544 89.5015586032539 118.35387931346 117.379553072629 150.552381828161 110.87536019942 81.6622066682352 123.966497416542 89.3469734930498 113.070825555427 81.8859187510825 118.748653144537 114.085523138619
"05/03/2019" 107.456240201732 118.213709715714 119.702109691418 123.099635645076 90.0579226277918 117.998090766135 120.407851894579 125.591424521982 116.816891524807 125.312769080985 125.701539748385 115.245475857696 114.921182474307 121.341632716522 124.162155532488 105.056203203386 118.014300610319 84.0185260753822 124.057822631009 117.704633760646 89.6849534620097 118.616786574102 117.621444077246 150.76942979698 111.110001304857 81.844367355861 124.188450676717 89.5334956839384 113.139579892371 82.0751955399048 118.945090521773 114.363935169176
"06/03/2019" 111.545727391447 116.479629442288 119.04072670735 121.490711992367 89.4803296079669 117.177238752519 118.530327809787 123.29019107414 121.365288941207 123.602589364314 127.214412935647 120.157238999443 120.999722461591 119.975512508357 122.886062436802 104.626511102166 116.493547142708 82.6279230879679 123.193714666149 115.176156555765 88.7402202110534 121.550437507356 121.484199080563 148.738574881927 119.177333198497 81.8779863154388 123.154322968782 90.4979832274295 110.174293522513 81.276251960336 117.705549377003 122.366176447478
"07/03/2019" 107.483692761731 118.272994535991 119.83735644297 123.298418764058 90.2676291558052 118.084562698296 120.546979552988 122.128796999509 117.205529907359 125.621165503541 126.040619875543 115.54669824702 115.248278624359 121.512238339539 124.40665661329 105.288782758233 118.071033866993 82.2405982987778 124.301135311348 117.804931930216 89.9027513141565 118.934609930407 117.903388953973 150.985167988845 111.387620048037 82.068379350603 124.434360196925 89.7527454419731 113.167070490828 82.3201375380338 119.171442355312 114.712686995215
"08/03/2019" 107.484037066212 118.227220661561 119.795517365395 123.262493923657 90.2508593587601 118.039649318098 120.508478118593 122.093340889745 117.237534053222 125.623780412949 126.033505460468 115.525943154426 115.236762407866 121.473165374327 124.373911272396 105.265450850083 118.024750312947 82.2261291596165 124.270746701001 117.820728947325 89.8916731102861 118.920600875935 117.878504196056 150.933767647395 111.368319165133 82.0653522580612 124.402171560465 89.7358654450855 113.131192935142 82.3375983048298 119.167123498535 114.710560211942
"11/03/2019" 107.507445793256 118.180137429561 119.777091697885 123.269922023317 90.2541013284574 117.981349491827 120.444030471318 122.025270615924 117.403910561334 125.746585507545 126.126574049935 115.549386613628 115.29886548499 121.461165954322 124.3612487219 105.263489555581 117.953398422361 82.1825447997401 124.229471428816 117.879159726611 89.9182653671635 118.981691739809 117.86389636599 150.894236261285 111.334329657336 82.1068710953975 124.379028134528 89.7346077739454 113.035408088508 82.4210500716771 119.26613826729 114.79966246066
"12/03/2019" 111.538587832663 116.432142129403 119.075745378948 121.726202997524 89.8582170376968 117.14653630079 118.673933201194 119.731358302553 121.482430043946 124.006290676907 127.603085218258 120.263811308642 120.992142231401 120.135361687897 123.328937499184 105.033292488763 116.443982149945 80.9490453077421 123.642310233917 115.148067313281 89.1191029379193 121.835850012383 121.670503755606 149.049141693236 118.837170694906 82.2231529527589 123.603772554199 90.8204877938415 110.131093239011 81.6368573877085 117.828892489407 122.125956948798
"13/03/2019" 107.471958293902 118.007496103352 119.63864679538 123.167354834298 90.2523005740759 117.836625372622 120.356410559149 121.96358977266 117.585305382303 125.783021898289 126.153720862958 115.552741394714 115.32614464531 121.346596112808 124.309886135581 105.244253549612 117.797376299238 82.2080000612397 124.209342504958 117.906340968407 89.9276662212146 118.993207910649 117.86840277185 150.761934623875 111.377340283211 82.1462777707979 124.338767843771 89.7409361741927 112.924567241434 82.5354097756628 119.251757604077 114.85950141035
"14/03/2019" 107.493855061495 118.089970547247 119.782699873494 123.362756564209 90.4483846311747 117.942699168731 120.506517501783 122.132373170306 114.502249504611 126.059486699904 126.458749000761 115.829971962531 115.62151270528 121.519744237674 124.544868838762 105.463632818583 117.879622438136 82.3708104167846 124.445054801228 118.004497927742 90.1283094918253 119.281743902917 118.132998748925 150.981975890569 111.637895740134 82.3487793839856 124.575621989762 89.9452834827739 112.981324372552 80.731168554538 119.460607844881 115.170340289302
"15/03/2019" 107.396066976638 117.940618356454 119.676059190965 123.292797126982 90.4607749707716 117.821647273466 120.434731336469 122.082041883262 114.550423308393 126.090949730065 126.498120402767 115.858980136069 115.667916664209 121.436996402963 124.521975285871 105.465456490884 117.742884963171 82.3947702813927 124.442765089803 117.958050174382 90.146682546552 119.313523917636 118.159457922881 150.890182060694 111.690982415448 82.3896604316246 124.560804152763 89.9668883208549 112.862146955553 80.7615782850651 119.441710941845 115.239834744756
"18/03/2019" 106.112142217173 109.319784911897 116.155814948789 124.030268364204 97.0952535684588 111.72299666596 118.800206327095 122.347418955516 126.017465274805 130.202638776559 136.28690871376 128.184359574257 128.577124454718 120.665375452254 130.705192710375 112.675190702451 109.603921576469 87.8407177041522 131.75503461472 108.400046719539 96.1366295827795 130.251903847606 129.904146692754 152.109333789135 125.367621488503 89.4100628035327 131.383410236067 98.2701764227397 103.211255317375 86.6621054224657 117.570241449611 129.021147783289
"19/03/2019" 107.472848311563 118.086956214854 119.832909863676 123.441887664126 90.4107638466955 117.884370037424 120.360115322497 121.94211485336 114.238894843238 126.227757073619 126.590035954319 115.836756438411 115.693219153521 121.560919603906 124.511856622989 105.429101309749 117.791452135421 82.1661184063096 124.289367963572 117.922945230384 90.1314701825761 119.366094002832 118.032156781162 150.95945628064 111.433931032844 82.3532239520469 124.499216029059 89.8894621389435 112.744231117765 80.5121748802313 119.625705449067 115.262504795687
"20/03/2019" 105.970831635854 108.92165725412 115.332522973741 122.81967852102 95.6072566091104 111.097086391494 117.758026768311 121.11166442125 123.749504501054 128.630866457439 134.17939356215 125.909572700293 126.23924638074 119.594989541355 128.96551312747 111.003538102084 109.136216953323 86.4851149004554 129.868470520414 108.147918819532 94.7106579671384 128.09641108729 127.645856387122 150.605453915281 122.90657452289 87.9484681030455 129.570312465164 96.6230738769971 102.860926901945 85.272265753673 116.584121325552 126.576591062269
"21/03/2019" 107.552466171968 119.156899588426 120.462852256084 123.731620117776 90.1432163400722 118.708811397094 120.777898028471 122.197280429762 113.674094728382 122.543894768464 126.268033256263 115.276520227111 115.129513029015 121.958161005193 124.357769375507 105.157088220363 118.793187735615 81.9233952164867 124.028568330461 115.443901990302 89.9266414600065 118.926825363604 117.483126080311 151.246893608269 110.753811896197 82.0674574627014 124.289576528237 89.5041453079926 113.837509863065 80.2312686172149 116.67251296031 114.674241347134
"22/03/2019" 107.692809627146 119.291736340911 120.621188460171 123.908343988463 90.2724884891226 118.843806007873 120.914869367781 122.334758006444 113.812350667627 122.678180038608 126.476050997503 115.454804483996 115.318365442156 122.123724391435 124.531307486526 105.307371404014 118.918585136371 82.0170934665692 124.187403085517 115.500640375089 90.0607659092159 119.119428759396 117.648411100777 151.44597428861 110.899037983761 82.1937727919596 124.458377336787 89.6327791622801 113.931541668278 80.321721724912 116.789937944626 114.867486272668
"25/03/2019" 111.897630510815 117.107496005387 119.908399842011 122.462254257071 90.080599525327 117.953854882923 119.466938327292 120.456138558962 118.083522979627 120.758853473496 127.836831563001 120.280317401505 120.957690196049 120.918786501785 123.782830171516 105.312367345965 117.174181501455 81.1753138588797 124.012116351346 112.045261156454 89.3749118518085 121.962014081209 121.733175044327 149.906756432023 118.688604529975 82.3594071639205 124.015746242647 90.9324580864884 110.750860516664 79.8004346839911 115.092106271704 122.008981968535
"26/03/2019" 111.940126509012 117.061033735039 119.773654944772 122.428619024632 90.2525524198585 117.831481991903 119.374928352757 120.432218195548 118.110743723928 120.872078153817 128.011904015994 120.301075481529 120.907120013605 120.836109168854 123.945770535029 105.4917049458 117.099707568977 81.3359785589116 124.199165556588 112.057712308521 89.5380867624615 122.087785600933 121.800916282373 149.900121901058 118.426754532404 82.5303540551081 124.193388359457 91.0939758718858 110.720808497791 79.9689394359076 114.991546943877 121.81013366553
"27/03/2019" 111.333019880731 116.660296177374 121.14618705679 124.979980542776 90.8532277860241 118.305170646349 121.563114330757 123.012415743156 114.116517427014 123.130035316174 127.034578220396 116.212644039929 115.902149159278 123.106570379024 125.546660111813 106.073749929388 116.915136168765 82.2960464525688 124.969234022444 111.411101576081 90.5344096099064 119.78275165282 118.389854967982 152.822114877823 111.323342063063 82.46379144255 125.407147447221 90.195091023798 110.242131163887 80.5258931768848 117.048704406142 115.247252710288
"28/03/2019" 107.662759358609 119.187784853734 120.687216579617 124.134791847941 90.6022656659413 118.786155142725 120.983447230602 122.458173855566 114.198846363406 122.898023561328 123.41155465111 115.942361254322 115.935052629698 122.270435873728 124.840047686732 105.643687709128 118.795781344396 82.2596657357656 124.492870342176 115.390632367192 90.4579524292596 119.709845104773 118.058232785039 151.600049976726 111.318488866457 80.5748340863045 124.766903231954 89.9726312052672 113.804269955642 80.5733766453081 116.848802848904 112.232275364539
"29/03/2019" 107.659092180209 119.189133052283 120.697495912806 124.156084529547 90.6207120786782 118.782857592493 120.980085818065 122.455159589161 114.202704818763 122.896457994237 123.413184623316 115.968856475831 115.985101275308 122.282902427969 124.852007106739 105.659450583742 118.789152046574 82.2629357338616 124.496868473985 115.38125351563 90.4918599816647 119.76046702503 118.069317361454 151.600777236866 111.324776811817 80.5779118678838 124.775379967955 89.9872531019489 113.798365933956 80.5765557733283 116.84372227251 112.236450901963
