"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/04/2019" 163.64885390051 171.321223801166 156.527896704783 127.837230088443 183.650927377594 189.562836377244 178.990467762865 144.026800229297 181.86390023314 186.996980721928 183.37480841775 184.828105578728 177.459874922834 155.068471158933 183.701966418462 168.128217701416 162.793984376482 123.551448760662 169.500720858106 165.123227822703 108.14404317088 124.793149498386 177.428789135642 122.784635320969 134.327979678718 134.154869098502
"02/04/2019" 163.667418077098 171.348081746078 156.568193523781 127.842424047986 183.688835006648 189.603432825058 179.032402507445 144.036691397716 181.898943172457 187.034949649375 183.416374875186 184.87149031876 177.502688455598 155.083458207982 183.737455996708 168.170549908192 162.835054499996 123.579494995365 169.543085608337 165.165022127947 108.144400266544 124.797552220962 177.462319523613 122.814522170257 134.357986965069 134.186614841776
"03/04/2019" 163.685968783916 171.374928118533 156.608490991885 127.847605772467 183.72673485365 189.64402255116 179.074333690123 144.04656930468 181.933977044529 187.072910529205 183.457936433709 184.914871381547 177.545499596524 155.098431817694 183.772936574246 168.212881228059 162.876124739003 123.607536830515 169.585449546466 165.206816321676 108.144746816023 124.801942941622 177.495840585831 122.844406104822 134.387989496053 134.218357106034
"04/04/2019" 163.704506015971 171.401762911834 156.64878910486 127.852775260397 183.764626910595 189.6846055475 179.116261303837 144.056433947405 181.969001841556 187.110863353427 183.499493085719 184.958248759784 177.588308339032 155.113391983951 183.808408143251 168.255211655225 162.917195088895 123.635574260214 169.627812666895 165.248610398892 108.145082819217 124.806321659099 177.529352314662 122.874287118894 134.417987265471 134.250095885158
"05/04/2019" 163.723029768274 171.428586119287 156.689087858473 127.857932510289 183.802511169483 189.725181806025 179.158185341525 144.066285323109 182.004017555739 187.148808114051 183.541044823616 185.001622446165 177.631114676539 155.128338702642 183.843870695897 168.2975411839 162.958265545063 123.663607278563 169.670174964026 165.290404354596 108.145408276026 124.810688372127 177.562854702476 122.904165206702 134.447980267123 134.28183117303
"08/04/2019" 163.778520096823 171.50898615965 156.809987920768 127.873330816914 183.916117077792 189.846870074198 179.283935927802 144.095759820348 182.109010123251 187.262593934417 183.665670476615 185.131721281096 177.759519193225 155.173098132242 183.950204177448 168.424524321043 163.081477505126 123.747679806525 169.797256859625 165.41578544263 108.146321367209 124.823716471934 177.663305743514 122.993781854835 134.537930603465 134.377016027937
"09/04/2019" 163.796989880288 171.535762956813 156.85028919456 127.878439099851 183.95397006444 189.887419300949 179.32584559075 144.105558100236 182.143989428089 187.300506360737 183.707202482043 185.175080126972 177.80231584489 155.18799101961 183.985630586427 168.466850197814 163.122548340294 123.775695120488 169.839615807552 165.457578862275 108.146604637559 124.828035154596 177.696770690963 123.023648179873 134.567904472038 134.408737289603
"10/04/2019" 163.815446159103 171.56252813469 156.890591087799 127.883535137367 183.991815213027 189.927961749626 179.367751642348 144.115343099253 182.178959611102 187.338410683506 183.748729535346 185.218435244447 177.84511005863 155.202870438901 184.021047939933 168.509175147116 163.163619258679 123.803705993607 169.881973904168 165.499372135395 108.146877361079 124.832341826541 177.730226259252 123.053511549784 134.597873541838 134.440455029414
"11/04/2019" 163.833888928298 171.589281686598 156.930893596246 127.888618927994 184.029652515552 189.968497412178 179.40965407553 144.125114814642 182.213920664497 187.376306894736 183.790251628922 185.26178662621 177.887901827855 155.217736386022 184.056456230147 168.551499163153 163.204690255667 123.831712419982 169.924331143868 165.541165256986 108.14713953769 124.836636486524 177.763672440755 123.083371958795 134.627837806663 134.472169241249
"12/04/2019" 163.852318182906 171.616023605859 156.971196715657 127.893690470272 184.067481964017 190.00902628055 179.451552883226 144.134873243646 182.248872580481 187.414194986437 183.831768755167 185.305134264946 177.930691145974 155.232588856885 184.091855449248 168.593822240121 163.245761326641 123.859714393712 169.966687521044 165.58295822204 108.147391167315 124.840919133304 177.797109227849 123.113229401128 134.657797260311 134.503879918984
"15/04/2019" 163.90752480959 171.696179500994 157.092109697251 127.908831592424 184.180923105052 190.13057204007 179.577227482699 144.164068784847 182.353673426049 187.527810464488 183.956290253878 185.435154649854 178.059044327786 155.277065371092 184.197998601697 168.7207857786 163.368974937308 123.943693540039 170.093751421335 165.708336127891 108.148082773551 124.853694982078 177.897363146437 123.202783870301 134.747646692166 134.598990686351
