"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/08/2019" 158.573046604525 166.695209176255 155.170041835937 123.7665159086 180.03331562601 186.390663362941 176.812468930657 139.562659442771 177.944713195333 183.429104540513 180.765745692081 182.482248396716 175.529021813258 150.201949233882 179.865164515133 166.476204293375 161.409729549589 121.77895351356 167.908020316602 163.654598633363 104.926503698552 120.701211050075 173.39510601268 121.427015149222 132.365885732662 132.528959215184
"02/08/2019" 158.592414314296 166.721863850515 155.210670559585 123.773687523852 180.070372476913 186.430587431434 176.854083438833 139.574253401971 177.979005354875 183.466322501692 180.806785126638 182.525283204734 175.571699823981 150.218101436666 179.899933628328 166.518534365237 161.45115210953 121.806083885397 167.950496992112 163.696635435481 104.929016903776 120.707619106284 173.427890040917 121.45610236209 132.395043745177 132.559957921897
"05/08/2019" 158.650453080358 166.801772304219 155.332566008488 123.795141127404 180.1815037492 186.55032506023 176.97890969106 139.608970280921 178.081836778834 183.577935642083 180.929878607756 182.654369970551 175.699723672807 150.266493435808 180.004196055655 166.64552345392 161.575425725276 121.88745225135 168.077926644003 163.822750088567 104.936502725947 120.726783083006 173.526196179138 121.543347997151 132.482493091977 132.652935221906
"06/08/2019" 158.669777866186 166.828389914173 155.373200903748 123.802271907964 180.218534391322 186.590226053789 177.020512662318 139.620520896494 178.116098880897 183.615126419255 180.970901470793 182.697392983662 175.742394873722 150.282602552417 180.038935206174 166.687852755911 161.616852227647 121.914567441185 168.120403051699 163.864789705704 104.938980066696 120.733151005552 173.558949555935 121.572424525241 132.511634627313 132.683921365002
"07/08/2019" 158.689091909701 166.854998244363 155.413837331637 123.809392474942 180.255558464876 186.630121260757 177.062112732805 139.632060667775 178.150353452817 183.652310383995 181.011920173587 182.740413030982 175.785064356498 150.298700887459 180.073666850149 166.730181851479 161.658279704483 121.941678823794 168.162879378897 163.906830014491 104.941448439726 120.739508890395 173.59169525454 121.601498370322 132.540772030841 132.714904354546
"08/08/2019" 158.708395206376 166.881597289316 155.454475288043 123.816502826382 180.292575963312 186.670010673989 177.103709895904 139.643589591415 178.184600488286 183.689487529732 181.052934709189 182.783430105682 175.827732114856 150.314788436929 180.108390981229 166.772510735038 161.699708151323 121.968786394489 168.205355620177 163.948871010081 104.9439078444 120.745856735827 173.624433268821 121.630569527671 132.569905297557 132.745884185478
"09/08/2019" 153.047305036911 159.851300379231 151.346672467185 122.905478953154 172.969705221119 179.662026494232 171.188277492542 136.709396906558 170.825646269302 176.449822626621 174.596637773473 176.612116677619 170.277586765006 145.613003998787 172.80411423175 161.732351613192 157.430317349947 116.620758676306 163.315497673319 159.41276450101 106.727006466029 120.227386237169 166.266895157599 116.741446308782 127.035545050634 127.558439983325
"12/08/2019" 153.117614589443 159.93723001185 151.469371449934 122.94701667921 173.081416036057 179.782383955986 171.313092374612 136.761942407459 170.930434021166 176.562700198429 174.719682642693 176.741086873451 170.405678209447 145.675738177943 172.910454504301 161.859104952553 157.555731233781 116.700230311448 163.443244875878 159.539506720396 106.75639981831 120.26694747132 166.367318683165 116.826288738833 127.121652901678 127.649613147496
"13/08/2019" 153.141041572755 159.965865140246 151.510278751349 122.960852715081 173.118647723977 179.822498895647 171.354697344572 136.779447547728 170.965356938059 176.600320545622 174.760695669239 176.784077033267 170.448377390975 145.696639894058 172.94589495173 161.901360497428 157.597542655847 116.726717920636 163.485832086289 159.5817603348 106.766188117525 120.280124734406 166.400786689354 116.854567913443 127.150352342506 127.680002195712
"14/08/2019" 153.164463784728 159.994496222691 151.551189868432 122.974683811268 173.155876780673 179.862611720593 171.396302311571 136.796947670865 171.000276682446 176.637938131659 174.801707723145 176.827067232569 170.491077581867 145.717536767707 172.981332238375 161.943618251645 157.639357469864 116.75320405773 163.528421695126 159.624017047575 106.775971671851 120.293297086829 166.434251438989 116.882846265823 127.179050190671 127.710390235772
"15/08/2019" 153.187881222821 160.023123256354 151.592104798431 122.988509965808 173.19310320253 179.902722426271 171.437907271052 136.8144427746 171.03519325094 176.675552952869 174.842718799784 176.870057466686 170.533778777725 145.738428796491 173.016766360793 161.985878211281 157.681175672765 116.779688720229 163.571013698577 159.666276855357 106.785750479819 120.306464526681 166.467712928839 116.911123793255 127.207746443433 127.740777264737
"16/08/2019" 153.211293884489 160.05174623841 151.633023538593 123.002331176734 173.230326985931 179.942831008131 171.479512218456 136.831932856662 171.070106640158 176.713165005582 174.88372889453 176.913047730943 170.57648097415 145.759315978012 173.052197315542 162.028140372409 157.722997261477 116.806171905635 163.613608092825 159.708539754783 106.795524539961 120.319627052053 166.501171155671 116.939400493023 127.236441098049 127.771163279663
"19/08/2019" 153.281503185522 160.137590846649 151.755802592488 123.043765128186 173.341982469253 180.063143965271 171.604326942599 136.88437295012 171.174827698303 176.825984516033 175.006753241124 177.042018657818 170.704593522808 145.821948415005 173.158471139339 162.154940025472 157.848482311762 116.885612574306 163.74140558217 159.835346969248 106.824818218758 120.359085122213 166.601526225741 117.02422559918 127.322515445617 127.862315210809
"20/08/2019" 153.304896716064 160.166197593992 151.796736545725 123.057566545013 173.379195662682 180.103244006332 171.645931796084 136.901842922798 171.209728336566 176.863585458055 175.047759362013 177.085008995891 170.747299677479 145.842816183483 173.19388938898 162.197210953285 157.890317412987 116.912089826351 163.784009501417 159.877622201566 106.834573272926 120.372227970589 166.634971368185 117.052498961129 127.351203680243 127.892697140178
"21/08/2019" 153.328285457466 160.194800275588 151.837674295329 123.071363008404 173.416406199579 180.143341900812 171.687536614682 136.919307862457 171.24462577863 176.901183613228 175.088764477864 177.127999340726 170.790006810699 145.863679092702 173.229304453738 162.23948406294 157.932155884647 116.93856558881 163.826615792357 159.919900508677 106.844323571936 120.385365894946 166.668413231452 117.080771481833 127.37989030302 127.923078040805
"22/08/2019" 153.351669407184 160.223398888608 151.878615838535 123.085154516395 173.45361407633 180.18343764416 171.729141393828 136.936767766828 171.27952002111 176.938778977884 175.129768584048 177.170989687645 170.832714918061 145.884537140263 173.264716330171 162.281759350499 157.97399772366 116.965039859184 163.869224451165 159.962181887205 106.854069114324 120.398498893378 166.701851812312 117.109043158575 127.408575311207 127.953457909752
"23/08/2019" 157.880724031735 165.975834759434 155.445014964337 123.750562839371 179.665374755732 186.193604187607 176.887082139813 139.226293796848 177.461142367712 183.084589666661 180.720612596055 182.544752995448 175.688906440126 149.615423391633 179.4124063434 166.69559126332 161.695567902283 121.525106649029 168.151262470007 163.924183833657 105.37520938902 120.750594972898 172.853476139531 121.349550985389 132.14012511688 132.44696733104
"26/08/2019" 157.940412802563 166.055991642438 155.56744473509 123.775641440985 179.775882152348 186.312915782962 177.011819684845 139.264043286291 177.563500491512 183.195714527112 180.843402652465 182.673726214043 175.81703484322 149.665991896583 179.516235397694 166.822789178712 161.820432447316 121.605559850425 168.279038643823 164.050770496914 105.386814789099 120.77347000957 172.951310738906 121.43599392277 132.22677559271 132.53924181986
"27/08/2019" 157.960290155383 166.082694142286 155.608258604549 123.783982809164 179.81270602565 186.352675754837 177.053393835393 139.276607283418 177.597606281071 183.232743777885 180.884325187213 182.716712165332 175.859741648139 149.682829092964 179.550831523219 166.865188817956 161.862056807823 121.632370593835 168.321631342607 164.092968283452 105.390667090265 120.781077144489 172.983908463158 121.464803220631 132.255651498291 132.569994128759
