"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"02/12/2019" 155.708172095761 164.817047280269 156.208483294368 120.354500377997 179.416854555172 182.223601369696 173.696968482446 132.310063891169 176.99248460445 178.910873188071 177.208850371349 182.99292718286 172.621646197928 147.199328419461 175.115858522865 167.420534854813 159.039528690327 122.182551537331 168.891646647411 164.692794289096 117.15656993556 172.299219670322 122.149560683906 130.335095665137 133.121144071783
"03/12/2019" 155.726997469514 164.842819986956 156.249373749402 120.361825659223 179.452949535534 182.262597895125 173.738070078909 132.321458319351 177.025798084297 178.947054879561 177.249159943594 183.035530799779 172.663989836874 147.2151139039 175.149557648201 167.462819574024 159.081086039714 122.208940698488 168.934153672185 164.73498687979 117.16316557096 172.331006284239 122.178043867121 130.363445994195 133.151525143225
"04/12/2019" 155.745813313262 164.868584286807 156.290266040888 120.369141998174 179.489038279113 182.301589134979 173.779169101014 132.332843490224 177.059104521308 178.983230414792 177.28946571204 183.078131507614 172.706332111109 147.23088985937 175.183250038062 167.505104194723 159.122644911848 122.235326110459 168.976660767904 164.777180388027 117.169752436402 172.362785755224 122.206524280743 130.391792451937 133.181903019684
"05/12/2019" 155.764619623094 164.894340175156 156.331160164793 120.376449393165 179.525120780161 182.340575083247 173.820265542458 132.34421940093 177.092403910009 179.019399788009 177.329767670194 183.120729299845 172.748673014572 147.246656282361 175.21693568695 167.547388711439 159.164205302372 122.261707769137 169.019167929249 164.819374809043 117.176330530366 172.394558077979 122.235001920524 130.420135033975 133.212277696607
"06/12/2019" 155.783416395098 164.920087647335 156.372056117087 120.383747842513 179.561197032927 182.379555733922 173.861359396935 132.355586048614 177.125696244929 179.055562993459 177.370065811567 183.163324169952 172.791012541203 147.262413169366 175.250614589369 167.589673118698 159.20576720693 122.288085670416 169.061675150895 164.861570138074 117.182899851334 172.426323247209 122.263476782217 130.448473735917 133.242649169445
"09/12/2019" 155.839749445049 164.99727952021 156.494754903969 120.405589499899 179.669388244057 182.496465840294 173.984625375505 132.389630385024 177.225530872278 179.164015545671 177.490937270069 183.291091182321 172.918022799468 147.309626579412 175.351610762847 167.716525628977 159.330461961206 122.3671967888 169.189197124395 164.988161525608 117.202555161095 172.521575780792 122.348884656292 130.533466517282 133.333744317931
"10/12/2019" 155.858508026654 165.022993281068 156.535658129476 120.412852149885 179.705439446201 182.535425240504 174.02570881905 132.400959952124 177.258794937355 179.200154022521 177.531220079389 183.333674298718 172.960356758131 147.325345287425 175.385262624429 167.758809543626 159.372029878289 122.393559619424 169.231704533991 165.030360439036 117.209089374926 172.553312282969 122.377348363159 130.561789654951 133.364102928914
"11/12/2019" 155.877257050892 165.048698602437 156.576563163193 120.420105845843 179.741484371306 182.574379313077 174.06678964409 132.412280241966 177.292051921296 179.236286302839 177.571499039464 183.37625446038 173.002689309635 147.341054441933 175.418907712065 167.801093321412 159.413599287592 122.41991867212 169.274211977252 165.072560236639 117.215614808194 172.585041605147 122.405809270702 130.590108890581 133.394458313057
"12/12/2019" 155.89599651386 165.074395479657 156.617470001078 120.427350586102 179.777523013617 182.613328052005 174.107867844316 132.423591251713 177.325301818631 179.272412380874 177.611774143799 183.418831660783 173.045020447915 147.356754039438 175.45254602026 167.843376956858 159.455170184747 122.446273942782 169.316719448845 165.114760913642 117.222131459393 172.616763742035 122.434267374672 130.618424219781 133.424810465809
"13/12/2019" 155.914726411655 165.100083908068 156.658378639088 120.434586368993 179.813555367381 182.652271451279 174.148943413417 132.434892978528 177.358544623892 179.308532250876 177.6520453859 183.461405893399 173.087350166899 147.372444076439 175.486177543521 167.88566044449 159.496742565383 122.472625427307 169.359226943436 165.15696246527 117.228639327018 172.64847868834 122.462722670824 130.646735638162 133.455159382618
"16/12/2019" 155.970858674988 165.17709845385 156.781115313412 120.456239956797 179.921614639863 182.769069551108 174.272154270835 132.468742433055 177.458230432558 179.416854555172 177.772835873855 183.589110719269 173.214330747371 147.419456789454 175.587031348767 168.012509965744 159.621468564462 122.551657122998 169.48674951184 165.283572320128 117.248110213427 172.74358033085 122.548071669891 130.731646384516 133.546186671884
"17/12/2019" 155.989550273083 165.202753040435 156.822031111458 120.463439893566 179.957621781915 182.807991531696 174.313219252284 132.480006999831 177.491444814851 179.452949535534 177.813091602073 183.631673015472 173.256654728456 147.43510854948 175.620635677345 168.054792807352 159.663046835294 122.57799342192 169.529257045056 165.325777322471 117.254582931744 172.775266461918 122.576515692293 130.759942115743 133.576522599417
"18/12/2019" 156.008232286508 165.228399154921 156.862948689389 120.470630864651 179.99362260666 182.846908142595 174.35428157102 132.491262269533 177.524652077738 179.489038279113 177.853343435582 183.674232311249 173.29897725988 147.450750731527 175.654233193506 168.097075473754 159.704626567734 122.604325914179 169.571764574577 165.367983175538 117.26104685899 172.806945375953 122.60495688564 130.788233914212 133.606855268254
"19/12/2019" 156.026904711366 165.254036792654 156.90386804315 120.477812868395 180.029617108349 182.885819377799 174.395341220734 132.50250823934 177.557852215753 179.525120780161 177.893591367885 183.716788600071 173.341298335565 147.466383332105 175.687823891752 168.139357959465 159.746207757401 122.630654595671 169.61427209506 165.410189874544 117.267501993673 172.838617067667 122.633395245684 130.816521775535 133.637184673846
"20/12/2019" 156.045567543762 165.279665948978 156.944789168686 120.484985903145 180.06560528123 182.924725231302 174.436398195121 132.513744906436 177.591045223433 179.561197032927 177.933835392488 183.759341875406 173.383617949433 147.482006347724 175.721407766587 168.181640259002 159.787790399912 122.656979462293 169.65677960116 165.452397414702 117.2739483343 172.870281531772 122.661830768178 130.844805695325 133.667510811642
"23/12/2019" 156.10149844725 165.356502482971 157.067563135373 120.5064511769 180.173531769539 183.041410441535 174.559553003237 132.547399063314 177.690581409827 179.669388244057 178.054543955128 183.886983555164 173.510567959327 147.528817849942 175.822118395648 168.308485985693 159.912547000665 122.735931131895 169.784301979689 165.579025034192 117.293234576971 172.965231505572 122.747120267887 130.929633761633 133.758469572747
"24/12/2019" 156.120122870875 165.382097667136 157.108491307426 120.513588319157 180.209494569701 183.08029470815 174.600599213233 132.558598491438 177.723745841536 179.705439446201 178.094772283961 183.929524711223 173.552881665114 147.544402490848 175.855674921869 168.350767485652 159.954135410682 122.762240697996 169.826809374775 165.621235891055 117.299645726506 172.996867006381 122.775544397709 130.957901871426 133.788782593854
"25/12/2019" 156.138737682582 165.407684346635 157.149421230953 120.520716484173 180.245451012314 183.119173563013 174.641642716356 132.569788602802 177.756903115598 179.741484371306 178.134996672608 183.972062821128 173.595193878673 147.559977529364 175.889224597198 168.393048771988 159.995725251591 122.788546428709 169.869316728729 165.663447565109 117.306048074559 173.028495253154 122.803965668744 130.986166017753 133.819092324414
"26/12/2019" 156.157342878484 165.433262516818 157.190352901888 120.527835670306 180.281401091631 183.15804700011 174.682683506297 132.580969394604 177.790053226552 179.777523013617 178.17521711457 184.014597878341 173.637504593915 147.575542962006 175.922767416141 168.435329839209 160.037316519005 122.814848319929 169.911824036197 165.705660051559 117.31244161965 173.060116240607 122.832384076745 131.014426196227 133.849398759876
"27/12/2019" 156.175938454692 165.458832173036 157.231286316164 120.534945875914 180.317344801903 183.19691501343 174.723721576743 132.592140864045 177.823196168941 179.813555367381 178.215433603349 184.057129876327 173.679813804755 147.591098785293 175.956303373205 168.477610681817 160.078909208542 122.841146367554 169.954331291822 165.747873345605 117.318826360303 173.091729963457 122.860799617466 131.042682402463 133.87970189569
"30/12/2019" 156.231667426316 165.535490011437 157.354096978336 120.55622259321 180.425137661001 183.3134864506 174.846819407981 132.625599310253 177.922581930116 179.921614639863 178.336059285596 184.184707449542 173.806732349953 147.637708564237 176.056870018196 168.60445180699 160.20369576602 122.920017407832 170.081852694057 165.87451802531 117.337927740884 173.18652749157 122.946028993471 131.127427143883 133.970591459748
