"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/01/2019" 156.938032339111 163.001422126989 148.980186711225 125.695007053558 174.288025454838 180.16484421129 170.24469784076 140.030302161862 172.69180362563 177.664537553364 174.29885472637 175.740773836582 168.839206478036 149.366908466026 174.525150285088 159.876437746782 155.069256853712 116.784985787248 161.313218105128 157.18258950882 108.268818592905 122.994320335168 168.393162451986 116.2051209535 127.203075764454 127.134882480501
"02/01/2019" 156.960401836457 163.030331418287 149.020493440545 125.705664294433 174.326407128834 180.205890765946 170.28678895647 140.045305195632 172.727698963123 177.703149111995 174.340635746453 175.784301300344 168.882128994584 149.386219394699 174.561512729229 159.91871102211 155.110466274336 116.812695457302 161.355636206377 157.22444129946 108.274717104192 123.004218035061 168.427605157201 116.234516698919 127.232907068074 127.166315359597
"03/01/2019" 156.982762412178 163.059233313588 149.060802695553 125.716312505325 174.364784065698 180.246933439167 170.328878812627 140.0602989195 172.763588639691 177.741755713969 174.382414375625 175.827827490417 168.925051319055 149.405521255262 174.597869541295 159.960985413039 155.151677765709 116.84040259127 161.398055524077 157.266294945284 108.280607328165 123.014106791885 168.462042037767 116.263911001715 127.26273559118 127.197746449332
"04/01/2019" 157.005114061795 163.088127807713 149.101114472676 125.72695168355 174.403156259372 180.287972224298 170.370967403203 140.075283330004 172.799472649475 177.780357353187 174.424190607488 175.871352400578 168.967973445788 149.424814043649 174.634220715373 160.003260914608 155.192891323859 116.86810718489 161.440476053409 157.308150442019 108.286489263434 123.023986603161 168.496473087978 116.293303857189 127.292561329203 127.229175744686
"07/01/2019" 157.072115409203 163.174766831242 149.222064900981 125.758814995399 174.518244320666 180.411065184596 170.497225521154 140.120180646759 172.907090619513 177.896132433332 174.549504855223 176.001919389346 169.096738582964 149.48263793511 174.743240350592 160.130094033532 155.316544359216 116.951205681065 161.567744862999 157.433727994937 108.304085323183 123.053572338947 168.599731199427 116.381473692676 127.382021787114 127.323452814243
"08/01/2019" 157.094431309596 163.203631668878 149.262386730802 125.769418016147 174.556597480993 180.45208835081 170.539308989107 140.135127769237 172.942951903553 177.934714160553 174.591271433839 176.04543911761 169.139659862142 149.501894394154 174.779568913628 160.172373928029 155.357766144712 116.978900070691 161.610170190649 157.475590852555 108.309934089807 123.063416343292 168.634138871164 116.410860711856 127.411836339135 127.354874881851
"09/01/2019" 157.116738261487 163.232489079449 149.302711064848 125.780011990837 174.594945867837 180.493107595652 170.581391161322 140.150065561071 172.978807491506 177.973290894531 174.633035583128 176.088957534831 169.182580915271 149.521141760707 174.815891809131 160.214654908341 155.398989977098 117.006591898665 161.652596705816 157.517455539696 108.31577456082 123.073251389732 168.66854068402 116.440246260208 127.441648083231 127.386295129963
"10/01/2019" 157.1390362604 163.261339057779 149.343037899537 125.790596916798 174.63328947514 180.534122912465 170.623472031763 140.16499401881 173.014657377514 178.011862629169 174.67479729668 176.132474634778 169.225501736686 149.54038003071 174.852209031191 160.256936969499 155.44021585239 117.034281160727 161.695024403673 157.559322052076 108.321606734845 123.083077475804 168.702936632291 116.469630333029 127.471457014829 127.417713553555
"11/01/2019" 157.161325301861 163.290181598692 149.383367231285 125.801172791363 174.671628296844 180.575134294591 170.665551594394 140.179913139003 173.050501555717 178.05042935837 174.716556568098 176.175990411219 169.268422320718 149.559609200104 174.888520573901 160.299220106531 155.481443766604 117.061967852613 161.737453279388 157.601190385411 108.327430610509 123.092894599047 168.737326710271 116.499012925616 127.501263129358 127.449130147602
"14/01/2019" 158.581502472085 164.961472330787 150.41246951085 126.2806143483 176.395723942105 182.243188767827 172.095007018353 141.063141530674 174.783545530784 179.7636345341 176.262302454989 177.664940119591 170.62072059604 150.789035637017 176.612942363891 161.533263615477 156.552780766019 118.29459124481 162.943559314914 158.729136979879 108.267730174797 123.494007349053 170.465273525619 117.637416919593 128.788259149751 128.665367448393
"15/01/2019" 158.603043489548 164.989981731567 150.452818879842 126.289916342929 176.434089530701 182.284228527585 172.137162319261 141.076940671081 174.819325374591 179.802183911644 176.304137250228 177.70854084392 170.663714789538 150.807377844546 176.649182065192 161.575639853056 156.594009536942 118.322452216147 162.986045650562 158.771041208821 108.272154440765 123.502527496445 170.499587716476 117.667006787235 128.818205469445 128.696955521273
"16/01/2019" 158.624574370395 165.018482666707 150.493170307036 126.299208239591 176.472449559736 182.325263621036 172.179315737212 141.090729325603 174.855098656637 179.840727489102 176.345968968146 177.752139647584 170.706708207204 150.825709777911 176.685415236196 161.618016692564 156.635239881161 118.350310163763 163.028532680073 158.812946792306 108.2765695747 123.511037660764 170.533895170048 117.696594804728 128.848148477682 128.728541336444
"17/01/2019" 158.646095109783 165.046975130532 150.533523788591 126.308490035625 176.510804022604 182.366294041036 172.221467265777 141.104507490636 174.890865370516 179.879265259839 176.387797601907 177.795736523944 170.749700843011 150.844031432764 176.721641870451 161.66039412871 156.676471794427 118.378165082983 163.071020398311 158.85485372577 108.28097557547 123.519537839599 170.568195880082 117.726180967023 128.878088169467 128.760124888516
"18/01/2019" 158.667605702869 165.075459117364 150.573879320664 126.317761728377 176.549152912697 182.407319780437 172.263616898525 141.118275162575 174.926625509822 179.91779721722 176.429623144674 177.839331466355 170.79269269093 150.862342804757 176.757861961507 161.702772156199 156.717705272489 118.406016969132 163.113508800137 158.896762004648 108.285372441945 123.528028030543 170.602489840327 117.75576526907 128.908024539804 128.791706172101
"21/01/2019" 158.732076555922 165.160860159162 150.694958181542 126.34551616043 176.664166080265 182.530368843599 172.390054357558 141.159515183815 175.033866416234 180.033358142865 176.555081158637 177.970104623461 170.921663447045 150.91721518013 176.866482910976 161.829909733761 156.841415052908 118.489554382395 163.24097805576 159.022494868076 108.298508224344 123.553438651992 170.705331159824 117.844506963222 128.997813672174 128.886436358034
"22/01/2019" 152.409680379837 157.866228324451 146.612396422781 124.23418681177 169.407081032348 175.602281983003 166.582641694424 137.200431263759 167.668188919136 172.836025725183 170.209773479192 171.909458733669 165.468938595494 145.415015934602 169.556356183915 156.884850986005 152.593457030261 113.327662870174 158.422304806257 154.534055236627 108.73595888467 121.806665859324 163.321853366657 113.168907799755 123.628009639364 123.886571930264
"23/01/2019" 152.43441865368 157.895992173216 146.652802952513 124.249391150815 169.445157192686 175.643107495404 166.624501000981 137.219291138088 167.704056471553 172.874502496991 170.251251093678 171.952716083032 165.511692697182 145.437240340022 169.592731667408 156.926927043703 152.634842306738 113.354595696481 158.464668712949 154.575947872531 108.747075685034 121.821222949604 163.356285985535 113.197496603795 123.657198987365 123.917325715949
"24/01/2019" 152.459152488547 157.925752383321 146.693213676216 124.26459076889 169.483231287659 175.683931642818 166.666361048924 137.238146268738 167.739921370791 172.912977080626 170.292728498622 171.99597423329 165.554448513462 145.459460208066 169.62910451965 156.96900592172 152.676231419173 113.381527472051 158.507035604861 154.617844103953 108.758187874926 121.835775332295 163.390715840681 113.226085122436 123.686387197584 123.948079094165
"25/01/2019" 152.483881881863 157.955508951885 146.733628591423 124.279785663951 169.521303313578 175.724754420634 166.708221833823 137.256996653444 167.775783613389 172.951449472342 170.334205689439 172.039233179897 165.59720604014 145.48167553631 169.66547473712 157.011087616393 152.717624364732 113.408458194336 158.549405478446 154.659743927797 108.769295452701 121.850323005406 163.425142928792 113.254673352328 123.715574267225 123.978832061342
