"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/02/2019" 152.65686305511 158.163702726433 147.016650152322 124.386017513272 169.787749251591 176.01047512905 167.001267590452 137.388816269684 168.026744634817 173.220694525907 170.62453964442 172.342067722459 165.896556265304 145.637055515927 169.919992190012 157.305738037617 153.007482072574 113.596943544421 158.846077782551 154.953143022154 108.846919219738 121.952024681743 163.666054790863 113.454782595198 123.919851583937 124.194091022788
"04/02/2019" 152.730930962598 158.252873718272 147.138007732036 124.43147439909 169.901908963142 176.132905855857 167.126869239794 137.445238975229 168.134259162492 173.336052009741 170.748964811674 172.471865445858 166.024874454756 145.703578596271 170.029031224728 157.432058672597 153.131764017084 113.677706926226 158.973267425943 155.078939067537 108.880117202388 121.995540271724 163.769260895654 113.540539032998 124.007381617423 124.286338340987
"05/02/2019" 157.820605474506 164.260029753141 150.669658274938 126.060682726778 176.09266885912 182.099747190217 172.197245351356 140.567562676524 174.359790065316 179.479185739056 176.259373554692 177.756139637106 170.794587054335 150.098933657099 176.218816715723 161.755701404462 156.820436865587 118.113699612609 163.183337614635 158.986740478985 108.473591311666 123.33235391364 169.982263024779 117.622864872698 128.630804951278 128.64267103045
"06/02/2019" 157.842490360451 164.288466252029 150.710145767161 126.071007861756 176.130763486158 182.140602047943 172.239347648185 140.582164998551 174.39532299712 179.517507075862 176.30107878118 177.799676817141 170.837591819879 150.117790575857 176.254825986526 161.798122208414 156.861823557978 118.14122716325 163.22591025437 159.028767441917 108.479246337802 123.341932404304 170.016321621131 117.652186672897 128.66045616512 128.674018390087
"07/02/2019" 157.864366314958 164.31689520503 150.750635730794 126.081324050805 176.168853029374 182.181452653974 172.281448394022 140.596758081362 174.43084996803 179.555823111641 176.342781278354 177.84321242553 170.880596154603 150.136638455923 176.290829318644 161.840543955311 156.903212244083 118.168751896547 163.268483958103 159.070796155243 108.484893192694 123.351502040769 170.050374115746 117.681506716829 128.69010430081 128.705363640437
"08/02/2019" 157.886233333753 164.345316607206 150.791128162229 126.091631291363 176.206937482873 182.222299001668 172.323547582752 140.61134192162 174.466370972382 179.594133840459 176.384481039772 177.886746455975 170.92360005275 150.155477293406 176.326826706368 161.882966640094 156.944602919866 118.196273808355 163.311058720935 159.112826614631 108.490531875035 123.361062820687 170.084420503138 117.710824999759 128.719749353889 128.736706776452
"11/02/2019" 157.951780733173 164.430535459458 150.91262022721 126.122499296535 176.321160246123 182.344812428303 172.449835745129 140.655037953742 174.572898129477 179.709034125811 176.509563845083 178.01733901664 171.052609070117 150.211939511469 176.434783146081 162.010240271162 157.068786844901 118.278822573403 163.438789315015 159.238928425855 108.507398873715 123.389691997735 170.186522967111 117.798769235162 128.808665972869 128.830723447979
"12/02/2019" 157.973611966429 164.458926609006 150.953122493711 126.132770717583 176.35922428181 182.385641676223 172.491928644257 140.669584790458 174.608395210985 179.747323567451 176.551252599063 178.0608666723 171.095611164337 150.230742139737 176.470756699136 162.052666656882 157.110185439003 118.306333157813 163.481368265224 159.280965826166 108.513004852822 123.399217328053 170.220544870748 117.828080426708 128.838298650913 128.862058076149
"13/02/2019" 157.995434242629 164.487310183066 150.993627209936 126.14303317738 176.39728319831 182.426466632592 172.534019955686 140.68412236796 174.643886297629 179.785607672463 176.592938585076 178.104392718505 171.138612793164 150.249535705986 176.506724279253 162.095093955177 157.151586002577 118.333840900012 163.523948250013 159.323004950865 108.518602652873 123.408733790131 170.254560639732 117.857389833563 128.86792822405 128.89339056473
"14/02/2019" 158.01724755751 164.515686176708 151.034134372264 126.15328667338 176.435336989729 182.467287290766 172.576109673294 140.69865068292 174.67937138375 179.823886434917 176.634621796676 178.14791714895 171.181613950829 150.268320206331 176.542685880724 162.137522160977 157.192988531577 118.361345795855 163.566529264474 159.365045795613 108.524192272572 123.418241381639 170.288570268577 117.886697450988 128.897554687822 128.924720908672
"15/02/2019" 158.039051906805 164.544054585001 151.074643977074 126.163531203043 176.473385650174 182.508103644101 172.618197790958 140.713169732011 174.714850463689 179.862159848881 176.676302227418 178.191439957327 171.224614631564 150.287095636889 176.578641497842 162.179951269213 157.234393021954 118.3888478412 163.609111303696 159.407088356068 108.529773710624 123.427740100247 170.322573751801 117.916003274244 128.927178037769 128.956049102922
"18/02/2019" 158.104411118546 164.629114248496 151.196187410156 126.194210968626 176.587500786734 182.63052680863 172.744452483037 140.756671250813 174.821251609818 179.976947940509 176.801326770026 178.321998586971 171.353613754473 150.343367471028 176.686472386014 162.307243957816 157.358618220838 118.471336832802 163.73686352079 159.533226288229 108.546468921993 123.456182995438 170.424547272898 118.003909931592 129.016029360072 129.050020736997
"19/02/2019" 158.126179562872 164.657452266107 151.236706748645 126.204419607573 176.625528864355 182.671325876166 172.786534139669 140.771153203178 174.856706608438 180.015199901194 176.842996012862 178.365514843987 171.396612469764 150.362106583628 176.722404008657 162.349676625065 157.400030516204 118.498827434711 163.779449609911 159.575275668058 108.552017620559 123.465646199223 170.458526118794 118.033208530767 129.045640210131 129.081340281952
